nse_symbol,status
PRSMJOHNSN,skip:existing
PRUDENT,skip:existing
PTC,skip:existing
PTCIL,skip:existing
PURVA,skip:existing
PVRINOX,skip:existing
PWL,skip:existing
QPOWER,skip:existing
QUESS,skip:existing
RADICO,skip:existing
RAILTEL,skip:existing
RAIN,skip:existing
RAINBOW,skip:existing
RALLIS,skip:existing
RAMCOCEM,skip:existing
RATEGAIN,skip:existing
RATNAMANI,skip:existing
RAYMONDLSL,skip:existing
RBA,skip:existing
RBLBANK,skip:existing
RCF,skip:existing
RECLTD,skip:existing
REDINGTON,skip:existing
REDTAPE,skip:existing
REFEX,skip:existing
RELAXO,skip:existing
RELIANCE,skip:existing
RELIGARE,skip:existing
RENUKA,skip:existing
RHIM,skip:existing
RITES,skip:existing
RKFORGE,skip:existing
ROUTE,skip:existing
RPOWER,skip:existing
RRKABEL,skip:existing
RTNINDIA,skip:existing
RTNPOWER,skip:existing
RUBICON,skip:existing
RVNL,skip:existing
SAATVIKGL,skip:existing
SAFARI,skip:existing
SAGILITY,skip:existing
SAIL,skip:existing
SAILIFE,skip:existing
SAMHI,skip:existing
SAMMAANCAP,skip:existing
SANDUMA,skip:existing
SANOFICONR,skip:existing
SANSERA,skip:existing
SAPPHIRE,skip:existing
SARDAEN,skip:existing
SAREGAMA,skip:existing
SBFC,skip:existing
SBICARD,skip:existing
SBILIFE,skip:existing
SBIN,skip:existing
SCHAEFFLER,skip:existing
SCHNEIDER,skip:existing
SCI,skip:existing
SENCO,skip:existing
SFL,skip:existing
SHAILY,skip:existing
SHAKTIPUMP,skip:existing
SHARDACROP,skip:existing
SHAREINDIA,skip:existing
SHILPAMED,skip:existing
SHREECEM,skip:existing
SHRIPISTON,skip:existing
SHRIRAMFIN,skip:existing
SHYAMMETL,skip:existing
SIEMENS,skip:existing
SIGNATURE,skip:existing
SJVN,skip:existing
SKFINDIA,skip:existing
SKFINDUS,skip:existing
SKIPPER,skip:existing
SKYGOLD,skip:existing
SMARTWORKS,skip:existing
SMLMAH,skip:existing
SOBHA,skip:existing
SOLARINDS,skip:existing
SONACOMS,skip:existing
SONATSOFTW,skip:existing
SOUTHBANK,skip:existing
SPARC,skip:existing
SPLPETRO,skip:existing
SRF,skip:existing
STAR,skip:existing
STARCEMENT,skip:existing
STARHEALTH,skip:existing
STLTECH,skip:existing
STYL,skip:existing
STYRENIX,skip:existing
SUBROS,skip:existing
SUDARSCHEM,skip:existing
SUDEEPPHRM,skip:existing
SUMICHEM,skip:existing
SUNDARMFIN,skip:existing
SUNPHARMA,skip:existing
SUNTECK,skip:existing
SUNTV,skip:existing
SUPREMEIND,skip:existing
SUPRIYA,skip:existing
SURYAROSNI,skip:existing
SUZLON,skip:existing
SWANCORP,skip:existing
SWIGGY,skip:existing
SWSOLAR,skip:existing
SYNGENE,skip:existing
SYRMA,skip:existing
TANLA,skip:existing
TARC,skip:existing
TARIL,skip:existing
TATACAP,skip:existing
TATACHEM,skip:existing
TATACOMM,skip:existing
TATACONSUM,skip:existing
TATAELXSI,skip:existing
TATAINVEST,skip:existing
TATAPOWER,skip:existing
TATASTEEL,skip:existing
TATATECH,skip:existing
TBOTEK,skip:existing
TCS,skip:existing
TDPOWERSYS,skip:existing
TECHM,skip:existing
TECHNOE,skip:existing
TEGA,skip:existing
TEJASNET,skip:existing
TENNIND,skip:existing
TEXRAIL,skip:existing
THANGAMAYL,skip:existing
THELEELA,skip:existing
THERMAX,skip:existing
THOMASCOOK,skip:existing
THYROCARE,skip:existing
TI,skip:existing
TIINDIA,skip:existing
TIMETECHNO,skip:existing
TIMKEN,skip:existing
TIPSMUSIC,skip:existing
TITAGARH,skip:existing
TITAN,skip:existing
TMB,skip:existing
TMCV,skip:existing
TMPV,skip:existing
TORNTPHARM,skip:existing
TORNTPOWER,skip:existing
TRANSRAILL,skip:existing
TRAVELFOOD,skip:existing
TRENT,skip:existing
TRIDENT,skip:existing
TRITURBINE,skip:existing
TRIVENI,skip:existing
TSFINV,skip:existing
TTML,skip:existing
TVSMOTOR,skip:existing
TVSSCS,skip:existing
UBL,skip:existing
UCOBANK,skip:existing
UJJIVANSFB,skip:existing
ULTRACEMCO,skip:existing
UNIONBANK,skip:existing
UNITDSPR,skip:existing
UNOMINDA,"ok:consolidated:headline=12:cols=12;schedules=Sales=1,Expenses=4,Other Income=2,Net Profit=7"
UPL,skip:existing
URBANCO,skip:existing
USHAMART,skip:existing
UTIAMC,skip:existing
UTLSOLAR,skip:existing
V2RETAIL,skip:existing
VAIBHAVGBL,skip:existing
VARROC,skip:existing
VBL,skip:existing
VEDL,skip:existing
VGUARD,skip:existing
VIJAYA,skip:existing
VIKRAMSOLR,skip:existing
VIPIND,skip:existing
VIYASH,skip:existing
VMART,skip:existing
VMM,skip:existing
VOLTAMP,skip:existing
VOLTAS,skip:existing
VTL,skip:existing
WAAREEENER,skip:existing
WAAREERTL,skip:existing
WABAG,skip:existing
WAKEFIT,skip:existing
WEBELSOLAR,skip:existing
WELCORP,skip:existing
WELENT,skip:existing
WELSPUNLIV,skip:existing
WESTLIFE,skip:existing
WEWORK,skip:existing
WHIRLPOOL,skip:existing
WIPRO,skip:existing
WOCKPHARMA,skip:existing
YATHARTH,skip:existing
YESBANK,skip:existing
ZAGGLE,skip:existing
ZEEL,skip:existing
ZENSARTECH,skip:existing
ZENTEC,skip:existing
ZFCVINDIA,skip:existing
ZYDUSLIFE,skip:existing
ZYDUSWELL,skip:existing
