rank,symbol,trailing_month
346,VMART,2020-05
347,NBCC,2020-05
348,WOCKPHARMA,2020-05
349,VIPIND,2020-05
350,STARCEMENT,2020-05
351,NESCO,2020-05
352,CERA,2020-05
353,CGCL,2020-05
354,HEG,2020-05
355,GPPL,2020-05
356,GARFIBRES,2020-05
357,KPRMILL,2020-05
358,JKLAKSHMI,2020-05
359,GULFOILLUB,2020-05
360,CCL,2020-05
361,BHARATRAS,2020-05
362,GESHIP,2020-05
363,POLYMED,2020-05
364,VAKRANGEE,2020-05
365,FACT,2020-05
366,MAHLIFE,2020-05
367,THYROCARE,2020-05
368,LUXIND,2020-05
369,LAXMIMACH,2020-05
370,PNCINFRA,2020-05
371,SUDARSCHEM,2020-05
372,MAHSEAMLES,2020-05
373,TASTYBITE,2020-05
374,SWANENERGY,2020-05
375,DHANUKA,2020-05
376,MOIL,2020-05
377,CDSL,2020-05
378,TATACOFFEE,2020-05
378,GEPIL,2020-05
379,KEI,2020-05
380,NETWORK18,2020-05
381,HINDCOPPER,2020-05
382,TEAMLEASE,2020-05
383,TCIEXP,2020-05
384,ICRA,2020-05
385,RAIN,2020-05
386,CAPLIPOINT,2020-05
387,BEML,2020-05
388,IIFL,2020-05
389,DEN,2020-05
390,TRIDENT,2020-05
391,BRIGADE,2020-05
392,SUNTECK,2020-05
393,IBREALEST,2020-05
394,IDFC,2020-05
395,DELTACORP,2020-05
396,SONATSOFTW,2020-05
397,GUJALKALI,2020-05
398,MMTC,2020-05
399,CENTURYPLY,2020-05
400,RESPONIND,2020-05
401,FMGOETZE,2020-05
402,IOLCP,2020-05
403,KSCL,2020-05
404,JSL,2020-05
405,CYIENT,2020-05
406,FSL,2020-05
407,RCF,2020-05
408,SCI,2020-05
409,HGS,2020-05
410,CSBBANK,2020-05
411,SEQUENT,2020-05
412,ESABINDIA,2020-05
413,MAHSCOOTER,2020-05
414,UJJIVAN,2020-05
415,CHALET,2020-05
416,TATASTLBSL,2020-05
416,BSOFT,2020-05
417,TCNSBRANDS,2020-05
418,TRITURBINE,2020-05
419,BALRAMCHIN,2020-05
420,INGERRAND,2020-05
421,VARROC,2020-05
422,ZENSARTECH,2020-05
422,PHILIPCARB,2020-05
423,SCHNEIDER,2020-05
424,TECHNOE,2020-05
425,INDOCO,2020-05
426,ECLERX,2020-05
427,NEWGEN,2020-05
428,HSCL,2020-05
429,DCBBANK,2020-05
430,N100,2020-05
430,GNFC,2020-05
431,BAJAJCON,2020-05
432,SAKSOFT,2020-05
433,KARURVYSYA,2020-05
434,MAHLOG,2020-05
435,SOBHA,2020-05
436,TATAMTRDVR,2020-05
437,JSWHL,2020-05
438,VESUVIUS,2020-05
439,BALMLAWRIE,2020-05
440,FCONSUMER,2020-05
441,SALASAR,2020-05
442,ADVENZYMES,2020-05
443,ARVINDFASN,2020-05
444,JUMPNET,2020-05
444,PRSMJOHNSN,2020-05
445,GSFC,2020-05
446,LAOPALA,2020-05
447,GRSE,2020-05
448,KIRIINDUS,2020-05
449,KSB,2020-05
450,GREAVESCOT,2020-05
451,WELCORP,2020-05
452,KENNAMET,2020-05
453,NILKAMAL,2020-05
454,NAVNETEDUL,2020-05
455,ASIANTILES,2020-05
456,SUPRAJIT,2020-05
457,IFBIND,2020-05
458,SHOPERSTOP,2020-05
459,JKPAPER,2020-05
460,RAYMOND,2020-05
461,KIRLOSENG,2020-05
461,DAAWAT,2020-05
462,GREENLAM,2020-05
463,JINDALSAW,2020-05
464,PILANIINVS,2020-05
465,ASTEC,2020-05
466,NOCIL,2020-05
467,NCC,2020-05
468,HIKAL,2020-05
469,SHARDACROP,2020-05
470,LEMONTREE,2020-05
471,MINDACORP,2020-05
472,HCG,2020-05
473,JINDALPOLY,2020-05
474,BCG,2020-05
475,VENKEYS,2020-05
476,ASHOKA,2020-05
477,ACCELYA,2020-05
478,JKTYRE,2020-05
479,POLYPLEX,2020-05
480,HFCL,2020-05
481,UFLEX,2020-05
482,SWARAJENG,2020-05
483,KPITTECH,2020-05
484,THOMASCOOK,2020-05
485,ITDC,2020-05
486,ALEMBICLTD,2020-05
487,GAEL,2020-05
488,MAGMA,2020-05
488,BALAMINES,2020-05
489,VRLLOG,2020-05
490,DEEPAKFERT,2020-05
491,J&KBANK,2020-05
491,SUPPETRO,2020-05
492,BLS,2020-05
493,SOUTHBANK,2020-05
494,VISHWARAJ,2020-05
495,APARINDS,2020-05
496,NFL,2020-05
497,JTEKTINDIA,2020-05
497,ICICI500,2020-05
498,JAICORPLTD,2020-05
499,NIITLTD,2020-05
500,GMDCLTD,2020-05
501,KTKBANK,2020-05
502,NEOGEN,2020-05
503,CARERATING,2020-05
504,SOLARA,2020-05
505,ATFL,2020-05
506,TCI,2020-05
507,IFCI,2020-05
508,APOLLOPIPE,2020-05
509,KOLTEPATIL,2020-05
510,PSPPROJECT,2020-05
511,RUPA,2020-05
512,INSECTICID,2020-05
513,MAJESCO,2020-05
513,DIAMONDYD,2020-05
514,SUBROS,2020-05
515,DBCORP,2020-05
516,AHLUCONT,2020-05
517,DHFL,2020-05
517,FORCEMOT,2020-05
518,ESSELPACK,2020-05
518,RSYSTEMS,2020-05
519,HERITGFOOD,2020-05
520,SSWL,2020-05
521,TVSSRICHAK,2020-05
522,ICICILIQ,2020-05
522,SHRENIK,2020-05
523,GABRIEL,2020-05
523,COSMOFILMS,2020-05
524,HGINFRA,2020-05
525,WELSPUNIND,2020-05
525,PRAJIND,2020-05
526,BANARISUG,2020-05
527,MAITHANALL,2020-05
528,RENUKA,2020-05
529,RAMCOIND,2020-05
530,MARKSANS,2020-05
531,PARAGMILK,2020-05
532,WHEELS,2020-05
533,JAMNAAUTO,2020-05
534,GHCL,2020-05
535,DCAL,2020-05
535,KARDA,2020-05
536,SUNDARMHLD,2020-05
537,GREENPLY,2020-05
538,PTC,2020-05
539,BOMDYEING,2020-05
540,AMRUTANJAN,2020-05
541,BLISSGVS,2020-05
542,HESTERBIO,2020-05
543,ORIENTCEM,2020-05
545,TANLA,2020-05
546,CGPOWER,2020-05
547,PANACEABIO,2020-05
548,INTELLECT,2020-05
549,BEPL,2020-05
550,IIFLSEC,2020-05
551,PURVA,2020-05
552,ORISSAMINE,2020-05
553,SOTL,2020-05
554,TRIVENI,2020-05
555,UNICHEMLAB,2020-05
556,PATELENG,2020-05
557,KIRLFER,2020-05
558,TEXRAIL,2020-05
559,VOLTAMP,2020-05
560,PRINCEPIPE,2020-05
561,BFINVEST,2020-05
562,INOXWIND,2020-05
563,WSTCSTPAPR,2020-05
564,TVTODAY,2020-05
565,GIPCL,2020-05
566,JAGRAN,2020-05
567,INDIAGLYCO,2020-05
568,TAJGVK,2020-05
569,SANDHAR,2020-05
570,KESORAMIND,2020-05
571,PAPERPROD,2020-05
571,LUMAXIND,2020-05
572,HONDAPOWER,2020-05
573,MOREPENLAB,2020-05
574,CHENNPETRO,2020-05
575,CIGNITITEC,2020-05
576,MASTEK,2020-05
577,SPENCERS,2020-05
578,GFLLIMITED,2020-05
579,TIL,2020-05
580,WELENT,2020-05
580,FAIRCHEM,2020-05
581,RELIGARE,2020-05
582,VSTTILLERS,2020-05
583,MSTCLTD,2020-05
583,MAHINDCIE,2020-05
584,SEAMECLTD,2020-05
585,SATIA,2020-05
586,TAKE,2020-05
587,EXCELINDUS,2020-05
588,DISHTV,2020-05
589,SESHAPAPER,2020-05
590,INDIANHUME,2020-05
591,KIRLOSBROS,2020-05
592,SHK,2020-05
593,SAFARI,2020-05
594,GAYAPROJ,2020-05
595,MAXINDIA,2020-05
595,AUTOAXLES,2020-05
596,SUVEN,2020-05
597,MATRIMONY,2020-05
598,JBMA,2020-05
599,GMBREW,2020-05
600,RPOWER,2020-05
601,SAGCEM,2020-05
602,DPSCLTD,2020-05
603,CLNINDIA,2020-05
603,EIHAHOTELS,2020-05
604,PFOCUS,2020-05
605,IGARASHI,2020-05
606,GOCLCORP,2020-05
607,TATAMETALI,2020-05
608,VIKASPROP,2020-05
608,HIL,2020-05
609,VINDHYATEL,2020-05
610,WONDERLA,2020-05
611,LGBBROSLTD,2020-05
612,PAISALO,2020-05
613,CAMLINFINE,2020-05
613,FLFL,2020-05
614,SADBHAV,2020-05
615,SHALBY,2020-05
616,HCC,2020-05
617,HINDOILEXP,2020-05
618,MAYURUNIQ,2020-05
619,TIMETECHNO,2020-05
620,RELINFRA,2020-05
621,KITEX,2020-05
622,DHAMPURSUG,2020-05
623,ARVIND,2020-05
624,SHANTIGEAR,2020-05
625,THANGAMAYL,2020-05
626,CAPACITE,2020-05
627,NUCLEUS,2020-05
628,RTNPOWER,2020-05
629,GALLANTT,2020-05
629,JMCPROJECT,2020-05
630,FILATEX,2020-05
631,NRBBEARING,2020-05
632,DOLLAR,2020-05
633,FOSECOIND,2020-05
634,DREDGECORP,2020-05
635,TNPL,2020-05
636,ENIL,2020-05
637,GSCLCEMENT,2020-05
637,KSL,2020-05
638,MANINFRA,2020-05
639,JAYBARMARU,2020-05
640,SHRIRAMCIT,2020-05
640,ASTRAMICRO,2020-05
641,SASKEN,2020-05
642,IMPAL,2020-05
643,JKIL,2020-05
644,IBULISL,2020-05
644,ITDCEM,2020-05
645,OCCL,2020-05
646,TINPLATE,2020-05
646,ADFFOODS,2020-05
647,AVTNPL,2020-05
648,BALAJITELE,2020-05
649,NATHBIOGEN,2020-05
650,INDNIPPON,2020-05
651,ANDHRSUGAR,2020-05
652,APEX,2020-05
653,BFUTILITIE,2020-05
654,JPPOWER,2020-05
654,GDL,2020-05
655,MOLDTKPAC,2020-05
656,TTKHLTCARE,2020-05
657,REPCOHOME,2020-05
658,TALBROAUTO,2020-05
659,APTECHT,2020-05
660,WABAG,2020-05
661,APCOTEXIND,2020-05
662,ELECTCAST,2020-05
663,TEJASNET,2020-05
664,PUNJABCHEM,2020-05
665,KOKUYOCMLN,2020-05
666,SATIN,2020-05
667,BODALCHEM,2020-05
668,RKFORGE,2020-05
669,PFS,2020-05
670,SHREDIGCEM,2020-05
671,QUICKHEAL,2020-05
672,DALMIASUG,2020-05
673,BAJAJHIND,2020-05
674,SHANKARA,2020-05
675,SADBHIN,2020-05
676,NACLIND,2020-05
677,SMLISUZU,2020-05
678,ACE,2020-05
679,GUFICBIO,2020-05
680,SARDAEN,2020-05
681,RELCAPITAL,2020-05
681,TTML,2020-05
682,RANEHOLDIN,2020-05
683,SUNFLAG,2020-05
684,THEINVEST,2020-05
685,SAREGAMA,2020-05
686,KINGFA,2020-05
687,JINDWORLD,2020-05
688,ICIL,2020-05
689,MIRZAINT,2020-05
690,ANANTRAJ,2020-05
691,PRAKASH,2020-05
692,CONFIPET,2020-05
693,PCJEWELLER,2020-05
694,KCP,2020-05
695,KICL,2020-05
696,NEULANDLAB,2020-05
697,LUMAXTECH,2020-05
698,GTPL,2020-05
699,IIFLWAM,2020-05
699,POWERMECH,2020-05
700,KIRLOSIND,2020-05
701,EVEREADY,2020-05
702,REPRO,2020-05
703,5PAISA,2020-05
704,SIYSIL,2020-05
704,ICICIBANKN,2020-05
705,SIRCA,2020-05
706,PRICOLLTD,2020-05
707,RUBYMILLS,2020-05
708,GEOJITFSL,2020-05
709,CENTRUM,2020-05
710,OAL,2020-05
712,LAKSHVILAS,2020-05
712,OLECTRA,2020-05
713,BANCOINDIA,2020-05
713,FSC,2020-05
714,SHALPAINTS,2020-05
715,ATULAUTO,2020-05
716,VIKASECO,2020-05
717,MANGLMCEM,2020-05
718,XCHANGING,2020-05
719,DFMFOODS,2020-05
719,BHAGERIA,2020-05
720,TIIL,2020-05
721,UCALFUEL,2020-05
721,SURYAROSNI,2020-05
722,BORORENEW,2020-05
723,MUTHOOTCAP,2020-05
724,HIMATSEIDE,2020-05
725,RADIOCITY,2020-05
726,ASHIANA,2020-05
727,MANGCHEFER,2020-05
728,MTNL,2020-05
729,SOMANYCERA,2020-05
730,TEXINFRA,2020-05
731,GET&D,2020-05
731,SNOWMAN,2020-05
732,TWL,2020-05
732,USHAMART,2020-05
733,GANECOS,2020-05
734,PGIL,2020-05
735,TIRUMALCHM,2020-05
735,ICICIBANKP,2020-05
736,SANGHIIND,2020-05
736,SRIPIPES,2020-05
737,SINTEX,2020-05
737,EMAMIPAP,2020-05
738,GNA,2020-05
739,STERTOOLS,2020-05
740,RPGLIFE,2020-05
741,FEL,2020-05
741,GPIL,2020-05
742,GVKPIL,2020-05
743,RIIL,2020-05
744,NELCO,2020-05
745,PLASTIBLEN,2020-05
746,SREINFRA,2020-05
746,WENDT,2020-05
747,ASALCBR,2020-05
748,MPSLTD,2020-05
749,RGL,2020-05
750,ZEELEARN,2020-05
