symbol,status,note
APOLLOHOSP,ok,"3 series, svg+mmd"
APOLLOTYRE,ok,"3 series, svg+mmd"
APTUS,ok,"3 series, svg+mmd"
ARVIND,ok,"2 series, svg+mmd"
ARVINDFASN,ok,"2 series, svg+mmd"
ASAHIINDIA,ok,"3 series, svg+mmd"
ASHAPURMIN,ok,"2 series, svg+mmd"
ASHOKA,ok,"2 series, svg+mmd"
ASHOKLEY,ok,"3 series, svg+mmd"
ASIANPAINT,ok,"3 series, svg+mmd"
ASKAUTOLTD,ok,"2 series, svg+mmd"
ASTERDM,ok,"3 series, svg+mmd"
ASTRAL,ok,"3 series, svg+mmd"
ASTRAMICRO,ok,"2 series, svg+mmd"
ATGL,ok,"3 series, svg+mmd"
ATHERENERG,ok,"2 series, svg+mmd"
ATLANTAELE,ok,"2 series, svg+mmd"
ATUL,ok,"3 series, svg+mmd"
AUBANK,ok,"3 series, svg+mmd"
AURIONPRO,ok,"2 series, svg+mmd"
AUROPHARMA,ok,"3 series, svg+mmd"
AVALON,ok,"2 series, svg+mmd"
AVANTIFEED,ok,"2 series, svg+mmd"
AVL,ok,"2 series, svg+mmd"
AWFIS,ok,"2 series, svg+mmd"
AWL,ok,"3 series, svg+mmd"
AXISBANK,ok,"3 series, svg+mmd"
AXISCADES,ok,"2 series, svg+mmd"
AZAD,ok,"2 series, svg+mmd"
BAJAJ-AUTO,ok,"3 series, svg+mmd"
BAJAJELEC,ok,"2 series, svg+mmd"
BAJAJFINSV,ok,"3 series, svg+mmd"
BAJAJHFL,ok,"3 series, svg+mmd"
BAJAJHLDNG,ok,"3 series, svg+mmd"
BAJFINANCE,ok,"3 series, svg+mmd"
BALAMINES,ok,"2 series, svg+mmd"
BALKRISIND,ok,"3 series, svg+mmd"
BALRAMCHIN,ok,"3 series, svg+mmd"
BALUFORGE,ok,"2 series, svg+mmd"
BANCOINDIA,ok,"2 series, svg+mmd"
BANDHANBNK,ok,"3 series, svg+mmd"
BANKBARODA,ok,"3 series, svg+mmd"
BANKINDIA,ok,"3 series, svg+mmd"
BATAINDIA,ok,"3 series, svg+mmd"
BAYERCROP,ok,"1 series, svg+mmd"
BBOX,ok,"2 series, svg+mmd"
BBTC,ok,"3 series, svg+mmd"
BDL,ok,"3 series, svg+mmd"
BECTORFOOD,ok,"2 series, svg+mmd"
BEL,ok,"3 series, svg+mmd"
BELRISE,ok,"2 series, svg+mmd"
BEML,ok,"3 series, svg+mmd"
BERGEPAINT,ok,"3 series, svg+mmd"
BHARATFORG,ok,"3 series, svg+mmd"
BHARTIARTL,ok,"3 series, svg+mmd"
BHARTIHEXA,ok,"3 series, svg+mmd"
BHEL,ok,"3 series, svg+mmd"
BIKAJI,ok,"3 series, svg+mmd"
BIOCON,ok,"3 series, svg+mmd"
BIRLACORPN,ok,"2 series, svg+mmd"
BLACKBUCK,ok,"2 series, svg+mmd"
BLS,ok,"3 series, svg+mmd"
BLUEDART,ok,"3 series, svg+mmd"
BLUEJET,ok,"3 series, svg+mmd"
BLUESTARCO,ok,"3 series, svg+mmd"
BLUESTONE,ok,"2 series, svg"
BORORENEW,ok,"2 series, svg+mmd"
BOSCHLTD,ok,"3 series, svg+mmd"
BPCL,ok,"3 series, svg+mmd"
BRIGADE,ok,"3 series, svg+mmd"
BRITANNIA,ok,"3 series, svg+mmd"
BSE,ok,"3 series, svg+mmd"
BSOFT,ok,"3 series, svg+mmd"
CAMPUS,ok,"2 series, svg+mmd"
CAMS,ok,"3 series, svg+mmd"
CANBK,ok,"3 series, svg+mmd"
CANFINHOME,ok,"3 series, svg+mmd"
CANHLIFE,ok,"2 series, svg+mmd"
CAPILLARY,ok,"2 series, svg+mmd"
CAPLIPOINT,ok,"3 series, svg+mmd"
CARBORUNIV,ok,"3 series, svg+mmd"
CARTRADE,ok,"3 series, svg+mmd"
CASTROLIND,ok,"3 series, svg+mmd"
CCAVENUE,ok,"2 series, svg+mmd"
CCL,ok,"3 series, svg+mmd"
CDSL,ok,"3 series, svg+mmd"
CEATLTD,ok,"3 series, svg+mmd"
CELLO,ok,"2 series, svg+mmd"
CEMPRO,ok,"3 series, svg+mmd"
CENTRALBK,ok,"3 series, svg+mmd"
CENTURYPLY,ok,"2 series, svg+mmd"
CERA,ok,"2 series, svg+mmd"
CESC,ok,"3 series, svg+mmd"
CGCL,ok,"3 series, svg+mmd"
CGPOWER,ok,"3 series, svg+mmd"
CHALET,ok,"3 series, svg+mmd"
CHAMBLFERT,ok,"3 series, svg+mmd"
CHENNPETRO,ok,"3 series, svg+mmd"
CHOICEIN,ok,"3 series, svg+mmd"
CHOLAFIN,ok,"3 series, svg+mmd"
CHOLAHLDNG,ok,"3 series, svg+mmd"
CIEINDIA,ok,"3 series, svg+mmd"
CIPLA,ok,"3 series, svg+mmd"
CLEAN,ok,"3 series, svg+mmd"
CMSINFO,ok,"2 series, svg+mmd"
COALINDIA,ok,"3 series, svg+mmd"
COCHINSHIP,ok,"3 series, svg+mmd"
COFORGE,ok,"3 series, svg+mmd"
COHANCE,ok,"3 series, svg+mmd"
COLPAL,ok,"1 series, svg+mmd"
CONCOR,ok,"3 series, svg+mmd"
CONCORDBIO,ok,"3 series, svg+mmd"
COROMANDEL,ok,"3 series, svg+mmd"
CORONA,ok,"2 series, svg+mmd"
CPPLUS,ok,"2 series, svg+mmd"
CRAFTSMAN,ok,"3 series, svg+mmd"
CRAMC,ok,"2 series, svg+mmd"
CREDITACC,ok,"3 series, svg+mmd"
CRISIL,ok,"3 series, svg+mmd"
CRIZAC,ok,"2 series, svg+mmd"
CROMPTON,ok,"3 series, svg+mmd"
CSBBANK,ok,"2 series, svg+mmd"
CUB,ok,"3 series, svg+mmd"
CUMMINSIND,ok,"3 series, svg+mmd"
CUPID,ok,"2 series, svg+mmd"
CYIENT,ok,"3 series, svg+mmd"
DABUR,ok,"3 series, svg+mmd"
DALBHARAT,ok,"3 series, svg+mmd"
DATAMATICS,ok,"2 series, svg+mmd"
DATAPATTNS,ok,"3 series, svg+mmd"
DBL,ok,"2 series, svg+mmd"
DBREALTY,ok,"2 series, svg+mmd"
DCBBANK,ok,"2 series, svg+mmd"
DCMSHRIRAM,ok,"3 series, svg+mmd"
DEEPAKFERT,ok,"3 series, svg+mmd"
DEEPAKNTR,ok,"3 series, svg+mmd"
DELHIVERY,ok,"3 series, svg+mmd"
DEVYANI,ok,"3 series, svg+mmd"
DIACABS,ok,"2 series, svg+mmd"
DIVISLAB,ok,"3 series, svg+mmd"
DIXON,ok,"3 series, svg+mmd"
DLF,ok,"3 series, svg+mmd"
DMART,ok,"3 series, svg+mmd"
DOMS,ok,"3 series, svg+mmd"
DRREDDY,ok,"3 series, svg+mmd"
DYNAMATECH,ok,"2 series, svg+mmd"
ECLERX,ok,"3 series, svg+mmd"
EDELWEISS,ok,"2 series, svg+mmd"
EICHERMOT,ok,"3 series, svg+mmd"
EIDPARRY,ok,"3 series, svg+mmd"
EIEL,ok,"2 series, svg+mmd"
EIHOTEL,ok,"3 series, svg+mmd"
ELECON,ok,"3 series, svg+mmd"
ELECTCAST,ok,"2 series, svg+mmd"
ELGIEQUIP,ok,"3 series, svg+mmd"
ELLEN,ok,"2 series, svg+mmd"
EMAMILTD,ok,"3 series, svg+mmd"
EMBDL,ok,"2 series, svg+mmd"
EMCURE,ok,"3 series, svg+mmd"
EMIL,ok,"2 series, svg+mmd"
EMMVEE,ok,"2 series, svg+mmd"
ENDURANCE,ok,"3 series, svg+mmd"
ENGINERSIN,ok,"3 series, svg+mmd"
ENRIN,no-chart,no year-on-year series to plot
ENTERO,ok,"2 series, svg+mmd"
EPL,ok,"2 series, svg+mmd"
EQUITASBNK,ok,"2 series, svg+mmd"
ERIS,ok,"3 series, svg+mmd"
ESCORTS,ok,"3 series, svg+mmd"
ETERNAL,ok,"3 series, svg+mmd"
ETHOSLTD,ok,"2 series, svg+mmd"
EUREKAFORB,ok,"2 series, svg+mmd"
EXIDEIND,ok,"3 series, svg+mmd"
FACT,ok,"3 series, svg+mmd"
FEDERALBNK,ok,"3 series, svg+mmd"
FEDFINA,ok,"2 series, svg+mmd"
FIEMIND,ok,"2 series, svg+mmd"
FINCABLES,ok,"3 series, svg+mmd"
FINPIPE,ok,"2 series, svg+mmd"
FIRSTCRY,ok,"3 series, svg+mmd"
FIVESTAR,ok,"3 series, svg+mmd"
FLUOROCHEM,ok,"3 series, svg+mmd"
FORCEMOT,ok,"3 series, svg+mmd"
FORTIS,ok,"3 series, svg+mmd"
FSL,ok,"3 series, svg+mmd"
GABRIEL,ok,"3 series, svg+mmd"
GAEL,ok,"2 series, svg+mmd"
GAIL,ok,"3 series, svg+mmd"
GALLANTT,ok,"3 series, svg+mmd"
GESHIP,ok,"3 series, svg+mmd"
GHCL,ok,"2 series, svg+mmd"
GICRE,ok,"3 series, svg+mmd"
GILLETTE,ok,"3 series, svg+mmd"
GLAND,ok,"3 series, svg+mmd"
GLAXO,ok,"3 series, svg+mmd"
GLENMARK,ok,"3 series, svg+mmd"
GMDCLTD,ok,"3 series, svg+mmd"
GMMPFAUDLR,ok,"2 series, svg+mmd"
GMRAIRPORT,ok,"3 series, svg+mmd"
GNFC,ok,"2 series, svg+mmd"
GODFRYPHLP,ok,"3 series, svg+mmd"
GODIGIT,ok,"3 series, svg+mmd"
GODREJAGRO,ok,"2 series, svg+mmd"
GODREJCP,ok,"3 series, svg+mmd"
GODREJIND,ok,"3 series, svg+mmd"
GODREJPROP,ok,"3 series, svg+mmd"
GOKEX,ok,"2 series, svg+mmd"
GOKULAGRO,ok,"2 series, svg+mmd"
GPIL,ok,"3 series, svg+mmd"
GPPL,ok,"2 series, svg+mmd"
GRANULES,ok,"3 series, svg+mmd"
GRAPHITE,ok,"3 series, svg+mmd"
GRASIM,ok,"3 series, svg+mmd"
GRAVITA,ok,"3 series, svg+mmd"
GREAVESCOT,ok,"2 series, svg+mmd"
GROWW,ok,"2 series, svg+mmd"
GRSE,ok,"3 series, svg+mmd"
GRWRHITECH,ok,"2 series, svg+mmd"
GSFC,ok,"2 series, svg+mmd"
HAL,ok,"3 series, svg+mmd"
HAPPSTMNDS,ok,"2 series, svg+mmd"
HAVELLS,ok,"3 series, svg+mmd"
HBLENGINE,ok,"3 series, svg+mmd"
HCC,ok,"2 series, svg+mmd"
HCG,ok,"2 series, svg+mmd"
HCLTECH,ok,"3 series, svg+mmd"
HDBFS,ok,"2 series, svg+mmd"
HDFCAMC,ok,"3 series, svg+mmd"
HDFCBANK,ok,"3 series, svg+mmd"
HDFCLIFE,ok,"3 series, svg+mmd"
HEG,ok,"3 series, svg+mmd"
HEMIPROP,ok,"2 series, svg+mmd"
HERITGFOOD,ok,"2 series, svg+mmd"
HEROMOTOCO,ok,"3 series, svg+mmd"
HEXT,ok,"3 series, svg+mmd"
HFCL,ok,"3 series, svg+mmd"
HGINFRA,ok,"2 series, svg+mmd"
HINDALCO,ok,"3 series, svg+mmd"
HINDCOPPER,ok,"3 series, svg+mmd"
HINDPETRO,ok,"3 series, svg+mmd"
HINDUNILVR,ok,"3 series, svg+mmd"
HINDZINC,ok,"3 series, svg+mmd"
HOMEFIRST,ok,"3 series, svg+mmd"
HONASA,ok,"3 series, svg+mmd"
HONAUT,ok,"3 series, svg+mmd"
HSCL,ok,"3 series, svg+mmd"
HUDCO,ok,"3 series, svg+mmd"
HYUNDAI,ok,"3 series, svg+mmd"
ICICIAMC,ok,"2 series, svg"
ICICIBANK,ok,"3 series, svg+mmd"
ICICIGI,ok,"3 series, svg+mmd"
ICICIPRULI,ok,"3 series, svg+mmd"
ICIL,ok,"2 series, svg+mmd"
IDBI,ok,"3 series, svg+mmd"
IDEA,ok,"3 series, svg+mmd"
IDFCFIRSTB,ok,"3 series, svg+mmd"
IEX,ok,"3 series, svg+mmd"
IFBIND,ok,"2 series, svg+mmd"
IFCI,ok,"3 series, svg+mmd"
IGIL,ok,"3 series, svg+mmd"
IGL,ok,"3 series, svg+mmd"
IIFL,ok,"3 series, svg+mmd"
IIFLCAPS,ok,"2 series, svg+mmd"
IKS,ok,"3 series, svg+mmd"
IMFA,ok,"2 series, svg+mmd"
INDGN,ok,"3 series, svg+mmd"
INDHOTEL,ok,"3 series, svg+mmd"
INDIACEM,ok,"3 series, svg+mmd"
INDIAGLYCO,ok,"2 series, svg+mmd"
INDIAMART,ok,"3 series, svg+mmd"
INDIANB,ok,"3 series, svg+mmd"
INDIASHLTR,ok,"2 series, svg+mmd"
INDIGO,ok,"3 series, svg+mmd"
INDIGOPNTS,ok,"2 series, svg+mmd"
INDUSINDBK,ok,"3 series, svg+mmd"
INDUSTOWER,ok,"3 series, svg+mmd"
INFY,ok,"3 series, svg+mmd"
INOXGREEN,ok,"2 series, svg+mmd"
INOXINDIA,ok,"2 series, svg+mmd"
INOXWIND,ok,"3 series, svg+mmd"
INTELLECT,ok,"3 series, svg+mmd"
IOB,ok,"3 series, svg+mmd"
IOC,ok,"3 series, svg+mmd"
IONEXCHANG,ok,"2 series, svg+mmd"
IPCALAB,ok,"3 series, svg+mmd"
IRB,ok,"3 series, svg+mmd"
IRCON,ok,"3 series, svg+mmd"
IRCTC,ok,"3 series, svg+mmd"
IREDA,ok,"3 series, svg+mmd"
IRFC,ok,"3 series, svg+mmd"
ITC,ok,"3 series, svg+mmd"
ITCHOTELS,ok,"3 series, svg+mmd"
ITI,ok,"3 series, svg+mmd"
IXIGO,ok,"2 series, svg+mmd"
JAIBALAJI,ok,"2 series, svg+mmd"
JAINREC,ok,"2 series, svg+mmd"
JAMNAAUTO,ok,"2 series, svg+mmd"
JAYNECOIND,ok,"1 series, svg"
JBCHEPHARM,ok,"3 series, svg+mmd"
JBMA,ok,"3 series, svg+mmd"
JINDALSAW,ok,"3 series, svg+mmd"
JINDALSTEL,ok,"3 series, svg+mmd"
JIOFIN,ok,"3 series, svg+mmd"
JKCEMENT,ok,"3 series, svg+mmd"
JKLAKSHMI,ok,"2 series, svg+mmd"
JKPAPER,ok,"2 series, svg+mmd"
JKTYRE,ok,"3 series, svg+mmd"
JLHL,ok,"2 series, svg+mmd"
JMFINANCIL,ok,"3 series, svg+mmd"
JPPOWER,ok,"3 series, svg+mmd"
JSFB,ok,"2 series, svg+mmd"
JSL,ok,"3 series, svg+mmd"
JSLL,ok,"2 series, svg+mmd"
JSWCEMENT,ok,"2 series, svg+mmd"
JSWDULUX,ok,"3 series, svg+mmd"
JSWENERGY,ok,"3 series, svg+mmd"
JSWINFRA,ok,"3 series, svg+mmd"
JSWSTEEL,ok,"3 series, svg+mmd"
JUBLFOOD,ok,"3 series, svg+mmd"
JUBLINGREA,ok,"3 series, svg+mmd"
JUBLPHARMA,ok,"3 series, svg+mmd"
JUSTDIAL,ok,"2 series, svg+mmd"
JWL,ok,"3 series, svg+mmd"
JYOTHYLAB,ok,"2 series, svg+mmd"
JYOTICNC,ok,"3 series, svg+mmd"
KAJARIACER,ok,"3 series, svg+mmd"
KALYANKJIL,ok,"3 series, svg+mmd"
KANSAINER,ok,"2 series, svg+mmd"
KARURVYSYA,ok,"3 series, svg+mmd"
KAYNES,ok,"3 series, svg+mmd"
KEC,ok,"3 series, svg+mmd"
KEI,ok,"3 series, svg+mmd"
KFINTECH,ok,"3 series, svg+mmd"
KIMS,ok,"3 series, svg+mmd"
KIRLOSBROS,ok,"2 series, svg+mmd"
KIRLOSENG,ok,"3 series, svg+mmd"
KIRLPNU,ok,"2 series, svg+mmd"
KITEX,ok,"2 series, svg+mmd"
KNRCON,ok,"2 series, svg+mmd"
KOTAKBANK,ok,"3 series, svg+mmd"
KPIGREEN,ok,"2 series, svg+mmd"
KPIL,ok,"3 series, svg+mmd"
KPITTECH,ok,"3 series, svg+mmd"
KPRMILL,ok,"3 series, svg+mmd"
KRBL,ok,"2 series, svg+mmd"
KRN,ok,"2 series, svg+mmd"
KSB,ok,"2 series, svg+mmd"
KSCL,ok,"2 series, svg+mmd"
KTKBANK,ok,"2 series, svg+mmd"
LALPATHLAB,ok,"3 series, svg+mmd"
LATENTVIEW,ok,"3 series, svg+mmd"
LAURUSLABS,ok,"3 series, svg+mmd"
LEMONTREE,ok,"3 series, svg+mmd"
LENSKART,ok,"2 series, svg+mmd"
LGEINDIA,ok,"2 series, svg+mmd"
LICHSGFIN,ok,"3 series, svg+mmd"
LICI,ok,"3 series, svg+mmd"
LINDEINDIA,ok,"3 series, svg+mmd"
LLOYDSENGG,ok,"2 series, svg"
LLOYDSENT,ok,"2 series, svg+mmd"
LLOYDSME,ok,"3 series, svg+mmd"
LODHA,ok,"3 series, svg+mmd"
LOTUSDEV,ok,"2 series, svg+mmd"
LT,ok,"3 series, svg+mmd"
LTF,ok,"3 series, svg+mmd"
LTFOODS,ok,"3 series, svg+mmd"
LTM,ok,"3 series, svg+mmd"
LTTS,ok,"3 series, svg+mmd"
LUMAXTECH,ok,"2 series, svg+mmd"
LUPIN,ok,"3 series, svg+mmd"
LXCHEM,ok,"2 series, svg+mmd"
MAHABANK,ok,"3 series, svg+mmd"
MAHSCOOTER,ok,"2 series, svg+mmd"
MAHSEAMLES,ok,"2 series, svg+mmd"
MANAPPURAM,ok,"3 series, svg+mmd"
MANKIND,ok,"3 series, svg+mmd"
MANORAMA,ok,"2 series, svg"
MANYAVAR,ok,"2 series, svg+mmd"
MAPMYINDIA,ok,"3 series, svg+mmd"
MARICO,ok,"3 series, svg+mmd"
MARKSANS,ok,"2 series, svg+mmd"
MARUTI,ok,"3 series, svg+mmd"
MASTEK,ok,"2 series, svg+mmd"
MAXHEALTH,ok,"3 series, svg+mmd"
MAZDOCK,ok,"3 series, svg+mmd"
MCX,ok,"3 series, svg+mmd"
MEDANTA,ok,"3 series, svg+mmd"
MEDPLUS,ok,"2 series, svg+mmd"
MEESHO,ok,"2 series, svg+mmd"
METROPOLIS,ok,"2 series, svg+mmd"
MFSL,ok,"3 series, svg+mmd"
MGL,ok,"3 series, svg+mmd"
MIDHANI,ok,"2 series, svg+mmd"
MINDACORP,ok,"3 series, svg+mmd"
MMTC,ok,"3 series, svg+mmd"
MOIL,ok,"2 series, svg+mmd"
MOTHERSON,ok,"3 series, svg+mmd"
MOTILALOFS,ok,"3 series, svg+mmd"
MPHASIS,ok,"3 series, svg+mmd"
MRF,ok,"3 series, svg+mmd"
MRPL,ok,"3 series, svg+mmd"
MSTCLTD,ok,"2 series, svg+mmd"
MSUMI,ok,"3 series, svg+mmd"
MTARTECH,ok,"2 series, svg+mmd"
MUTHOOTFIN,ok,"3 series, svg+mmd"
NAM-INDIA,ok,"3 series, svg+mmd"
NATCOPHARM,ok,"3 series, svg+mmd"
NATIONALUM,ok,"3 series, svg+mmd"
NAUKRI,ok,"3 series, svg+mmd"
NAVA,ok,"3 series, svg+mmd"
NAVINFLUOR,ok,"3 series, svg+mmd"
NAZARA,ok,"2 series, svg+mmd"
NBCC,ok,"3 series, svg+mmd"
NCC,ok,"3 series, svg+mmd"
NEOGEN,ok,"2 series, svg+mmd"
NESCO,ok,"2 series, svg+mmd"
NESTLEIND,ok,"3 series, svg+mmd"
NETWEB,ok,"3 series, svg+mmd"
NETWORK18,ok,"2 series, svg+mmd"
NEULANDLAB,ok,"3 series, svg+mmd"
NEWGEN,ok,"3 series, svg+mmd"
NFL,ok,"2 series, svg+mmd"
NH,ok,"3 series, svg+mmd"
NHPC,ok,"3 series, svg+mmd"
NIACL,ok,"3 series, svg+mmd"
NIVABUPA,ok,"3 series, svg+mmd"
NLCINDIA,ok,"3 series, svg+mmd"
NMDC,ok,"3 series, svg+mmd"
NSLNISP,ok,"3 series, svg+mmd"
NTPC,ok,"3 series, svg+mmd"
NTPCGREEN,ok,"3 series, svg+mmd"
NUVAMA,ok,"3 series, svg+mmd"
NUVOCO,ok,"3 series, svg+mmd"
NYKAA,ok,"3 series, svg+mmd"
OBEROIRLTY,ok,"3 series, svg+mmd"
OFSS,ok,"3 series, svg+mmd"
OIL,ok,"3 series, svg+mmd"
OLAELEC,ok,"3 series, svg+mmd"
OLECTRA,ok,"3 series, svg+mmd"
ONESOURCE,ok,"3 series, svg+mmd"
ONGC,ok,"3 series, svg+mmd"
OPTIEMUS,ok,"2 series, svg+mmd"
ORIENTCEM,ok,"2 series, svg+mmd"
ORKLAINDIA,ok,"2 series, svg+mmd"
OSWALPUMPS,ok,"2 series, svg+mmd"
PAGEIND,ok,"3 series, svg+mmd"
PARADEEP,ok,"3 series, svg+mmd"
PARAS,ok,"2 series, svg+mmd"
PARKHOSPS,ok,"2 series, svg+mmd"
PATANJALI,ok,"3 series, svg+mmd"
PAYTM,ok,"3 series, svg+mmd"
PCBL,ok,"3 series, svg+mmd"
PCJEWELLER,ok,"2 series, svg+mmd"
PERSISTENT,ok,"3 series, svg+mmd"
PETRONET,ok,"3 series, svg+mmd"
PFC,ok,"3 series, svg+mmd"
PFIZER,ok,"1 series, svg+mmd"
PFOCUS,ok,"2 series, svg+mmd"
PGEL,ok,"3 series, svg+mmd"
PGIL,ok,"2 series, svg+mmd"
PHOENIXLTD,ok,"3 series, svg+mmd"
PICCADIL,ok,"2 series, svg+mmd"
PIDILITIND,ok,"3 series, svg+mmd"
PIIND,ok,"3 series, svg+mmd"
PINELABS,ok,"2 series, svg+mmd"
PIRAMALFIN,ok,"2 series, svg+mmd"
PNB,ok,"3 series, svg+mmd"
PNBHOUSING,ok,"3 series, svg+mmd"
PNCINFRA,ok,"2 series, svg+mmd"
PNGJL,ok,"2 series, svg+mmd"
POLICYBZR,ok,"3 series, svg+mmd"
POLYCAB,ok,"3 series, svg+mmd"
POLYMED,ok,"3 series, svg+mmd"
POONAWALLA,ok,"3 series, svg+mmd"
POWERGRID,ok,"3 series, svg+mmd"
POWERINDIA,ok,"3 series, svg+mmd"
POWERMECH,ok,"2 series, svg+mmd"
PPLPHARMA,ok,"3 series, svg+mmd"
PRAJIND,ok,"2 series, svg+mmd"
PREMIERENE,ok,"3 series, svg+mmd"
PRESTIGE,ok,"3 series, svg+mmd"
PRICOLLTD,ok,"2 series, svg+mmd"
PRIVISCL,ok,"2 series, svg+mmd"
PRSMJOHNSN,ok,"2 series, svg+mmd"
PRUDENT,ok,"2 series, svg+mmd"
PTC,ok,"2 series, svg+mmd"
PTCIL,ok,"3 series, svg+mmd"
PURVA,ok,"2 series, svg+mmd"
PVRINOX,ok,"3 series, svg+mmd"
PWL,ok,"2 series, svg+mmd"
QPOWER,ok,"2 series, svg+mmd"
QUESS,ok,"2 series, svg+mmd"
RADICO,ok,"3 series, svg+mmd"
RAILTEL,ok,"3 series, svg+mmd"
RAIN,ok,"2 series, svg+mmd"
RAINBOW,ok,"3 series, svg+mmd"
RALLIS,ok,"2 series, svg+mmd"
RAMCOCEM,ok,"3 series, svg+mmd"
RATEGAIN,ok,"2 series, svg+mmd"
RATNAMANI,ok,"2 series, svg+mmd"
RAYMONDLSL,ok,"2 series, svg+mmd"
RBA,ok,"2 series, svg+mmd"
RBLBANK,ok,"3 series, svg+mmd"
RCF,ok,"2 series, svg+mmd"
RECLTD,ok,"3 series, svg+mmd"
REDINGTON,ok,"3 series, svg+mmd"
REDTAPE,ok,"2 series, svg+mmd"
REFEX,ok,"2 series, svg+mmd"
RELAXO,ok,"2 series, svg+mmd"
RELIANCE,ok,"3 series, svg+mmd"
RELIGARE,ok,"2 series, svg+mmd"
RENUKA,ok,"2 series, svg+mmd"
RHIM,ok,"3 series, svg+mmd"
RITES,ok,"3 series, svg+mmd"
RKFORGE,ok,"3 series, svg+mmd"
ROUTE,ok,"2 series, svg+mmd"
RPOWER,ok,"3 series, svg+mmd"
RRKABEL,ok,"3 series, svg+mmd"
RTNINDIA,ok,"2 series, svg+mmd"
RTNPOWER,ok,"2 series, svg+mmd"
RUBICON,ok,"2 series, svg+mmd"
RVNL,ok,"3 series, svg+mmd"
SAATVIKGL,ok,"2 series, svg+mmd"
SAFARI,ok,"2 series, svg+mmd"
SAGILITY,ok,"3 series, svg+mmd"
SAIL,ok,"3 series, svg+mmd"
SAILIFE,ok,"3 series, svg+mmd"
SAMHI,ok,"2 series, svg+mmd"
SAMMAANCAP,ok,"3 series, svg+mmd"
SANDUMA,ok,"2 series, svg+mmd"
SANOFICONR,ok,"2 series, svg"
SANSERA,ok,"2 series, svg+mmd"
SAPPHIRE,ok,"3 series, svg+mmd"
SARDAEN,ok,"3 series, svg+mmd"
SAREGAMA,ok,"3 series, svg+mmd"
SBFC,ok,"3 series, svg+mmd"
SBICARD,ok,"3 series, svg+mmd"
SBILIFE,ok,"3 series, svg+mmd"
SBIN,ok,"3 series, svg+mmd"
SCHAEFFLER,ok,"3 series, svg+mmd"
SCHNEIDER,ok,"3 series, svg+mmd"
SCI,ok,"3 series, svg+mmd"
SENCO,ok,"2 series, svg+mmd"
SFL,ok,"2 series, svg+mmd"
SHAILY,ok,"2 series, svg+mmd"
SHAKTIPUMP,ok,"2 series, svg+mmd"
SHARDACROP,ok,"2 series, svg+mmd"
SHAREINDIA,ok,"2 series, svg+mmd"
SHILPAMED,ok,"2 series, svg+mmd"
SHREECEM,ok,"3 series, svg+mmd"
SHRIPISTON,ok,"2 series, svg+mmd"
SHRIRAMFIN,ok,"3 series, svg+mmd"
SHYAMMETL,ok,"3 series, svg+mmd"
SIEMENS,ok,"3 series, svg+mmd"
SIGNATURE,ok,"3 series, svg+mmd"
SJVN,ok,"3 series, svg+mmd"
