symbol,status,relative_points,note
BLACKBUCK,skipped,100,analysis: unchanged; comparison: unchanged
BLS,skipped,82,analysis: unchanged; comparison: unchanged
BLUEDART,skipped,15,analysis: unchanged; comparison: unchanged
BLUEJET,skipped,17,analysis: unchanged; comparison: unchanged
BLUESTARCO,skipped,77,analysis: unchanged; comparison: unchanged
BLUESTONE,skipped,100,analysis: unchanged; comparison: unchanged
BORORENEW,skipped,90,analysis: unchanged; comparison: unchanged
BOSCHLTD,skipped,56,analysis: unchanged; comparison: unchanged
BPCL,skipped,58,analysis: unchanged; comparison: unchanged
BRIGADE,skipped,73,analysis: unchanged; comparison: unchanged
BRITANNIA,skipped,42,analysis: unchanged; comparison: unchanged
BSE,skipped,100,analysis: unchanged; comparison: unchanged
BSOFT,skipped,38,analysis: unchanged; comparison: unchanged
CAMPUS,skipped,100,analysis: unchanged; comparison: unchanged
CAMS,skipped,53,analysis: unchanged; comparison: unchanged
CANBK,skipped,89,analysis: unchanged; comparison: unchanged
CANFINHOME,skipped,71,analysis: unchanged; comparison: unchanged
CANHLIFE,skipped,31,analysis: unchanged; comparison: unchanged
CAPILLARY,skipped,100,analysis: unchanged; comparison: unchanged
CAPLIPOINT,skipped,81,analysis: unchanged; comparison: unchanged
CARBORUNIV,skipped,17,analysis: unchanged; comparison: unchanged
CARTRADE,skipped,84,analysis: unchanged; comparison: unchanged
CASTROLIND,skipped,25,analysis: unchanged; comparison: unchanged
CCAVENUE,skipped,84,analysis: unchanged; comparison: unchanged
CCL,skipped,77,analysis: unchanged; comparison: unchanged
CDSL,skipped,73,analysis: unchanged; comparison: unchanged
CEATLTD,skipped,69,analysis: unchanged; comparison: unchanged
CELLO,skipped,25,analysis: unchanged; comparison: unchanged
CEMPRO,skipped,91,analysis: unchanged; comparison: unchanged
CENTRALBK,skipped,46,analysis: unchanged; comparison: unchanged
CENTURYPLY,skipped,41,analysis: unchanged; comparison: unchanged
CERA,skipped,42,analysis: unchanged; comparison: unchanged
CESC,skipped,44,analysis: unchanged; comparison: unchanged
CGCL,skipped,79,analysis: unchanged; comparison: unchanged
CGPOWER,skipped,73,analysis: unchanged; comparison: unchanged
CHALET,skipped,92,analysis: unchanged; comparison: unchanged
CHAMBLFERT,skipped,58,analysis: unchanged; comparison: unchanged
CHENNPETRO,skipped,77,analysis: unchanged; comparison: unchanged
CHOICEIN,skipped,98,analysis: unchanged; comparison: unchanged
