symbol,status,seconds
JUBLFOOD,ok,
JUBLINGREA,ok,
JUBLPHARMA,ok,
JUSTDIAL,ok,
JWL,ok,
JYOTHYLAB,ok,
JYOTICNC,ok,
KAJARIACER,ok,
KALYANKJIL,ok,
KANSAINER,ok,
KARURVYSYA,ok,
KAYNES,ok,
KEC,ok,
KEI,ok,
KFINTECH,ok,
KIMS,ok,
KIRLOSBROS,ok,
KIRLOSENG,ok,
KIRLPNU,ok,
KITEX,ok,
KNRCON,ok,
KOTAKBANK,ok,
KPIGREEN,ok,
KPIL,ok,
KPITTECH,ok,
KPRMILL,ok,
KRBL,ok,
KRN,ok,
KSB,ok,
KSCL,ok,
