date,symbol,event
2020-07-10,AHLUCONT,fresh signal REFUSED — falling earnings power
2020-07-10,ASTEC,"fresh signal NOT FUNDED — cash exhausted (BUY: 2.14× weekly, month 6.22×, ladder rising)"
2020-07-10,BAJAJHLDNG,fresh signal REFUSED — falling earnings power
2020-07-10,BAJFINANCE,fresh signal REFUSED — falling earnings power
2020-07-10,BANARISUG,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 2.47× weekly, month 2.27×, ladder rising)"
2020-07-10,BEL,fresh signal REFUSED — falling earnings power
2020-07-10,BHARATRAS,"fresh signal NOT FUNDED — cash exhausted (BUY: 10.68× weekly, month 4.68×, ladder rising)"
2020-07-10,BODALCHEM,"fresh signal NOT FUNDED — cash exhausted (BUY: 2.04× weekly, month 3.36×, ladder rising)"
2020-07-10,BOMDYEING,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 1.93× weekly, month 1.95×, ladder rising)"
2020-07-10,BRIGADE,fresh signal REFUSED — falling earnings power
2020-07-10,CANBK,fresh signal REFUSED — falling earnings power
2020-07-10,COSMOFILMS,"fresh signal NOT FUNDED — cash exhausted (BUY: 2.78× weekly, month 2.26×, ladder rising)"
2020-07-10,DAAWAT,"fresh signal NOT FUNDED — cash exhausted (BUY: 1.56× weekly, month 3.77×, ladder rising)"
2020-07-10,EIHAHOTELS,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 1.58× weekly, month 1.94×, ladder rising)"
2020-07-10,ELGIEQUIP,fresh signal REFUSED — falling earnings power
2020-07-10,FSL,fresh signal REFUSED — falling earnings power
2020-07-10,GEOJITFSL,"fresh signal NOT FUNDED — cash exhausted (BUY: 2.55× weekly, month 5.07×, ladder rising)"
2020-07-10,GHCL,fresh signal REFUSED — falling earnings power
2020-07-10,GNFC,fresh signal REFUSED — falling earnings power
2020-07-10,GODREJAGRO,fresh signal REFUSED — falling earnings power
2020-07-10,GREAVESCOT,fresh signal REFUSED — falling earnings power
2020-07-10,HINDCOPPER,fresh signal REFUSED — falling earnings power
2020-07-10,HUDCO,fresh signal REFUSED — falling earnings power
2020-07-10,ICIL,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 3.85× weekly, month 2.28×, ladder rising)"
