date,symbol,event
2015-07-03,CHENNPETRO,RAISE STOP ₹94.03 → ₹141.50 (new box ₹152.20–₹187.85 sealed)
2015-07-03,DISHTV,RAISE STOP ₹90.11 → ₹93.74 (new box ₹99.20–₹117.40 sealed)
2015-07-03,MANINDS,RAISE STOP ₹67.54 → ₹81.13 (new box ₹85.40–₹93.75 sealed)
2015-07-03,SMLISUZU,"RAISE STOP ₹997.50 → ₹1,053.55 (new box ₹1,109.00–₹1,185.00 sealed)"
2015-07-17,NILKAMAL,RAISE STOP ₹479.89 → ₹547.82 (new box ₹576.65–₹625.95 sealed)
2015-07-17,VADILALIND,RAISE STOP ₹463.60 → ₹637.45 (new box ₹671.00–₹767.90 sealed)
2015-07-24,IGARASHI,RAISE STOP ₹398.82 → ₹599.45 (new box ₹631.00–₹708.80 sealed)
2015-07-31,CHENNPETRO,RAISE STOP ₹141.50 → ₹161.50 (new box ₹170.00–₹192.40 sealed)
2015-07-31,MANINDS,RAISE STOP ₹81.13 → ₹95.77 (new box ₹102.95–₹126.90 sealed)
2015-07-31,VADILALIND,RAISE STOP ₹637.45 → ₹716.44 (new box ₹755.00–₹883.55 sealed)
2015-08-07,DISHTV,RAISE STOP ₹93.74 → ₹102.60 (new box ₹108.00–₹120.60 sealed)
2015-08-07,NILKAMAL,RAISE STOP ₹547.82 → ₹730.69 (new box ₹769.15–₹859.40 sealed)
2015-08-07,TORNTPHARM,"RAISE STOP ₹1,249.25 → ₹1,330.00 (new box ₹1,400.00–₹1,515.00 sealed)"
2015-08-13,VADILALIND,"SELL ₹13.29 at stop ₹716.44 (+47.1%, charges ₹0.01) — the cash goes back to work at the next Friday screen"
2015-08-14,AARTIIND,"fresh signal NOT FUNDED — cash exhausted (BUY: 1.90× weekly, month 1.67×, ladder rising)"
2015-08-14,BRITANNIA,"fresh signal NOT FUNDED — cash exhausted (BUY: 1.91× weekly, month 1.78×, ladder rising)"
2015-08-14,FDC,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 2.02× weekly, month 1.59×, ladder rising)"
2015-08-14,HIL,"fresh signal NOT FUNDED — cash exhausted (BUY: 1.80× weekly, month 2.43×, ladder rising)"
2015-08-14,INOXLEISUR,"fresh signal NOT FUNDED — cash exhausted (BUY: 2.21× weekly, month 3.35×, ladder rising)"
2015-08-14,JUBILANT,"fresh signal NOT FUNDED — cash exhausted (BUY: 4.47× weekly, month 4.36×, ladder rising)"
2015-08-14,NILKAMAL,"RAISE STOP ₹730.69 → ₹927.12 (new box ₹984.00–₹1,173.60 sealed)"
2015-08-14,RAJESHEXPO,"fresh signal NOT FUNDED — cash exhausted (BUY: 1.68× weekly, month 5.84×, ladder rising)"
2015-08-17,GHCL,"BUY ₹11.75 at ₹120.50 (fresh Friday signal — BUY: 6.38× weekly, month 4.31×, ladder rising; stop ₹60.81; charges ₹0.01)"
2015-08-19,INFRATEL,"SELL ₹7.74 at stop ₹400.24 (-13.4%, charges ₹0.01) — the cash goes back to work at the next Friday screen"
2015-08-21,ATUL,"fresh signal NOT FUNDED — cash exhausted (BUY: 3.65× weekly, month 1.74×, ladder rising)"
2015-08-21,BANCOINDIA,"fresh signal NOT FUNDED — cash exhausted (BUY: 3.64× weekly, month 3.09×, ladder rising)"
2015-08-21,BANKBARODA,"fresh signal NOT FUNDED — cash exhausted (BUY: 3.46× weekly, month 2.41×, ladder rising)"
2015-08-21,CHENNPETRO,RAISE STOP ₹161.50 → ₹218.07 (new box ₹229.55–₹261.60 sealed)
2015-08-21,DISHMAN,"fresh signal NOT FUNDED — cash exhausted (BUY: 1.65× weekly, month 1.63×, ladder rising)"
2015-08-21,DIVISLAB,"fresh signal NOT FUNDED — cash exhausted (BUY: 2.56× weekly, month 1.58×, ladder rising)"
2015-08-21,ECLERX,"RAISE STOP ₹1,320.70 → ₹1,531.40 (new box ₹1,612.00–₹1,777.00 sealed)"
2015-08-21,ESCORTS,"fresh signal NOT FUNDED — cash exhausted (BUY: 1.90× weekly, month 1.50×, ladder rising)"
2015-08-21,FDC,"fresh signal NOT FUNDED — cash exhausted (BUY: 4.33× weekly, month 2.25×, ladder rising)"
2015-08-21,GHCL,RAISE STOP ₹60.81 → ₹100.88 (new box ₹110.30–₹141.70 sealed)
2015-08-21,GLENMARK,"fresh signal NOT FUNDED — cash exhausted (BUY: 2.03× weekly, month 1.64×, ladder rising)"
2015-08-21,IGARASHI,RAISE STOP ₹599.45 → ₹602.62 (new box ₹642.10–₹773.70 sealed)
2015-08-21,JINDALPOLY,"fresh signal NOT FUNDED — cash exhausted (BUY: 4.44× weekly, month 1.91×, ladder rising)"
2015-08-21,JUBILANT,"fresh signal NOT FUNDED — cash exhausted (BUY: 2.19× weekly, month 4.44×, ladder rising)"
2015-08-21,SCI,"fresh signal NOT FUNDED — cash exhausted (BUY: 2.51× weekly, month 2.45×, ladder rising)"
2015-08-21,SHILPAMED,"fresh signal NOT FUNDED — cash exhausted (ACCUMULATE: 1.97× weekly, month 1.56×, ladder rising)"
2015-08-21,SMLISUZU,"RAISE STOP ₹1,053.55 → ₹1,110.20 (new box ₹1,223.00–₹1,599.00 sealed)"
2015-08-21,TATAELXSI,"fresh signal NOT FUNDED — cash exhausted (BUY: 3.25× weekly, month 2.49×, ladder rising)"
2015-08-21,TVSSRICHAK,"fresh signal NOT FUNDED — cash exhausted (BUY: 1.53× weekly, month 1.72×, ladder rising)"
2015-08-24,CHENNPETRO,"SELL ₹13.60 at stop ₹218.07 (+61.2%, charges ₹0.01) — the cash goes back to work at the next Friday screen"
2015-08-24,DISHTV,"SELL ₹6.56 at stop ₹102.60 (-4.5%, charges ₹0.01) — the cash goes back to work at the next Friday screen"
2015-08-24,IGARASHI,"SELL ₹6.76 at stop ₹602.62 (+16.6%, charges ₹0.01) — the cash goes back to work at the next Friday screen"
2015-08-24,MANINDS,"SELL ₹12.30 at stop ₹95.77 (+36.8%, charges ₹0.01) — the cash goes back to work at the next Friday screen"
2015-08-24,MTEDUCARE,"BUY ₹9.29 at ₹137.00 (fresh Friday signal — BUY: 5.29× weekly, month 1.80×, ladder rising; stop ₹102.40; charges ₹0.01)"
2015-08-24,NILKAMAL,"SELL ₹15.83 at stop ₹927.12 (+76.6%, charges ₹0.02) — the cash goes back to work at the next Friday screen"
2015-08-24,SMLISUZU,"SELL ₹9.26 at stop ₹1,110.20 (-7.5%, charges ₹0.01) — the cash goes back to work at the next Friday screen"
2015-08-28,MTEDUCARE,RAISE STOP ₹102.40 → ₹114.88 (new box ₹122.85–₹149.40 sealed)
2015-09-07,ABBOTINDIA,"BUY ₹10.46 at ₹5,269.00 (fresh Friday signal — BUY: 5.86× weekly, month 1.67×, ladder rising; stop ₹4,181.09; charges ₹0.01)"
2015-09-07,JINDALPOLY,"BUY ₹10.47 at ₹376.90 (fresh Friday signal — ACCUMULATE: 1.73× weekly, month 2.65×, ladder rising; stop ₹305.60; charges ₹0.01)"
2015-09-14,CEATLTD,"BUY ₹10.69 at ₹1,219.00 (fresh Friday signal — BUY: 1.70× weekly, month 1.85×, ladder rising; stop ₹857.01; charges ₹0.01)"
2015-09-14,SREINFRA,"BUY ₹10.68 at ₹46.00 (fresh Friday signal — ACCUMULATE: 1.51× weekly, month 1.57×, ladder rising; stop ₹32.22; charges ₹0.01)"
2015-09-24,ABBOTINDIA,"RAISE STOP ₹4,181.09 → ₹5,365.17 (new box ₹5,647.55–₹6,177.70 sealed)"
