nse_symbol,status
BANKBARODA,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=9,Cash from Investing Activity=4,Cash from Financing Activity=6"
BANKINDIA,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=7,Cash from Financing Activity=9"
BATAINDIA,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=6,Cash from Financing Activity=4"
BAYERCROP,"ok:consolidated:headline=6:cols=2;schedules=Cash from Operating Activity=7,Cash from Investing Activity=6,Cash from Financing Activity=5"
BBOX,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=7,Cash from Financing Activity=7"
BBTC,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=9,Cash from Investing Activity=10,Cash from Financing Activity=10"
BDL,"ok:standalone:headline=6:cols=12;schedules=Cash from Operating Activity=9,Cash from Investing Activity=6,Cash from Financing Activity=4"
BECTORFOOD,"ok:consolidated:headline=6:cols=9;schedules=Cash from Operating Activity=8,Cash from Investing Activity=6,Cash from Financing Activity=7"
BEL,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=9,Cash from Investing Activity=6,Cash from Financing Activity=6"
BELRISE,"ok:consolidated:headline=6:cols=5;schedules=Cash from Operating Activity=7,Cash from Investing Activity=5,Cash from Financing Activity=7"
BEML,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=6,Cash from Financing Activity=6"
BERGEPAINT,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=10,Cash from Financing Activity=7"
BHARATFORG,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=9,Cash from Investing Activity=10,Cash from Financing Activity=8"
BHARTIARTL,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=7,Cash from Investing Activity=11,Cash from Financing Activity=8"
BHARTIHEXA,"ok:standalone:headline=6:cols=8;schedules=Cash from Operating Activity=7,Cash from Investing Activity=6,Cash from Financing Activity=5"
BHEL,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=9,Cash from Investing Activity=9,Cash from Financing Activity=7"
BIKAJI,"ok:consolidated:headline=6:cols=7;schedules=Cash from Operating Activity=8,Cash from Investing Activity=9,Cash from Financing Activity=7"
BIOCON,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=8,Cash from Financing Activity=9"
BIRLACORPN,"ok:consolidated:headline=6:cols=12;schedules=Cash from Operating Activity=8,Cash from Investing Activity=10,Cash from Financing Activity=6"
BLACKBUCK,"ok:consolidated:headline=6:cols=6;schedules=Cash from Operating Activity=10,Cash from Investing Activity=8,Cash from Financing Activity=7"
