fiscal_year,industry,no_of_issues,amount_cr,coverage,source
2015-16,Information  Technology,6,917.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2015-16,Others,29,13884.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2015-16,Power,3,2100.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2015-16,Roads & Highways,6,3112.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2015-16,Textile,6,96.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2016-17,Automobile,2,1292.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2016-17,Banking/FIs,4,3628.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2016-17,Cement & Construction,9,518.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2016-17,Chemical,6,69.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2016-17,Consumer Services,7,303.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2016-17,Electrical Equipment/ Production,6,96.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2016-17,Engineering,3,13.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2016-17,Entertainment,3,512.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2016-17,Finance,22,35644.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2016-17,Food Processing,6,1242.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2016-17,Healthcare,7,2133.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2016-17,Information  Technology,5,2167.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2016-17,Insurance,1,6056.79,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2016-17,Oil & Natural Gas,1,1038.88,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2016-17,Others,30,6068.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2016-17,Power,2,365.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2016-17,Telecommunication,1,11.22,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2016-17,Textile,19,980.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2017-18,Airlines,1,4113.13,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2017-18,Automobile,4,565.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2017-18,Banking/FIs,4,8075.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2017-18,Cement & Construction,12,635.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2017-18,Chemical,7,980.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2017-18,Consumer Services,17,897.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2017-18,Electrical Equipment/ Production,15,356.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2017-18,Engineering,5,542.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2017-18,Entertainment,4,759.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2017-18,Finance,16,15019.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2017-18,Food Processing,13,1978.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2017-18,Healthcare,15,5500.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2017-18,Hotels,3,2558.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2017-18,Information  Technology,18,1869.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2017-18,Insurance,5,43425.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2017-18,Others,62,20118.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2017-18,Plastic,4,193.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2017-18,Power,4,36.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2017-18,Printing,1,14.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2017-18,Roads & Highways,1,601.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2017-18,Telecommunication,4,1287.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2017-18,Textile,16,749.0,all-instruments,"SEBI Handbook 2018 Part I, Table 2"
2018-19,Automobiles,1,9.0,equity-only,"SEBI Bulletin June 2019, Table 7"
2018-19,Banking/FIs,1,1131.0,equity-only,"SEBI Bulletin June 2019, Table 7"
2018-19,Cement and Construction,4,542.0,equity-only,"SEBI Bulletin June 2019, Table 7"
2018-19,Chemicals,4,622.0,equity-only,"SEBI Bulletin June 2019, Table 7"
2018-19,Consumer Services,2,59.0,equity-only,"SEBI Bulletin June 2019, Table 7"
2018-19,Electronic Equipments/ Products,8,266.0,equity-only,"SEBI Bulletin June 2019, Table 7"
2018-19,Engineering,9,467.0,equity-only,"SEBI Bulletin June 2019, Table 7"
2018-19,Entertainment,1,1.0,equity-only,"SEBI Bulletin June 2019, Table 7"
2018-19,Finance,4,3739.0,equity-only,"SEBI Bulletin June 2019, Table 7"
2018-19,Food processing,4,90.0,equity-only,"SEBI Bulletin June 2019, Table 7"
2018-19,Healthcare,3,58.0,equity-only,"SEBI Bulletin June 2019, Table 7"
2018-19,Hotels,3,1647.0,equity-only,"SEBI Bulletin June 2019, Table 7"
2018-19,Info Tech,2,45.0,equity-only,"SEBI Bulletin June 2019, Table 7"
2018-19,Miscellaneous,74,8189.0,equity-only,"SEBI Bulletin June 2019, Table 7"
2018-19,Oil and Natural Gas,1,10.0,equity-only,"SEBI Bulletin June 2019, Table 7"
2018-19,Plastic,2,39.0,equity-only,"SEBI Bulletin June 2019, Table 7"
2018-19,Textiles,10,1321.0,equity-only,"SEBI Bulletin June 2019, Table 7"
2019-20,Banks/FIs,3,2345.48,equity-only,"SEBI Bulletin December 2020, Table 7"
2019-20,Cement/ Constructions,5,274.94,equity-only,"SEBI Bulletin December 2020, Table 7"
2019-20,Chemical,4,152.66,equity-only,"SEBI Bulletin December 2020, Table 7"
2019-20,Consumer Services,3,66.11,equity-only,"SEBI Bulletin December 2020, Table 7"
2019-20,Electronic Equipments/ Products,5,4217.97,equity-only,"SEBI Bulletin December 2020, Table 7"
2019-20,Engineering,5,1992.1,equity-only,"SEBI Bulletin December 2020, Table 7"
2019-20,Entertainment,1,2.27,equity-only,"SEBI Bulletin December 2020, Table 7"
2019-20,Finance,3,10446.41,equity-only,"SEBI Bulletin December 2020, Table 7"
2019-20,Food processing,2,64.08,equity-only,"SEBI Bulletin December 2020, Table 7"
2019-20,Healthcare,7,4701.95,equity-only,"SEBI Bulletin December 2020, Table 7"
2019-20,Info Tech,4,484.01,equity-only,"SEBI Bulletin December 2020, Table 7"
2019-20,Insurance,27,1715.16,equity-only,"SEBI Bulletin December 2020, Table 7"
2019-20,Oil & Natural Gas,1,23.16,equity-only,"SEBI Bulletin December 2020, Table 7"
2019-20,Plastic,2,8.98,equity-only,"SEBI Bulletin December 2020, Table 7"
2019-20,Printing,3,49969.66,equity-only,"SEBI Bulletin December 2020, Table 7"
2019-20,Telecom,1,500.0,equity-only,"SEBI Bulletin December 2020, Table 7"
2020-21,Automobiles,1,29.7,equity-only,"SEBI Bulletin June 2021, Table 7"
2020-21,Banks/FIs,2,15119.9,equity-only,"SEBI Bulletin June 2021, Table 7"
2020-21,Cement/ Constructions,3,22.65,equity-only,"SEBI Bulletin June 2021, Table 7"
2020-21,Chemical,5,2353.17,equity-only,"SEBI Bulletin June 2021, Table 7"
2020-21,Consumer Services,5,786.22,equity-only,"SEBI Bulletin June 2021, Table 7"
2020-21,Electronic Equipments/ Products,1,6.88,equity-only,"SEBI Bulletin June 2021, Table 7"
2020-21,Engineering,7,2026.88,equity-only,"SEBI Bulletin June 2021, Table 7"
2020-21,Entertainment,4,888.88,equity-only,"SEBI Bulletin June 2021, Table 7"
2020-21,Finance,9,14924.64,equity-only,"SEBI Bulletin June 2021, Table 7"
2020-21,Food processing,2,1350.54,equity-only,"SEBI Bulletin June 2021, Table 7"
2020-21,Healthcare,2,6579.55,equity-only,"SEBI Bulletin June 2021, Table 7"
2020-21,Hotels,1,349.66,equity-only,"SEBI Bulletin June 2021, Table 7"
2020-21,Info Tech,8,1340.26,equity-only,"SEBI Bulletin June 2021, Table 7"
2020-21,Misc,17,9281.79,equity-only,"SEBI Bulletin June 2021, Table 7"
2020-21,Oil & Natural Gas,2,53149.07,equity-only,"SEBI Bulletin June 2021, Table 7"
2020-21,Plastic,2,10.55,equity-only,"SEBI Bulletin June 2021, Table 7"
2020-21,Power,1,25.0,equity-only,"SEBI Bulletin June 2021, Table 7"
2020-21,Printing,1,2.4,equity-only,"SEBI Bulletin June 2021, Table 7"
2020-21,Roads & Highways,1,9.5,equity-only,"SEBI Bulletin June 2021, Table 7"
2020-21,Telecom,1,819.24,equity-only,"SEBI Bulletin June 2021, Table 7"
2020-21,Textile,3,1041.85,equity-only,"SEBI Bulletin June 2021, Table 7"
2021-22,Automobiles,4,6325.62,equity-only,"SEBI Bulletin October 2022, Table 7"
2021-22,Banks/Fis,1,1200.29,equity-only,"SEBI Bulletin October 2022, Table 7"
2021-22,Cement/ Constructions,13,8199.94,equity-only,"SEBI Bulletin October 2022, Table 7"
2021-22,Chemical,7,6461.14,equity-only,"SEBI Bulletin October 2022, Table 7"
2021-22,Consumer Services,2,1101.12,equity-only,"SEBI Bulletin October 2022, Table 7"
2021-22,Electronic Equipments/ Products,5,52.61,equity-only,"SEBI Bulletin October 2022, Table 7"
2021-22,Engineering,4,649.62,equity-only,"SEBI Bulletin October 2022, Table 7"
2021-22,Finance,5,3531.69,equity-only,"SEBI Bulletin October 2022, Table 7"
2021-22,Food processing,9,4106.11,equity-only,"SEBI Bulletin October 2022, Table 7"
2021-22,Healthcare,20,10589.79,equity-only,"SEBI Bulletin October 2022, Table 7"
2021-22,Hotels,5,4304.24,equity-only,"SEBI Bulletin October 2022, Table 7"
2021-22,Info Tech,13,3794.2,equity-only,"SEBI Bulletin October 2022, Table 7"
2021-22,Insurance,1,6018.68,equity-only,"SEBI Bulletin October 2022, Table 7"
2021-22,Misc,60,52314.62,equity-only,"SEBI Bulletin October 2022, Table 7"
2021-22,Oil & Natural Gas,2,3618.9,equity-only,"SEBI Bulletin October 2022, Table 7"
2021-22,Plastic,2,16.51,equity-only,"SEBI Bulletin October 2022, Table 7"
2021-22,Printing,1,12.15,equity-only,"SEBI Bulletin October 2022, Table 7"
2021-22,Roads & Highways,1,962.33,equity-only,"SEBI Bulletin October 2022, Table 7"
