symbol,status,days,note
EQUITAS,ok,972,
ERIS,ok,679,
EROSMEDIA,ok,1431,
ESABINDIA,ok,1459,
ESCORTS,ok,1486,
ESL,ok,943,
ESSAROIL,ok,458,
ESSARPORTS,ok,438,
ESSARSHPNG,ok,1375,
ESSDEE,ok,889,
ESSELPACK,ok,1486,
ESTER,ok,1334,
EVEREADY,ok,1451,
EVERESTIND,ok,1460,
EVERONN,ok,631,
EXCEL,ok,985,
EXCELCROP,ok,1342,
EXCELINDUS,ok,1486,
EXIDEIND,ok,1486,
FACT,ok,1428,
FAGBEARING,ok,830,
FAIRCHEM,ok,786,
FCEL,ok,641,
FCL,ok,1279,
FCONSUMER,ok,845,
FDC,ok,1486,
FEDDERELEC,ok,317,
FEDDERLOYD,ok,797,
FEDERALBNK,ok,1486,
FEL,ok,948,
FIEMIND,ok,1486,
FILATEX,ok,1408,
FINANTECH,ok,700,
FINCABLES,ok,1486,
FINEORG,ok,429,
FINPIPE,ok,1486,
FLEXITUFF,ok,1343,
FLFL,ok,1486,
FLUOROCHEM,ok,105,
FMGOETZE,ok,1486,
FMNL,ok,1380,
FORCEMOT,ok,152,
FORTIS,ok,1486,
FOSECOIND,ok,1486,
FRETAIL,ok,862,
FRL,ok,528,
FRLDVR,ok,528,
FSC,ok,561,
FSL,ok,1486,
GABRIEL,ok,1486,
GAEL,ok,1486,
GAIL,ok,1486,
GAL,ok,1260,
GALAXYSURF,ok,526,
GALLISPAT,ok,1388,
GAMMNINFRA,ok,1394,
GAMMONIND,ok,851,
GANDHITUBE,ok,1481,
GANECOS,ok,1245,
GANESHHOUC,ok,1453,
GARDENSILK,ok,1424,
GARFIBRES,ok,399,
GARWALLROP,ok,1087,
GATI,ok,1460,
GAYAPROJ,ok,1439,
GDL,ok,1486,
GEECEE,ok,1482,
GENESYS,ok,1484,
GENUSPOWER,ok,1433,
GEOJITBNPP,ok,702,
GEOJITFSL,ok,758,
GEOMETRIC,ok,735,
GEPIL,ok,872,
GESHIP,ok,1486,
GET&D,ok,872,
GFLLIMITED,ok,151,
GHCL,ok,1486,
GICHSGFIN,ok,1486,
GICRE,ok,599,
GILLETTE,ok,1486,
GINNIFILA,ok,1486,
GIPCL,ok,1486,
GITANJALI,ok,1012,
GLAXO,ok,1486,
GLENMARK,ok,1486,
GLOBALVECT,ok,1323,
GLOBOFFS,ok,1233,
GLOBUSSPR,ok,1435,
GMBREW,ok,1486,
GMDCLTD,ok,1486,
GMMPFAUDLR,ok,511,
GMRINFRA,ok,1486,
GNA,ok,854,
GNFC,ok,1486,
GOACARBON,ok,1392,
GOCLCORP,ok,1078,
GODFRYPHLP,ok,1486,
GODREJAGRO,ok,605,
GODREJCP,ok,1486,
GODREJIND,ok,1486,
GODREJPROP,ok,1486,
GOKEX,ok,1455,
GOLDBEES,ok,1486,
GOLDIAM,ok,1472,
GOLDINFRA,ok,961,
GOLDSHARE,ok,1486,
GOODLUCK,ok,1229,
GPIL,ok,1419,
GPPL,ok,1486,
GPTINFRA,ok,916,
GRANULES,ok,1486,
GRAPHITE,ok,1486,
GRASIM,ok,1486,
GRAVITA,ok,1486,
GREAVESCOT,ok,1486,
GREENLAM,ok,1239,
GREENPANEL,ok,101,
GREENPLY,ok,1466,
GREENPOWER,ok,1323,
GRINDWELL,ok,1486,
GRSE,ok,362,
GRUH,ok,1372,
GSFC,ok,1486,
GSKCONS,ok,1486,
GSPL,ok,1486,
GSS,ok,1419,
GTL,ok,1419,
GTLINFRA,ok,1280,
GTOFFSHORE,ok,803,
GTPL,ok,676,
GUFICBIO,ok,1486,
GUJALKALI,ok,1486,
GUJAPOLLO,ok,1485,
GUJFLUORO,ok,1319,
GUJGASLTD,ok,1104,
GUJNRECOKE,ok,893,
GUJRATGAS,ok,294,
GULFCORP,ok,321,
GULFOILLUB,ok,1375,
GULFPETRO,ok,1207,
GULPOLY,ok,1216,
GVKPIL,ok,1361,
HAL,ok,494,
HARITASEAT,ok,1476,
HARRMALAYA,ok,1445,
HATHWAY,ok,1486,
HATSUN,ok,1413,
HAVELLS,ok,1486,
HBLPOWER,ok,1486,
HCC,ok,1475,
HCG,ok,985,
HCIL,ok,595,
HCL-INSYS,ok,1486,
HCLTECH,ok,1486,
HDFC,ok,1486,
HDFCAMC,ok,404,
HDFCBANK,ok,1486,
HDFCLIFE,ok,582,
HDFCMFGETF,ok,1486,
HDIL,ok,1396,
HEG,ok,1486,
HEIDELBERG,ok,1475,
HELIOSMATH,ok,356,
HERCULES,ok,1486,
HERITGFOOD,ok,1486,
HEROMOTOCO,ok,1486,
HESTERBIO,ok,1241,
HEXAWARE,ok,1486,
HFCL,ok,1475,
HGINFRA,ok,507,
HGS,ok,1486,
HIGHGROUND,ok,698,
HIKAL,ok,1486,
HIL,ok,1460,
HILTON,ok,1260,
HIMATSEIDE,ok,1486,
HINDALCO,ok,1486,
HINDCOMPOS,ok,1476,
HINDCOPPER,ok,1486,
HINDMOTORS,ok,1348,
HINDOILEXP,ok,1486,
HINDPETRO,ok,1486,
HINDUJAVEN,ok,1388,
HINDUNILVR,ok,1486,
HINDZINC,ok,1486,
HIRECT,ok,1439,
HITACHIHOM,ok,613,
HITECH,ok,469,
HITECHGEAR,ok,1486,
HITECHPLAS,ok,781,
HMT,ok,536,
HMVL,ok,1486,
HOCL,ok,772,
HONAUT,ok,1486,
HONDAPOWER,ok,1460,
HOTELEELA,ok,1417,
HOVS,ok,1397,
HPL,ok,858,
HSCL,ok,891,
HSIL,ok,1431,
HTMEDIA,ok,1476,
HUBTOWN,ok,1427,
HUDCO,ok,706,
IBREALEST,ok,1486,
IBSEC,ok,258,
IBULHSGFIN,ok,1486,
IBULISL,ok,348,
IBVENTURES,ok,1137,
IBWSL,ok,758,
ICICI500,ok,461,
ICICIB22,ok,480,
ICICIBANK,ok,1486,
ICICIBANKN,ok,171,
ICICIGI,ok,617,
ICICILIQ,ok,352,
ICICILOVOL,ok,485,
ICICINIFTY,ok,487,
ICICINXT50,ok,383,
ICICIPRULI,ok,861,
ICIL,ok,1475,
ICRA,ok,1486,
IDBI,ok,1486,
IDEA,ok,1486,
IDFC,ok,1486,
IDFCBANK,ok,774,
IDFCFIRSTB,ok,296,
IEX,ok,601,
IFBAGRO,ok,1343,
IFBIND,ok,1486,
IFCI,ok,1486,
IFGLEXPOR,ok,575,
IGARASHI,ok,1486,
IGL,ok,1486,
IGPL,ok,1443,
IIFL,ok,1432,
IIFLSEC,ok,120,
IIFLWAM,ok,121,
IL&FSENGG,ok,1059,
IL&FSTRANS,ok,1241,
IMFA,ok,1486,
INDHOTEL,ok,1486,
INDIACEM,ok,1486,
INDIAGLYCO,ok,1486,
INDIAMART,ok,182,
INDIANB,ok,1486,
INDIANHUME,ok,1486,
INDIGO,ok,1078,
INDNIPPON,ok,1486,
INDOCO,ok,1486,
INDORAMA,ok,1349,
INDOSOLAR,ok,942,
INDOSTAR,ok,459,
INDOTECH,ok,1389,
INDRAMEDCO,ok,1486,
INDSWFTLAB,ok,1404,
INDTERRAIN,ok,1418,
INDUSINDBK,ok,1486,
INEOSSTYRO,ok,982,
INFIBEAM,ok,982,
INFINITE,ok,1168,
INFOBEAN,ok,156,
INFRATEL,ok,1486,
INFY,ok,1486,
INGERRAND,ok,1486,
INGVYSYABK,ok,266,
INOXLEISUR,ok,1486,
INOXWIND,ok,1224,
INSECTICID,ok,1486,
INTELLECT,ok,1288,
IOB,ok,1486,
IOC,ok,1486,
IOLCP,ok,1279,
IPAPPM,ok,1438,
IPCALAB,ok,1486,
IRB,ok,1486,
IRCON,ok,369,
IRCTC,ok,116,
ISEC,ok,491,
ISFT,ok,1301,
ITC,ok,1486,
ITDC,ok,800,
ITDCEM,ok,1404,
ITI,ok,1486,
IVC,ok,1486,
IVRCLINFRA,ok,1196,
IZMO,ok,1159,
J&KBANK,ok,1486,
JAGRAN,ok,1486,
JAGSNPHARM,ok,1461,
JAICORPLTD,ok,1486,
JAMNAAUTO,ok,1485,
JASH,ok,87,
JAYAGROGN,ok,1486,
