signal,horizon,n,hits,hit_rate_pct,avg_cagr_pct,median_cagr_pct,min_cagr_pct,max_cagr_pct
Fixed Assets CAGR (3y) > 15%,7y,209,148,70.8,17.4,16.4,-33.9,61.7
Reserves CAGR > 20% AND Debt/Equity < 0.3,7y,72,51,70.8,15.8,14.5,-22.8,53.4
Reserves CAGR (3y) > 30%,7y,85,60,70.6,17.2,16.0,-33.9,53.9
Reserves CAGR (5y) > 15%,3y,571,402,70.4,26.3,20.1,-36.9,183.3
Total Assets CAGR (3y) > 20%,7y,120,84,70.0,16.5,16.0,-33.9,56.0
Reserves CAGR (3y) > 25%,7y,113,79,69.9,15.8,15.3,-33.9,53.9
Reserves CAGR (5y) > 20%,5y,148,103,69.6,25.3,19.5,-16.0,122.6
FA > 15% YoY for 3 yrs (sustained capex),7y,26,18,69.2,16.8,15.4,-33.9,48.7
Reserves CAGR > 15% AND Debt/Equity < 0.5,7y,145,100,69.0,16.5,14.5,-22.8,53.9
Reserves > 15% YoY for 3 yrs,5y,190,131,68.9,19.5,16.4,-45.2,122.6
Reserves > 15% YoY for 3 yrs AND Debt/Equity < 0.5,5y,103,71,68.9,20.3,15.8,-11.9,122.6
Reserves CAGR > 15% AND Debt/Equity < 0.5,5y,272,187,68.8,20.8,16.7,-22.0,130.4
Reserves CAGR > 20% AND Borrowings CAGR < 0%,3y,179,123,68.7,27.6,21.0,-34.2,183.3
Fixed Assets CAGR (3y) > 25%,7y,98,67,68.4,17.1,15.8,-33.9,61.7
Fixed Assets CAGR (3y) > 20%,7y,135,92,68.1,16.9,15.5,-33.9,61.7
Fixed Assets CAGR (3y) > 15%,5y,443,301,67.9,21.0,19.1,-45.2,130.4
FA CAGR > 15% AND Debt/Equity < 0.5,5y,221,150,67.9,20.6,17.8,-22.9,130.4
Fixed Assets CAGR (3y) > 25%,5y,230,156,67.8,21.2,19.2,-45.2,122.7
Reserves CAGR > 25% AND Borrowings CAGR < 0%,3y,118,80,67.8,27.0,23.0,-32.6,183.3
Reserves CAGR > 15% AND Debt/Equity < 0.3,7y,115,78,67.8,15.2,13.7,-22.8,53.4
Reserves CAGR (3y) > 15%,5y,529,358,67.7,20.3,17.6,-45.2,130.4
Reserves CAGR > 15% AND Debt/Equity < 0.3,5y,220,149,67.7,20.2,16.2,-22.0,130.4
Total Assets CAGR (3y) > 20%,5y,241,163,67.6,20.4,18.1,-45.2,122.7
Reserves CAGR (5y) > 20% AND Debt/Equity < 0.5,5y,83,56,67.5,26.1,18.6,-11.1,122.6
Reserves CAGR (3y) > 20%,5y,342,230,67.3,20.4,18.8,-45.2,122.6
TA CAGR > 20% AND Debt/Equity < 0.5,5y,110,74,67.3,21.2,17.3,-17.9,88.4
Total Assets CAGR (3y) > 15%,5y,421,283,67.2,20.1,18.3,-45.2,122.7
Reserves CAGR (3y) > 20%,7y,183,123,67.2,15.5,14.9,-33.9,53.9
Reserves CAGR > 25% AND Debt/Equity < 0.3,5y,82,55,67.1,23.8,20.1,-18.1,122.6
Reserves > 15% YoY for 3 yrs,7y,112,75,67.0,15.7,14.8,-33.9,53.9
Reserves > 10x Equity Capital,7y,1252,837,66.9,16.4,15.0,-33.9,76.8
Debt/Equity < 0.50,7y,700,468,66.9,16.5,14.8,-22.8,69.1
Fixed Assets CAGR (3y) > 20%,5y,308,206,66.9,20.5,19.0,-45.2,122.7
Reserves CAGR (3y) > 15%,7y,283,189,66.8,15.5,14.9,-33.9,53.9
TA CAGR > 15% AND Debt/Equity < 0.5,5y,202,135,66.8,20.8,16.4,-20.7,122.6
FA CAGR > 15% AND Debt/Equity < 0.3,5y,180,120,66.7,20.1,16.2,-22.9,130.4
TA CAGR > 15% AND Debt/Equity < 0.5,7y,105,70,66.7,15.7,13.6,-22.8,53.9
FA CAGR > 20% AND Reserves CAGR > 25%,5y,96,64,66.7,22.5,20.0,-45.2,94.0
Total Assets CAGR (3y) > 15%,7y,215,143,66.5,15.1,14.9,-33.9,56.0
Reserves CAGR > 20% AND Debt/Equity < 0.3,5y,139,92,66.2,20.3,16.3,-22.0,122.6
Reserves CAGR (5y) > 20%,3y,330,218,66.1,25.6,19.4,-36.9,183.3
Reserves CAGR > 25% AND FA CAGR > 15% AND Debt/Equity < 0.5,5y,59,39,66.1,24.1,21.4,-11.9,88.4
Reserves > 25x Equity Capital,7y,933,614,65.8,15.7,14.7,-33.9,76.8
Debt/Equity < 0.30,7y,550,362,65.8,15.8,14.0,-22.8,69.1
Reserves > 20% YoY for 3 yrs AND Debt/Equity < 0.5,5y,38,25,65.8,20.6,14.9,-11.9,79.1
Reserves CAGR > 20% AND Debt/Equity < 0.5,5y,166,109,65.7,20.7,16.7,-22.0,122.6
Reserves CAGR > 25% AND Debt/Equity < 0.5,5y,99,65,65.7,24.0,21.4,-18.1,122.6
Reserves CAGR (5y) > 20% AND Debt/Equity < 0.3,5y,67,44,65.7,26.0,17.5,-11.1,122.6
Reserves > 20% YoY for 3 yrs AND Debt/Equity < 0.3,5y,32,21,65.6,19.4,13.6,-11.9,79.1
FA CAGR > 15% AND Reserves CAGR > 20%,5y,177,116,65.5,20.1,17.4,-45.2,94.0
FA > 15% YoY for 3 yrs (sustained capex),3y,78,51,65.4,24.0,23.5,-62.9,143.8
Reserves > 50x Equity Capital,7y,561,366,65.2,14.4,13.8,-33.9,76.8
Reserves > 100x Equity Capital,7y,244,159,65.2,13.6,12.9,-28.3,76.8
Reserves CAGR > 20% AND FA CAGR > 10% AND Debt/Equity < 0.5,5y,105,68,64.8,20.2,17.4,-11.9,88.4
Reserves CAGR > 15% AND Debt/Equity < 0.5,3y,502,325,64.7,23.0,17.8,-34.6,183.3
Reserves CAGR > 20% AND FA CAGR > 10% AND Debt/Equity < 0.3,5y,85,55,64.7,19.3,14.7,-11.9,88.4
Reserves > 20% YoY for 3 yrs,5y,65,42,64.6,19.2,15.1,-19.2,94.0
FA CAGR > 20% AND Debt/Equity < 0.3,5y,121,78,64.5,19.9,14.7,-22.9,88.4
Reserves CAGR (5y) > 20% AND Debt/Equity < 0.5,3y,188,121,64.4,25.9,18.3,-22.5,183.3
Reserves CAGR (5y) > 25% AND Debt/Equity < 0.5,3y,126,81,64.3,28.4,20.0,-22.5,183.3
Borrowings < 10% of TA,7y,424,272,64.2,15.6,13.7,-22.8,69.1
Reserves CAGR (3y) > 25%,5y,201,129,64.2,20.8,19.1,-45.2,122.6
Reserves CAGR > 30% AND Debt/Equity < 0.3,5y,67,43,64.2,23.6,16.3,-11.9,122.6
Reserves > 15% YoY for 3 yrs,3y,304,195,64.1,23.5,19.7,-62.9,183.3
Reserves CAGR (3y) > 15%,3y,906,580,64.0,22.6,18.0,-64.6,183.3
Reserves CAGR > 15% AND Debt/Equity < 0.3,3y,395,252,63.8,22.6,17.4,-29.3,183.3
Debt/Equity < 0.10,7y,375,239,63.7,15.5,13.8,-15.2,69.1
Reserves > 15% YoY for 3 yrs AND Debt/Equity < 0.5,3y,181,115,63.5,21.3,19.0,-34.6,183.3
FA CAGR > 25% AND Debt/Equity < 0.3,5y,85,54,63.5,20.3,14.8,-17.9,88.4
Debt/Equity < 0.30,5y,866,549,63.4,19.1,15.7,-41.0,163.3
Debt/Equity < 0.50,5y,1074,679,63.2,19.1,15.7,-41.0,163.3
Reserves CAGR (3y) > 20%,3y,595,376,63.2,23.0,17.4,-64.6,183.3
Debt/Equity < 0.05 (debt-free),7y,307,194,63.2,15.8,13.3,-14.5,69.1
Reserves > 25x Equity Capital,5y,1400,880,62.9,18.2,15.8,-47.9,126.0
Borrowings < 5% of TA,7y,334,210,62.9,15.1,13.2,-15.2,69.1
Reserves CAGR (5y) > 20% AND Debt/Equity < 0.3,3y,151,95,62.9,26.6,19.4,-22.5,183.3
Reserves CAGR > 20% AND Debt/Equity < 0.3,3y,261,164,62.8,23.0,17.3,-29.3,183.3
Reserves > 50x Equity Capital,5y,874,548,62.7,16.7,15.3,-45.2,123.2
TA CAGR > 15% AND Debt/Equity < 0.5,3y,388,243,62.6,21.4,16.1,-34.6,183.3
Reserves CAGR (5y) > 25%,3y,198,124,62.6,26.1,17.6,-28.3,183.3
Reserves > 100x Equity Capital,5y,417,260,62.4,16.0,14.6,-39.9,123.2
Reserves > 25x Equity Capital,3y,1945,1212,62.3,20.6,16.6,-64.6,219.2
Reserves > 50x Equity Capital,3y,1266,788,62.2,18.6,16.4,-64.6,165.3
Reserves CAGR > 20% AND Debt/Equity < 0.5,3y,323,201,62.2,22.5,17.1,-34.6,183.3
Reserves > 10x Equity Capital,5y,1819,1130,62.1,18.3,15.6,-47.9,187.7
Fixed Assets CAGR (3y) > 15%,3y,691,429,62.1,22.3,17.1,-64.6,276.6
Cash > 15% of TA AND Debt/Equity < 0.3,7y,153,95,62.1,14.1,12.9,-13.1,69.1
TA > 15% YoY for 3 yrs,5y,103,64,62.1,17.5,14.7,-45.2,79.8
Borrowings < 10% of TA,5y,656,406,61.9,18.1,15.0,-33.2,130.4
FA CAGR > 15% AND Debt/Equity < 0.5,3y,365,226,61.9,21.9,16.5,-34.6,143.4
Reserves > 10x Equity Capital,3y,2472,1528,61.8,20.9,16.6,-64.6,219.2
Debt/Equity < 0.30,3y,1250,772,61.8,21.5,16.2,-53.3,290.2
Debt/Equity < 0.05 (debt-free),5y,455,281,61.8,19.3,16.0,-41.0,163.3
FA CAGR > 15% AND Debt/Equity < 0.3,3y,293,181,61.8,22.0,16.3,-26.2,143.4
Debt/Equity < 0.50,3y,1546,954,61.7,21.4,16.3,-59.8,290.2
Total Assets CAGR (3y) > 15%,3y,721,445,61.7,22.0,17.1,-64.6,276.6
Reserves CAGR > 25% AND Debt/Equity < 0.5,3y,209,129,61.7,23.2,17.1,-34.6,183.3
Debt/Equity < 0.10,5y,567,349,61.6,18.1,15.1,-41.0,163.3
Cash > 15% of TA AND Debt/Equity < 0.3,3y,377,232,61.5,22.0,16.2,-42.6,197.2
Fixed Assets CAGR (3y) > 25%,3y,364,224,61.5,23.1,15.9,-62.9,276.6
Fixed Assets CAGR (3y) > 20%,3y,487,299,61.4,22.3,16.5,-64.6,276.6
Reserves > 100x Equity Capital,3y,647,396,61.2,17.5,14.4,-54.1,155.4
Cash > 20% of TA AND Debt/Equity < 0.3,3y,273,167,61.2,23.4,14.6,-42.6,197.2
Cash+Investments > 30% of TA,3y,732,447,61.1,18.5,14.6,-51.2,183.3
Debt/Equity < 0.05 (debt-free),3y,637,389,61.1,21.2,15.6,-53.3,290.2
Reserves CAGR > 25% AND Debt/Equity < 0.3,3y,167,102,61.1,23.8,16.8,-29.3,183.3
Reserves CAGR (3y) > 30%,5y,149,91,61.1,20.2,15.6,-45.2,122.6
Total Assets CAGR (3y) > 20%,3y,423,258,61.0,22.3,17.0,-64.6,276.6
Reserves CAGR (3y) > 25%,3y,366,223,60.9,22.5,16.7,-64.6,183.3
TA CAGR > 20% AND Debt/Equity < 0.5,3y,222,135,60.8,21.0,15.5,-34.6,132.6
Reserves CAGR > 20% AND FA CAGR > 10% AND Debt/Equity < 0.3,3y,158,96,60.8,23.5,18.1,-24.2,132.6
Borrowings < 5% of TA,5y,499,303,60.7,17.3,14.8,-33.2,130.4
Reserves CAGR > 20% AND FA CAGR > 10% AND Debt/Equity < 0.5,3y,203,123,60.6,22.6,17.1,-34.6,132.6
Borrowings < 10% of TA,3y,970,587,60.5,20.3,15.0,-42.6,183.3
Cash > 15% of TA AND Debt/Equity < 0.3,5y,257,155,60.3,17.4,13.9,-23.9,123.2
Cash > 15% of TA,7y,189,114,60.3,13.4,12.9,-23.5,69.1
Reserves > 20% YoY for 3 yrs,3y,113,68,60.2,20.5,16.0,-34.6,108.9
Reserves CAGR > 25% AND FA CAGR > 10% AND Cash > 10% of TA,3y,55,33,60.0,21.1,19.2,-36.9,132.6
Cash > 20% of TA AND Debt/Equity < 0.1,3y,222,133,59.9,21.8,13.8,-42.6,183.3
Reserves CAGR > 25% AND Debt/Equity < 0.1,3y,107,64,59.8,21.5,14.0,-24.2,183.3
Reserves > 20% YoY for 3 yrs AND Debt/Equity < 0.3,3y,57,34,59.6,20.7,15.3,-24.2,95.9
Cash > 15% of TA,3y,457,272,59.5,20.6,15.1,-51.2,197.2
Reserves > 20% YoY for 3 yrs AND Debt/Equity < 0.5,3y,74,44,59.5,19.9,15.6,-34.6,108.9
Borrowings < 5% of TA,3y,705,418,59.3,19.4,14.2,-42.6,183.3
Debt/Equity < 0.10,3y,812,481,59.2,19.7,14.0,-53.3,290.2
Cash+Investments > 40% of TA,5y,289,171,59.2,15.5,12.7,-29.5,123.2
Cash > 20% of TA,7y,137,81,59.1,13.8,12.9,-17.6,69.1
Reserves CAGR > 25% AND FA CAGR > 15% AND Debt/Equity < 0.5,3y,122,72,59.0,24.0,16.7,-34.6,132.6
Cash+Investments > 30% of TA,5y,503,296,58.8,14.8,12.9,-39.8,123.2
Cash > 20% of TA,3y,325,191,58.8,22.1,14.0,-51.2,197.2
FA CAGR > 25% AND Debt/Equity < 0.3,3y,152,89,58.6,22.9,14.5,-26.2,132.6
TA > 15% YoY for 3 yrs,7y,58,34,58.6,13.0,13.1,-33.9,53.9
Reserves CAGR (3y) > 30%,3y,274,160,58.4,21.5,14.9,-62.9,183.3
Cash+Investments > 20% of TA,3y,1218,710,58.3,17.0,13.7,-64.6,197.2
Cash > 15% of TA,5y,312,182,58.3,16.1,13.0,-37.9,123.2
FA CAGR > 20% AND Debt/Equity < 0.3,3y,204,119,58.3,21.9,15.3,-26.2,132.6
FA CAGR > 15% AND Reserves CAGR > 20%,3y,303,176,58.1,22.5,16.8,-64.6,132.6
Cash > 20% of TA AND Debt/Equity < 0.3,7y,114,66,57.9,13.8,12.0,-11.4,69.1
Cash > 20% of TA AND Debt/Equity < 0.1,5y,156,90,57.7,16.3,12.3,-23.9,123.2
Reserves CAGR > 30% AND Debt/Equity < 0.3,3y,137,79,57.7,23.5,14.0,-24.2,183.3
Cash+Investments > 40% of TA,3y,419,241,57.5,18.4,13.4,-51.2,183.3
FA CAGR > 20% AND Reserves CAGR > 25%,3y,176,101,57.4,23.3,16.5,-64.6,132.6
Cash > 20% of TA AND Debt/Equity < 0.1,7y,101,58,57.4,13.8,11.2,-11.4,69.1
Reserves > 25% YoY for 3 yrs,3y,61,35,57.4,19.5,15.3,-34.6,95.9
Cash > 20% of TA AND Debt/Equity < 0.3,5y,187,107,57.2,16.7,12.6,-23.9,123.2
Reserves > 25% YoY for 3 yrs,5y,35,20,57.1,17.4,11.7,-16.0,61.0
Cash+Investments > 30% of TA,7y,314,178,56.7,13.4,12.2,-30.9,69.1
Cash+Investments > 20% of TA,5y,871,491,56.4,14.0,12.0,-51.1,123.2
Reserves > 25% YoY for 3 yrs AND Debt/Equity < 0.5,5y,25,14,56.0,17.2,11.3,-11.9,61.0
Cash+Investments > 40% of TA,7y,178,98,55.1,13.9,11.9,-13.1,69.1
Cash+Investments > 20% of TA,7y,571,314,55.0,11.9,11.2,-33.9,69.1
Cash > 20% of TA,5y,220,121,55.0,15.7,11.9,-29.5,123.2
TA > 15% YoY for 3 yrs,3y,173,91,52.6,16.8,12.1,-64.6,113.0
Reserves > 25% YoY for 3 yrs AND Debt/Equity < 0.5,3y,47,24,51.1,16.0,10.2,-34.6,95.9
