horizon,signal,hit_rate_pct,nse_symbol,industry,base_year_T,fy_label,stock_price_at_T,pe_at_T,forward_cagr_pct,met_target
5y,P/E < 15 AND Sales CAGR > 15%,81.1,SAREGAMA,,2020,Mar 2020,18.98,7.5,93.3,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,APARINDS,,2020,Mar 2020,288.2,8.16,80.6,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,NEWGEN,,2020,Mar 2020,52.97,10.19,79.8,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,JSL,METALS,2019,Mar 2019,39.2,13.2,77.7,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,ADANIENT,,2020,Mar 2020,137.6,14.89,75.9,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,WELCORP,METALS,2020,Mar 2020,62.05,2.55,69.6,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,PCBL,,2020,Mar 2020,31.35,3.77,68.3,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,TITAGARH,,2019,Mar 2019,70.05,-28.36,67.3,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,APLAPOLLO,METALS,2020,Mar 2020,124.67,13.01,65.0,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,JINDALSAW,METALS,2020,Mar 2020,22.9,2.64,63.8,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,JINDALSTEL,METALS,2020,Mar 2020,82.2,-76.82,61.8,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,BLS,,2019,Mar 2019,28.96,11.27,61.0,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,KEI,INDUSTRIAL MANUFACTURING,2020,Mar 2020,268.35,9.37,60.9,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,SOBHA,CONSTRUCTION,2020,Mar 2020,133.85,5.09,55.7,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,HFCL,TELECOM,2020,Mar 2020,9.05,5.11,54.3,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,RVNL,,2021,Mar 2021,29.1,6.11,53.7,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,ANGELONE,,2021,Mar 2021,29.12,8.02,50.9,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,OLECTRA,,2019,Mar 2019,253.45,-127.36,49.4,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,CAPLIPOINT,PHARMA,2020,Mar 2020,282.4,12.09,47.9,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,OIL,ENERGY,2020,Mar 2020,55.1,1.91,47.7,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,POLYCAB,,2020,Mar 2020,742.05,14.56,47.3,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,GPIL,,2020,Mar 2020,26.16,11.04,47.1,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,SARDAEN,,2019,Mar 2019,29.61,5.25,46.9,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,BEL,INDUSTRIAL MANUFACTURING,2019,Mar 2019,30.82,11.95,45.6,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,RKFORGE,INDUSTRIAL MANUFACTURING,2019,Mar 2019,107.07,14.55,45.2,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,SWANCORP,,2019,Mar 2019,107.9,-490.45,44.1,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,ADANIGREEN,ENERGY,2020,Mar 2020,153.25,-50.58,44.0,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,LEMONTREE,SERVICES,2020,Mar 2020,22.0,-183.33,42.3,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,OIL,ENERGY,2021,Mar 2021,81.87,3.77,42.2,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,CHAMBLFERT,FERTILISERS & PESTICIDES,2020,Mar 2020,108.45,3.68,42.0,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,SONATSOFTW,IT,2019,Mar 2019,125.68,14.14,41.9,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,BLS,,2018,Mar 2018,29.01,12.29,41.7,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,SONATSOFTW,IT,2020,Mar 2020,61.58,6.23,41.2,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,IRCON,CONSTRUCTION,2019,Mar 2019,39.72,8.29,40.8,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,GRASIM,CEMENT & CEMENT PRODUCTS,2020,Mar 2020,474.21,7.31,40.7,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,KPIL,,2020,Mar 2020,182.65,7.25,39.8,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,DEEPAKNTR,CHEMICALS,2020,Mar 2020,385.05,8.59,38.8,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,JINDALSTEL,METALS,2019,Mar 2019,164.95,-9.7,38.8,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,JINDALSAW,METALS,2019,Mar 2019,42.58,3.2,38.4,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,INDIGO,SERVICES,2020,Mar 2020,1066.15,-175.64,36.8,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,INOXWIND,INDUSTRIAL MANUFACTURING,2021,Mar 2021,17.45,-5.39,34.0,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,MMTC,SERVICES,2020,Mar 2020,12.3,-6.34,33.5,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,GMDCLTD,METALS,2019,Mar 2019,81.3,11.77,33.4,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,TECHNOE,,2020,Mar 2020,238.0,14.62,33.3,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,IRCON,CONSTRUCTION,2020,Mar 2020,38.1,7.38,32.6,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,GICRE,FINANCIAL SERVICES,2020,Mar 2020,105.2,-99.25,32.0,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,HFCL,TELECOM,2019,Mar 2019,22.95,13.27,32.0,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,GALLANTT,,2019,Mar 2019,48.85,3.81,31.5,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,LTTS,IT,2020,Mar 2020,1161.25,14.83,31.1,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,CAPLIPOINT,PHARMA,2021,Mar 2021,403.45,14.2,30.1,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,GRANULES,PHARMA,2019,Mar 2019,116.65,12.54,29.8,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,JSL,METALS,2018,Mar 2018,78.55,10.97,29.8,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,HCLTECH,IT,2020,Mar 2020,436.4,11.7,29.6,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,CHENNPETRO,ENERGY,2019,Mar 2019,264.75,-19.2,27.9,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,GRANULES,PHARMA,2020,Mar 2020,143.65,10.89,27.6,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,RITES,CONSTRUCTION,2019,Mar 2019,102.66,10.93,26.5,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,TATASTEEL,METALS,2019,Mar 2019,50.63,5.58,25.2,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,PCBL,,2019,Mar 2019,88.78,7.98,24.7,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,TECHNOE,,2019,Mar 2019,255.85,14.91,24.7,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,JSWSTEEL,METALS,2019,Mar 2019,288.25,9.12,23.6,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,NATIONALUM,METALS,2019,Mar 2019,53.05,5.71,23.5,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,AUROPHARMA,PHARMA,2020,Mar 2020,413.15,8.51,22.9,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,BALRAMCHIN,CONSUMER GOODS,2019,Mar 2019,135.2,5.36,21.8,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,ENGINERSIN,CONSTRUCTION,2020,Mar 2020,60.05,8.95,21.7,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,SAIL,METALS,2019,Mar 2019,50.7,8.91,21.5,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,CHALET,,2019,Mar 2019,338.8,-915.68,21.1,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,HSCL,CHEMICALS,2019,Mar 2019,115.95,14.96,21.1,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,NMDC,METALS,2019,Mar 2019,25.92,5.15,21.0,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,JINDALSTEL,METALS,2018,Mar 2018,219.1,-15.05,20.0,Y
5y,P/E < 15 AND Sales CAGR > 15%,81.1,POWERGRID,ENERGY,2019,Mar 2019,111.52,10.34,19.9,N
5y,P/E < 15 AND Sales CAGR > 15%,81.1,TITAGARH,,2018,Mar 2018,109.7,-8.83,19.1,N
5y,P/E < 15 AND Sales CAGR > 15%,81.1,GRANULES,PHARMA,2021,Mar 2021,303.45,13.68,15.4,N
5y,P/E < 15 AND Sales CAGR > 15%,81.1,ASHOKLEY,AUTOMOBILE,2019,Mar 2019,44.3,12.51,14.1,N
5y,P/E < 15 AND Sales CAGR > 15%,81.1,CHAMBLFERT,FERTILISERS & PESTICIDES,2021,Mar 2021,229.05,5.76,13.3,N
5y,P/E < 15 AND Sales CAGR > 15%,81.1,RITES,CONSTRUCTION,2020,Mar 2020,123.05,9.99,12.7,N
5y,P/E < 15 AND Sales CAGR > 15%,81.1,HINDPETRO,ENERGY,2019,Mar 2019,181.63,6.21,11.8,N
5y,P/E < 15 AND Sales CAGR > 15%,81.1,BPCL,ENERGY,2019,Mar 2019,192.93,10.73,9.3,N
5y,P/E < 15 AND Sales CAGR > 15%,81.1,POWERGRID,ENERGY,2018,Mar 2018,108.7,12.32,9.3,N
5y,P/E < 15 AND Sales CAGR > 15%,81.1,GRAPHITE,INDUSTRIAL MANUFACTURING,2019,Mar 2019,444.25,2.56,6.3,N
5y,P/E < 15 AND Sales CAGR > 15%,81.1,MMTC,SERVICES,2021,Mar 2021,42.35,-8.05,4.2,N
5y,P/E < 15 AND Sales CAGR > 15%,81.1,JUBLPHARMA,,2019,Mar 2019,490.94,13.61,3.0,N
5y,P/E < 15 AND Sales CAGR > 15%,81.1,HEG,INDUSTRIAL MANUFACTURING,2019,Mar 2019,423.78,2.7,-2.7,N
5y,P/E < 15 AND Sales CAGR > 15%,81.1,JMFINANCIL,FINANCIAL SERVICES,2019,Mar 2019,94.05,13.81,-4.5,N
5y,P/E < 15 AND Sales CAGR > 15%,81.1,ADANIGREEN,ENERGY,2021,Mar 2021,1104.85,-7365.67,-6.1,N
5y,P/E < 15 AND Sales CAGR > 15%,81.1,GRAPHITE,INDUSTRIAL MANUFACTURING,2018,Mar 2018,726.1,13.75,-18.4,N
5y,P/E < 15 AND Sales CAGR > 15%,81.1,HEG,INDUSTRIAL MANUFACTURING,2018,Mar 2018,637.0,11.58,-22.0,N
5y,FA > 20% YoY 3yrs AND Sales CAGR > 20% AND NP CAGR > 20%,80.0,DIXON,CONSUMER GOODS,2020,Mar 2020,715.97,34.41,79.1,Y
5y,FA > 20% YoY 3yrs AND Sales CAGR > 20% AND NP CAGR > 20%,80.0,GRAVITA,,2019,Mar 2019,82.0,36.44,64.9,Y
5y,FA > 20% YoY 3yrs AND Sales CAGR > 20% AND NP CAGR > 20%,80.0,UNOMINDA,,2019,Mar 2019,167.11,31.83,32.6,Y
5y,FA > 20% YoY 3yrs AND Sales CAGR > 20% AND NP CAGR > 20%,80.0,HCLTECH,IT,2020,Mar 2020,436.4,11.7,29.6,Y
5y,FA > 20% YoY 3yrs AND Sales CAGR > 20% AND NP CAGR > 20%,80.0,DMART,CONSUMER GOODS,2019,Mar 2019,1472.5,101.83,25.2,Y
5y,FA > 20% YoY 3yrs AND Sales CAGR > 20% AND NP CAGR > 20%,80.0,UNOMINDA,,2018,Mar 2018,176.88,30.87,22.1,Y
5y,FA > 20% YoY 3yrs AND Sales CAGR > 20% AND NP CAGR > 20%,80.0,DIXON,CONSUMER GOODS,2021,Mar 2021,3672.15,134.61,21.4,Y
5y,FA > 20% YoY 3yrs AND Sales CAGR > 20% AND NP CAGR > 20%,80.0,DMART,CONSUMER GOODS,2018,Mar 2018,1324.8,102.54,20.8,Y
5y,FA > 20% YoY 3yrs AND Sales CAGR > 20% AND NP CAGR > 20%,80.0,DMART,CONSUMER GOODS,2020,Mar 2020,2187.5,108.89,13.3,N
5y,FA > 20% YoY 3yrs AND Sales CAGR > 20% AND NP CAGR > 20%,80.0,AFFLE,,2021,Mar 2021,1091.56,103.27,5.8,N
5y,FA > 30% YoY for 3 yrs AND NP CAGR > 20%,80.0,DIXON,CONSUMER GOODS,2020,Mar 2020,715.97,34.41,79.1,Y
5y,FA > 30% YoY for 3 yrs AND NP CAGR > 20%,80.0,UNOMINDA,,2019,Mar 2019,167.11,31.83,32.6,Y
5y,FA > 30% YoY for 3 yrs AND NP CAGR > 20%,80.0,UNOMINDA,,2018,Mar 2018,176.88,30.87,22.1,Y
5y,FA > 30% YoY for 3 yrs AND NP CAGR > 20%,80.0,DIXON,CONSUMER GOODS,2021,Mar 2021,3672.15,134.61,21.4,Y
5y,FA > 30% YoY for 3 yrs AND NP CAGR > 20%,80.0,AFFLE,,2021,Mar 2021,1091.56,103.27,5.8,N
