horizon,signal,hit_rate_pct,nse_symbol,industry,base_year_T,fy_label,stock_price_at_T,forward_cagr_pct,met_target
3y,FA > 30% YoY for 3 yrs,64.3,AFFLE,,2022,Mar 2022,1260.05,8.5,N
3y,FA > 30% YoY for 3 yrs,64.3,AFFLE,,2021,Mar 2021,1091.56,-1.5,N
3y,FA > 30% YoY for 3 yrs,64.3,ADANIGREEN,ENERGY,2023,Mar 2023,881.15,-2.9,N
5y,Cash > 25% TA AND Reserves CAGR > 25%,66.7,BLS,,2020,Mar 2020,7.29,122.6,Y
5y,Cash > 25% TA AND Reserves CAGR > 25%,66.7,BLS,,2019,Mar 2019,28.96,61.0,Y
5y,Cash > 25% TA AND Reserves CAGR > 25%,66.7,ANGELONE,,2021,Mar 2021,29.12,50.9,Y
5y,Cash > 25% TA AND Reserves CAGR > 25%,66.7,BLS,,2018,Mar 2018,29.01,41.7,Y
5y,Cash > 25% TA AND Reserves CAGR > 25%,66.7,OFSS,IT,2020,Mar 2020,2023.65,31.1,Y
5y,Cash > 25% TA AND Reserves CAGR > 25%,66.7,CAPLIPOINT,PHARMA,2021,Mar 2021,403.45,30.1,Y
5y,Cash > 25% TA AND Reserves CAGR > 25%,66.7,LALPATHLAB,HEALTHCARE SERVICES,2019,Mar 2019,537.05,16.1,N
5y,Cash > 25% TA AND Reserves CAGR > 25%,66.7,LALPATHLAB,HEALTHCARE SERVICES,2018,Mar 2018,438.15,15.8,N
5y,Cash > 25% TA AND Reserves CAGR > 25%,66.7,EICHERMOT,AUTOMOBILE,2019,Mar 2019,2089.9,14.0,N
5y,FA & Reserves both > 20% YoY for 3 yrs,63.6,DIXON,CONSUMER GOODS,2020,Mar 2020,715.97,79.1,Y
5y,FA & Reserves both > 20% YoY for 3 yrs,63.6,UNOMINDA,,2019,Mar 2019,167.11,32.6,Y
5y,FA & Reserves both > 20% YoY for 3 yrs,63.6,BAJFINANCE,FINANCIAL SERVICES,2020,Mar 2020,221.58,32.2,Y
5y,FA & Reserves both > 20% YoY for 3 yrs,63.6,DMART,CONSUMER GOODS,2019,Mar 2019,1472.5,25.2,Y
5y,FA & Reserves both > 20% YoY for 3 yrs,63.6,UNOMINDA,,2018,Mar 2018,176.88,22.1,Y
5y,FA & Reserves both > 20% YoY for 3 yrs,63.6,DIXON,CONSUMER GOODS,2021,Mar 2021,3672.15,21.4,Y
