signal,horizon,n,hits,hit_rate_pct,avg_cagr_pct,median_cagr_pct,min_cagr_pct,max_cagr_pct
Reserves CAGR > 20% AND Debt/Equity < 0.3,5y,139,57,41.0,20.3,16.3,-22.0,122.6
Reserves > 15% YoY for 3 yrs AND Debt/Equity < 0.5,5y,103,42,40.8,20.3,15.8,-11.9,122.6
Reserves > 25x Equity Capital,5y,1400,568,40.6,18.2,15.8,-47.9,126.0
Reserves > 20% YoY for 3 yrs AND Debt/Equity < 0.3,5y,32,13,40.6,19.4,13.6,-11.9,79.1
Reserves > 10x Equity Capital,5y,1819,736,40.5,18.3,15.6,-47.9,187.7
Reserves CAGR > 15% AND Debt/Equity < 0.3,5y,220,89,40.5,20.2,16.2,-22.0,130.4
Debt/Equity < 0.10,3y,812,328,40.4,19.7,14.0,-53.3,290.2
Borrowings < 5% of TA,3y,705,284,40.3,19.4,14.2,-42.6,183.3
Cash+Investments > 30% of TA,3y,732,294,40.2,18.5,14.6,-51.2,183.3
Reserves CAGR > 25% AND Debt/Equity < 0.1,3y,107,43,40.2,21.5,14.0,-24.2,183.3
Cash > 20% of TA AND Debt/Equity < 0.1,3y,222,89,40.1,21.8,13.8,-42.6,183.3
FA CAGR > 25% AND Debt/Equity < 0.3,3y,152,61,40.1,22.9,14.5,-26.2,132.6
Cash+Investments > 20% of TA,3y,1218,487,40.0,17.0,13.7,-64.6,197.2
Reserves CAGR (3y) > 30%,7y,85,34,40.0,17.2,16.0,-33.9,53.9
Reserves CAGR > 20% AND FA CAGR > 10% AND Debt/Equity < 0.3,5y,85,34,40.0,19.3,14.7,-11.9,88.4
Reserves > 20% YoY for 3 yrs,5y,65,26,40.0,19.2,15.1,-19.2,94.0
Reserves > 25% YoY for 3 yrs,5y,35,14,40.0,17.4,11.7,-16.0,61.0
Reserves > 25% YoY for 3 yrs AND Debt/Equity < 0.5,5y,25,10,40.0,17.2,11.3,-11.9,61.0
TA > 15% YoY for 3 yrs,3y,173,69,39.9,16.8,12.1,-64.6,113.0
TA > 15% YoY for 3 yrs,5y,103,41,39.8,17.5,14.7,-45.2,79.8
Debt/Equity < 0.05 (debt-free),5y,455,180,39.6,19.3,16.0,-41.0,163.3
Debt/Equity < 0.50,5y,1074,422,39.3,19.1,15.7,-41.0,163.3
Debt/Equity < 0.30,5y,866,340,39.3,19.1,15.7,-41.0,163.3
Reserves CAGR > 25% AND Debt/Equity < 0.5,7y,52,20,38.5,19.1,16.0,-22.3,53.9
FA > 15% YoY for 3 yrs (sustained capex),7y,26,10,38.5,16.8,15.4,-33.9,48.7
Reserves > 50x Equity Capital,5y,874,336,38.4,16.7,15.3,-45.2,123.2
Reserves > 100x Equity Capital,3y,647,248,38.3,17.5,14.4,-54.1,155.4
Fixed Assets CAGR (3y) > 15%,7y,209,80,38.3,17.4,16.4,-33.9,61.7
Total Assets CAGR (3y) > 20%,7y,120,46,38.3,16.5,16.0,-33.9,56.0
Reserves CAGR > 20% AND Borrowings CAGR < 0%,7y,50,19,38.0,16.5,15.6,-22.8,53.4
FA CAGR > 15% AND Debt/Equity < 0.5,7y,101,38,37.6,19.0,16.9,-11.3,53.9
Reserves > 20% YoY for 3 yrs,7y,40,15,37.5,17.7,15.1,-17.0,53.9
Debt/Equity < 0.10,5y,567,212,37.4,18.1,15.1,-41.0,163.3
Borrowings < 10% of TA,5y,656,243,37.0,18.1,15.0,-33.2,130.4
Cash+Investments > 40% of TA,3y,419,153,36.5,18.4,13.4,-51.2,183.3
Reserves CAGR (3y) > 25%,7y,113,41,36.3,15.8,15.3,-33.9,53.9
Reserves > 25% YoY for 3 yrs AND Debt/Equity < 0.5,3y,47,17,36.2,16.0,10.2,-34.6,95.9
Borrowings < 5% of TA,5y,499,180,36.1,17.3,14.8,-33.2,130.4
Reserves CAGR > 30% AND Debt/Equity < 0.3,7y,36,13,36.1,18.5,16.0,0.4,53.4
Reserves CAGR > 25% AND Borrowings CAGR < 0%,7y,31,11,35.5,16.6,15.2,-22.3,53.4
Reserves CAGR > 20% AND FA CAGR > 10% AND Debt/Equity < 0.5,7y,51,18,35.3,19.5,16.8,0.4,53.9
Cash > 15% of TA AND Debt/Equity < 0.3,5y,257,90,35.0,17.4,13.9,-23.9,123.2
Reserves CAGR (3y) > 20%,7y,183,64,35.0,15.5,14.9,-33.9,53.9
Reserves > 10x Equity Capital,7y,1252,435,34.7,16.4,15.0,-33.9,76.8
FA CAGR > 15% AND Debt/Equity < 0.3,7y,78,27,34.6,17.9,16.5,-11.3,53.4
TA CAGR > 20% AND Debt/Equity < 0.5,7y,55,19,34.5,18.8,16.3,-0.8,53.9
Cash > 20% of TA AND Debt/Equity < 0.3,5y,187,64,34.2,16.7,12.6,-23.9,123.2
Fixed Assets CAGR (3y) > 20%,7y,135,46,34.1,16.9,15.5,-33.9,61.7
Reserves CAGR > 25% AND Debt/Equity < 0.3,7y,44,15,34.1,17.3,15.6,-22.3,53.4
Cash > 20% of TA AND Debt/Equity < 0.1,5y,156,53,34.0,16.3,12.3,-23.9,123.2
Debt/Equity < 0.50,7y,700,236,33.7,16.5,14.8,-22.8,69.1
Cash > 15% of TA,5y,312,105,33.7,16.1,13.0,-37.9,123.2
Fixed Assets CAGR (3y) > 25%,7y,98,33,33.7,17.1,15.8,-33.9,61.7
Reserves > 25% YoY for 3 yrs AND Debt/Equity < 0.5,7y,18,6,33.3,18.1,13.5,0.8,53.4
Cash > 20% of TA,5y,220,73,33.2,15.7,11.9,-29.5,123.2
Cash+Investments > 30% of TA,5y,503,165,32.8,14.8,12.9,-39.8,123.2
Reserves > 25x Equity Capital,7y,933,304,32.6,15.7,14.7,-33.9,76.8
Cash+Investments > 20% of TA,5y,871,284,32.6,14.0,12.0,-51.1,123.2
Total Assets CAGR (3y) > 15%,7y,215,70,32.6,15.1,14.9,-33.9,56.0
Reserves CAGR > 20% AND FA CAGR > 10% AND Debt/Equity < 0.3,7y,40,13,32.5,18.0,16.2,0.4,53.4
Debt/Equity < 0.05 (debt-free),7y,307,99,32.2,15.8,13.3,-14.5,69.1
Reserves CAGR (3y) > 15%,7y,283,91,32.2,15.5,14.9,-33.9,53.9
Reserves > 100x Equity Capital,5y,417,133,31.9,16.0,14.6,-39.9,123.2
Reserves CAGR > 20% AND Debt/Equity < 0.5,7y,88,28,31.8,16.9,15.1,-22.8,53.9
Debt/Equity < 0.30,7y,550,172,31.3,15.8,14.0,-22.8,69.1
Reserves > 15% YoY for 3 yrs,7y,112,35,31.2,15.7,14.8,-33.9,53.9
Cash+Investments > 40% of TA,5y,289,90,31.1,15.5,12.7,-29.5,123.2
FA CAGR > 20% AND Debt/Equity < 0.3,7y,52,16,30.8,17.6,15.8,-11.3,53.4
Reserves > 20% YoY for 3 yrs AND Debt/Equity < 0.5,7y,26,8,30.8,18.6,14.4,0.8,53.9
Debt/Equity < 0.10,7y,375,115,30.7,15.5,13.8,-15.2,69.1
Reserves CAGR > 20% AND Debt/Equity < 0.3,7y,72,22,30.6,15.8,14.5,-22.8,53.4
Borrowings < 10% of TA,7y,424,129,30.4,15.6,13.7,-22.8,69.1
Reserves CAGR > 25% AND Debt/Equity < 0.1,7y,27,8,29.6,16.1,14.9,0.8,36.0
Borrowings < 5% of TA,7y,334,98,29.3,15.1,13.2,-15.2,69.1
TA > 15% YoY for 3 yrs,7y,58,17,29.3,13.0,13.1,-33.9,53.9
Reserves CAGR > 15% AND Debt/Equity < 0.5,7y,145,42,29.0,16.5,14.5,-22.8,53.9
Reserves > 50x Equity Capital,7y,561,154,27.5,14.4,13.8,-33.9,76.8
TA CAGR > 15% AND Debt/Equity < 0.5,7y,105,28,26.7,15.7,13.6,-22.8,53.9
Cash+Investments > 40% of TA,7y,178,46,25.8,13.9,11.9,-13.1,69.1
FA CAGR > 25% AND Debt/Equity < 0.3,7y,35,9,25.7,16.1,15.2,1.2,37.4
Cash+Investments > 30% of TA,7y,314,80,25.5,13.4,12.2,-30.9,69.1
Cash > 20% of TA,7y,137,35,25.5,13.8,12.9,-17.6,69.1
Reserves > 15% YoY for 3 yrs AND Debt/Equity < 0.5,7y,59,15,25.4,16.3,13.6,-0.9,53.9
Reserves CAGR > 15% AND Debt/Equity < 0.3,7y,115,29,25.2,15.2,13.7,-22.8,53.4
Cash > 15% of TA,7y,189,46,24.3,13.4,12.9,-23.5,69.1
Cash > 20% of TA AND Debt/Equity < 0.1,7y,101,24,23.8,13.8,11.2,-11.4,69.1
Cash > 20% of TA AND Debt/Equity < 0.3,7y,114,27,23.7,13.8,12.0,-11.4,69.1
Cash > 15% of TA AND Debt/Equity < 0.3,7y,153,36,23.5,14.1,12.9,-13.1,69.1
Reserves > 20% YoY for 3 yrs AND Debt/Equity < 0.3,7y,22,5,22.7,15.8,13.5,0.8,53.4
Cash+Investments > 20% of TA,7y,571,127,22.2,11.9,11.2,-33.9,69.1
Reserves > 100x Equity Capital,7y,244,54,22.1,13.6,12.9,-28.3,76.8
