cagr_threshold_pct,signal,horizon,nse_symbol,industry,base_year,stock_price_at_base,forward_cagr_pct,met_target
10,Reserves CAGR > 25% AND Borrowings CAGR < 0%,7y,OLECTRA,,2019,253.45,21.1,Y
10,Reserves CAGR > 25% AND Borrowings CAGR < 0%,7y,LTTS,IT,2018,1235.6,20.3,Y
10,Reserves CAGR > 25% AND Borrowings CAGR < 0%,7y,HAVELLS,CONSUMER GOODS,2018,487.85,17.7,Y
10,Reserves CAGR > 25% AND Borrowings CAGR < 0%,7y,DMART,CONSUMER GOODS,2018,1324.8,17.4,Y
10,Reserves CAGR > 25% AND Borrowings CAGR < 0%,7y,TATACHEM,CHEMICALS,2018,298.55,16.4,Y
10,Reserves CAGR > 25% AND Borrowings CAGR < 0%,7y,AJANTPHARM,PHARMA,2018,926.9,16.0,Y
10,Reserves CAGR > 25% AND Borrowings CAGR < 0%,7y,DMART,CONSUMER GOODS,2019,1472.5,15.2,Y
10,Reserves CAGR > 25% AND Borrowings CAGR < 0%,7y,PIIND,FERTILISERS & PESTICIDES,2019,1025.55,14.9,Y
10,Reserves CAGR > 25% AND Borrowings CAGR < 0%,7y,NEWGEN,,2019,160.6,14.0,Y
10,Reserves CAGR > 25% AND Borrowings CAGR < 0%,7y,ATUL,CHEMICALS,2018,2613.4,13.0,Y
10,Reserves CAGR > 25% AND Borrowings CAGR < 0%,7y,UNITDSPR,,2019,532.4,12.6,Y
10,Reserves CAGR > 25% AND Borrowings CAGR < 0%,7y,TEJASNET,,2019,168.9,12.5,Y
10,Reserves CAGR > 25% AND Borrowings CAGR < 0%,7y,UNITDSPR,,2018,625.93,12.2,Y
10,Reserves CAGR > 25% AND Borrowings CAGR < 0%,7y,CHALET,,2019,338.8,11.0,Y
10,Reserves CAGR > 25% AND Borrowings CAGR < 0%,7y,TEJASNET,,2018,365.65,11.0,Y
10,Reserves CAGR > 25% AND Borrowings CAGR < 0%,7y,LTTS,IT,2019,1544.85,10.6,Y
10,Reserves CAGR > 25% AND Borrowings CAGR < 0%,7y,PAGEIND,TEXTILES,2018,22684.55,9.5,N
10,Reserves CAGR > 25% AND Borrowings CAGR < 0%,7y,CHENNPETRO,ENERGY,2018,327.35,9.4,N
