pattern,horizon,cagr_threshold_pct,nse_symbol,industry,base_year_T,fy_label,stock_price_at_T,forward_cagr_pct,met_target
"Reserves CAGR > 20% AND Borrowings CAGR < 0% (20% target, 5y)",5y,20,KEC,CONSTRUCTION,2019,Mar 2019,304.7,17.9,N
"Reserves CAGR > 20% AND Borrowings CAGR < 0% (20% target, 5y)",5y,20,BERGEPAINT,CONSUMER GOODS,2018,Mar 2018,213.92,17.8,N
"Reserves CAGR > 20% AND Borrowings CAGR < 0% (20% target, 5y)",5y,20,UNITDSPR,,2021,Mar 2021,556.35,17.0,N
"Reserves CAGR > 20% AND Borrowings CAGR < 0% (20% target, 5y)",5y,20,ERIS,PHARMA,2021,Mar 2021,605.0,16.5,N
"Reserves CAGR > 20% AND Borrowings CAGR < 0% (20% target, 5y)",5y,20,UNITDSPR,,2019,Mar 2019,532.4,16.3,N
"Reserves CAGR > 20% AND Borrowings CAGR < 0% (20% target, 5y)",5y,20,CHAMBLFERT,FERTILISERS & PESTICIDES,2021,Mar 2021,229.05,13.3,N
"Reserves CAGR > 20% AND Borrowings CAGR < 0% (20% target, 5y)",5y,20,DMART,CONSUMER GOODS,2020,Mar 2020,2187.5,13.3,N
"Reserves CAGR > 20% AND Borrowings CAGR < 0% (20% target, 5y)",5y,20,KAJARIACER,CONSTRUCTION,2018,Mar 2018,572.55,13.0,N
"Reserves CAGR > 20% AND Borrowings CAGR < 0% (20% target, 5y)",5y,20,BALKRISIND,AUTOMOBILE,2018,Mar 2018,1068.65,12.8,N
"Reserves CAGR > 20% AND Borrowings CAGR < 0% (20% target, 5y)",5y,20,BLUESTARCO,CONSUMER GOODS,2018,Mar 2018,377.73,12.8,N
"Reserves CAGR > 20% AND Borrowings CAGR < 0% (20% target, 5y)",5y,20,AMBER,,2018,Mar 2018,1069.4,11.3,N
"Reserves CAGR > 20% AND Borrowings CAGR < 0% (20% target, 5y)",5y,20,IPCALAB,PHARMA,2021,Mar 2021,951.88,11.0,N
"Reserves CAGR > 20% AND Borrowings CAGR < 0% (20% target, 5y)",5y,20,PAGEIND,TEXTILES,2018,Mar 2018,22684.55,10.8,N
