month,year,month_num,close
Oct 2016,2016,10,8224.5
Nov 2016,2016,11,8185.8
Dec 2016,2016,12,8561.3
Jan 2017,2017,1,8879.6
Feb 2017,2017,2,9173.75
Mar 2017,2017,3,9304.05
Apr 2017,2017,4,9621.25
May 2017,2017,5,9520.9
Jun 2017,2017,6,10077.1
Jul 2017,2017,7,9917.9
Aug 2017,2017,8,9788.6
Sep 2017,2017,9,10335.3
Oct 2017,2017,10,10226.55
Nov 2017,2017,11,10530.7
Dec 2017,2017,12,11027.7
Jan 2018,2018,1,10492.85
Feb 2018,2018,2,10113.7
Mar 2018,2018,3,10739.35
Apr 2018,2018,4,10736.15
May 2018,2018,5,10714.3
Jun 2018,2018,6,11356.5
Jul 2018,2018,7,11680.5
Aug 2018,2018,8,10930.45
Sep 2018,2018,9,10386.6
Oct 2018,2018,10,10876.75
Nov 2018,2018,11,10862.55
Dec 2018,2018,12,10830.95
Jan 2019,2019,1,10792.5
Feb 2019,2019,2,11623.9
Mar 2019,2019,3,11748.15
Apr 2019,2019,4,11922.8
May 2019,2019,5,11788.85
Jun 2019,2019,6,11118.0
Jul 2019,2019,7,11023.25
Aug 2019,2019,8,11474.45
Sep 2019,2019,9,11877.45
Oct 2019,2019,10,12056.05
Nov 2019,2019,11,12168.45
Dec 2019,2019,12,11962.1
Jan 2020,2020,1,11201.75
Feb 2020,2020,2,8597.75
Mar 2020,2020,3,9859.9
Apr 2020,2020,4,9580.3
May 2020,2020,5,10302.1
Jun 2020,2020,6,11073.45
Jul 2020,2020,7,11387.5
Aug 2020,2020,8,11247.55
Sep 2020,2020,9,11642.4
Oct 2020,2020,10,12968.95
Nov 2020,2020,11,13981.75
Dec 2020,2020,12,13634.6
Jan 2021,2021,1,14529.15
Feb 2021,2021,2,14690.7
Mar 2021,2021,3,14631.1
Apr 2021,2021,4,15582.8
May 2021,2021,5,15721.5
Jun 2021,2021,6,15763.05
Jul 2021,2021,7,17132.2
Aug 2021,2021,8,17618.15
Sep 2021,2021,9,17671.65
Oct 2021,2021,10,16983.2
Nov 2021,2021,11,17354.05
Dec 2021,2021,12,17339.85
Jan 2022,2022,1,16793.9
Feb 2022,2022,2,17464.75
Mar 2022,2022,3,17102.55
Apr 2022,2022,4,16584.55
May 2022,2022,5,15780.25
Jun 2022,2022,6,17158.25
Jul 2022,2022,7,17759.3
Aug 2022,2022,8,17094.35
Sep 2022,2022,9,18012.2
Oct 2022,2022,10,18758.35
Nov 2022,2022,11,18105.3
Dec 2022,2022,12,17662.15
Jan 2023,2023,1,17303.95
Feb 2023,2023,2,17359.75
Mar 2023,2023,3,18065.0
Apr 2023,2023,4,18534.4
May 2023,2023,5,19189.05
Jun 2023,2023,6,19753.8
Jul 2023,2023,7,19253.8
Aug 2023,2023,8,19638.3
Sep 2023,2023,9,19079.6
Oct 2023,2023,10,20133.15
Nov 2023,2023,11,21731.4
Dec 2023,2023,12,21725.7
Jan 2024,2024,1,21982.8
Feb 2024,2024,2,22326.9
Mar 2024,2024,3,22604.85
Apr 2024,2024,4,22530.7
May 2024,2024,5,24010.6
Jun 2024,2024,6,24951.15
Jul 2024,2024,7,25235.9
Aug 2024,2024,8,25810.85
Sep 2024,2024,9,24205.35
Oct 2024,2024,10,24131.1
Nov 2024,2024,11,23644.8
Dec 2024,2024,12,23508.4
Jan 2025,2025,1,22124.7
Feb 2025,2025,2,23519.35
Mar 2025,2025,3,24334.2
Apr 2025,2025,4,24750.7
May 2025,2025,5,25517.05
Jun 2025,2025,6,24768.35
Jul 2025,2025,7,24426.85
Aug 2025,2025,8,24611.1
Sep 2025,2025,9,25722.1
Oct 2025,2025,10,26202.95
Nov 2025,2025,11,26129.6
Dec 2025,2025,12,25320.65
Jan 2026,2026,1,25178.65
Feb 2026,2026,2,22331.4
Mar 2026,2026,3,23997.55
Apr 2026,2026,4,23547.75
May 2026,2026,5,23865.75
Jun 2026,2026,6,24383.6
Jul 2026,2026,7,24334.55
Aug 2026,2026,8,24207.75
