nse_symbol,market_cap_rs_cr,current_price_rs,stock_pe,fetched_at,status
EIHOTEL,20449.0,327.0,28.6,2026-08-02T12:14:21Z,ok
EICHERMOT,215028.0,7834.0,37.0,2026-08-02T12:14:21Z,ok
ELECON,9403.0,419.0,31.1,2026-08-02T12:14:21Z,ok
ELGIEQUIP,18053.0,570.0,46.4,2026-08-02T12:14:21Z,ok
EMAMILTD,17375.0,398.0,22.2,2026-08-02T12:14:21Z,ok
EMCURE,37179.0,1960.0,39.3,2026-08-02T12:14:21Z,ok
EMMVEE,21989.0,318.0,17.3,2026-08-02T12:14:21Z,ok
ENDURANCE,38799.0,2758.0,41.6,2026-08-02T12:14:21Z,ok
ENGINERSIN,12499.0,222.0,18.1,2026-08-02T12:14:21Z,ok
ERIS,18773.0,1355.0,28.6,2026-08-02T12:14:21Z,ok
ESCORTS,34525.0,3086.0,16.2,2026-08-02T12:14:21Z,ok
ETERNAL,291875.0,302.0,674.0,2026-08-02T12:14:21Z,ok
EXIDEIND,38233.0,450.0,40.7,2026-08-02T12:14:21Z,ok
FACT,53490.0,827.0,3612.0,2026-08-02T12:14:21Z,ok
NYKAA,95482.0,333.0,456.0,2026-08-02T12:14:21Z,ok
FEDERALBNK,88616.0,359.0,18.9,2026-08-02T12:14:21Z,ok
FINCABLES,15104.0,988.0,21.2,2026-08-02T12:14:21Z,ok
FSL,21361.0,302.0,28.6,2026-08-02T12:14:21Z,ok
FIVESTAR,16175.0,548.0,103.0,2026-08-02T12:14:21Z,ok
FORCEMOT,23588.0,17902.0,21.4,2026-08-02T12:14:21Z,ok
FORTIS,71344.0,945.0,67.5,2026-08-02T12:14:21Z,ok
GAIL,119299.0,181.0,12.1,2026-08-02T12:14:21Z,ok
GVT&D,110698.0,4323.0,593.0,2026-08-02T12:14:21Z,ok
GMRAIRPORT,111144.0,105.0,534.0,2026-08-02T12:14:21Z,ok
GABRIEL,20711.0,1442.0,57.5,2026-08-02T12:14:21Z,ok
GALLANTT,14829.0,615.0,34.0,2026-08-02T12:14:21Z,ok
GRSE,29797.0,2601.0,37.2,2026-08-02T12:14:21Z,ok
GICRE,62562.0,357.0,6.47,2026-08-02T12:14:21Z,ok
GILLETTE,24847.0,7624.0,37.2,2026-08-02T12:14:21Z,ok
GLAND,41288.0,2503.0,39.6,2026-08-02T12:14:21Z,ok
GLAXO,44984.0,2655.0,46.8,2026-08-02T12:14:21Z,ok
GLENMARK,63041.0,2234.0,20.2,2026-08-02T12:14:21Z,ok
MEDANTA,37793.0,1406.0,66.0,2026-08-02T12:14:21Z,ok
GODIGIT,23513.0,254.0,47.8,2026-08-02T12:14:21Z,ok
GPIL,16316.0,242.0,20.0,2026-08-02T12:14:21Z,ok
GODFRYPHLP,33277.0,2133.0,24.3,2026-08-02T12:14:21Z,ok
GODREJCP,109535.0,1070.0,55.3,2026-08-02T12:14:21Z,ok
GODREJIND,44384.0,1318.0,44.9,2026-08-02T12:14:21Z,ok
GODREJPROP,63429.0,2106.0,39.4,2026-08-02T12:14:21Z,ok
GRANULES,20435.0,825.0,31.4,2026-08-02T12:14:21Z,ok
GRAPHITE,12824.0,656.0,70.4,2026-08-02T12:14:21Z,ok
GRASIM,211018.0,3101.0,42.2,2026-08-02T12:14:21Z,ok
GRAVITA,11930.0,1616.0,30.4,2026-08-02T12:14:21Z,ok
GESHIP,19279.0,1350.0,7.75,2026-08-02T12:14:21Z,ok
FLUOROCHEM,47969.0,4367.0,81.6,2026-08-02T12:14:21Z,ok
GMDCLTD,17943.0,564.0,31.5,2026-08-02T12:14:21Z,ok
HEG,12683.0,657.0,35.8,2026-08-02T12:14:21Z,ok
HBLENGINE,19922.0,719.0,23.8,2026-08-02T12:14:21Z,ok
HCLTECH,365504.0,1347.0,20.2,2026-08-02T12:14:21Z,ok
HDBFS,57011.0,686.0,26.2,2026-08-02T12:14:21Z,ok
HDFCAMC,112162.0,2616.0,38.0,2026-08-02T12:14:21Z,ok
HDFCBANK,1152536.0,748.0,14.6,2026-08-02T12:14:21Z,ok
HDFCLIFE,119160.0,548.0,60.3,2026-08-02T12:14:21Z,ok
HAVELLS,79117.0,1261.0,47.5,2026-08-02T12:14:21Z,ok
HEROMOTOCO,107770.0,5386.0,18.8,2026-08-02T12:14:21Z,ok
