nse_symbol,year,metric,value
ABLBL,Mar 2020,P/E ratio,
ABLBL,Mar 2021,P/E ratio,
ABLBL,Mar 2022,P/E ratio,
ABLBL,Mar 2023,P/E ratio,
ABLBL,Mar 2024,P/E ratio,
ABLBL,Mar 2025,P/E ratio,
ABLBL,Mar 2026,P/E ratio,
ABREL,Mar 2015,Stock Price (Rs),637.15
ABREL,Mar 2016,Stock Price (Rs),529.7
ABREL,Mar 2017,Stock Price (Rs),1053.15
ABREL,Mar 2018,Stock Price (Rs),1142.6
ABREL,Mar 2019,Stock Price (Rs),905.2
ABREL,Mar 2020,Stock Price (Rs),296.1
ABREL,Mar 2021,Stock Price (Rs),465.05
ABREL,Mar 2022,Stock Price (Rs),854.6
ABREL,Mar 2023,Stock Price (Rs),634.0
ABREL,Mar 2024,Stock Price (Rs),1629.9
ABREL,Mar 2025,Stock Price (Rs),1959.9
ABREL,Mar 2026,Stock Price (Rs),1123.0
ABREL,Mar 2015,EPS in Rs,
ABREL,Mar 2016,EPS in Rs,
ABREL,Mar 2017,EPS in Rs,9.4
ABREL,Mar 2018,EPS in Rs,33.27
ABREL,Mar 2019,EPS in Rs,542.81
ABREL,Mar 2020,EPS in Rs,32.7
ABREL,Mar 2021,EPS in Rs,-2.73
ABREL,Mar 2022,EPS in Rs,14.91
ABREL,Mar 2023,EPS in Rs,24.34
ABREL,Mar 2024,EPS in Rs,4.52
ABREL,Mar 2025,EPS in Rs,-14.44
ABREL,Mar 2026,EPS in Rs,-9.24
ABREL,Mar 2015,Equity Capital (Rs Cr),
ABREL,Mar 2016,Equity Capital (Rs Cr),
ABREL,Mar 2017,Equity Capital (Rs Cr),112.0
ABREL,Mar 2018,Equity Capital (Rs Cr),112.0
ABREL,Mar 2019,Equity Capital (Rs Cr),112.0
ABREL,Mar 2020,Equity Capital (Rs Cr),112.0
ABREL,Mar 2021,Equity Capital (Rs Cr),112.0
ABREL,Mar 2022,Equity Capital (Rs Cr),112.0
ABREL,Mar 2023,Equity Capital (Rs Cr),112.0
ABREL,Mar 2024,Equity Capital (Rs Cr),112.0
ABREL,Mar 2025,Equity Capital (Rs Cr),112.0
ABREL,Mar 2026,Equity Capital (Rs Cr),112.0
ABREL,Mar 2015,Face Value (Rs),10.0
ABREL,Mar 2016,Face Value (Rs),10.0
ABREL,Mar 2017,Face Value (Rs),10.0
ABREL,Mar 2018,Face Value (Rs),10.0
ABREL,Mar 2019,Face Value (Rs),10.0
ABREL,Mar 2020,Face Value (Rs),10.0
ABREL,Mar 2021,Face Value (Rs),10.0
ABREL,Mar 2022,Face Value (Rs),10.0
ABREL,Mar 2023,Face Value (Rs),10.0
ABREL,Mar 2024,Face Value (Rs),10.0
ABREL,Mar 2025,Face Value (Rs),10.0
ABREL,Mar 2026,Face Value (Rs),10.0
ABREL,Mar 2015,Shares Outstanding,
ABREL,Mar 2016,Shares Outstanding,
ABREL,Mar 2017,Shares Outstanding,112000000.0
ABREL,Mar 2018,Shares Outstanding,112000000.0
ABREL,Mar 2019,Shares Outstanding,112000000.0
ABREL,Mar 2020,Shares Outstanding,112000000.0
ABREL,Mar 2021,Shares Outstanding,112000000.0
ABREL,Mar 2022,Shares Outstanding,112000000.0
ABREL,Mar 2023,Shares Outstanding,112000000.0
ABREL,Mar 2024,Shares Outstanding,112000000.0
ABREL,Mar 2025,Shares Outstanding,112000000.0
ABREL,Mar 2026,Shares Outstanding,112000000.0
ABREL,Mar 2015,Market Cap (Rs Cr),
ABREL,Mar 2016,Market Cap (Rs Cr),
ABREL,Mar 2017,Market Cap (Rs Cr),11795.28
ABREL,Mar 2018,Market Cap (Rs Cr),12797.12
ABREL,Mar 2019,Market Cap (Rs Cr),10138.24
ABREL,Mar 2020,Market Cap (Rs Cr),3316.32
ABREL,Mar 2021,Market Cap (Rs Cr),5208.56
ABREL,Mar 2022,Market Cap (Rs Cr),9571.52
ABREL,Mar 2023,Market Cap (Rs Cr),7100.8
ABREL,Mar 2024,Market Cap (Rs Cr),18254.88
ABREL,Mar 2025,Market Cap (Rs Cr),21950.88
ABREL,Mar 2026,Market Cap (Rs Cr),12577.6
ABREL,Mar 2015,P/E ratio,
ABREL,Mar 2016,P/E ratio,
ABREL,Mar 2017,P/E ratio,112.04
ABREL,Mar 2018,P/E ratio,34.34
ABREL,Mar 2019,P/E ratio,1.67
ABREL,Mar 2020,P/E ratio,9.06
ABREL,Mar 2021,P/E ratio,-170.35
ABREL,Mar 2022,P/E ratio,57.32
ABREL,Mar 2023,P/E ratio,26.05
ABREL,Mar 2024,P/E ratio,360.6
ABREL,Mar 2025,P/E ratio,-135.73
ABREL,Mar 2026,P/E ratio,-121.54
ABB,Mar 2015,Stock Price (Rs),1143.99
ABB,Mar 2016,Stock Price (Rs),1164.01
ABB,Mar 2017,Stock Price (Rs),1161.97
ABB,Mar 2018,Stock Price (Rs),1175.36
ABB,Mar 2019,Stock Price (Rs),1193.74
ABB,Mar 2020,Stock Price (Rs),935.4
ABB,Mar 2021,Stock Price (Rs),1410.05
ABB,Mar 2022,Stock Price (Rs),2157.95
ABB,Mar 2023,Stock Price (Rs),3365.15
ABB,Mar 2024,Stock Price (Rs),6360.85
ABB,Mar 2025,Stock Price (Rs),5546.25
ABB,Mar 2026,Stock Price (Rs),5941.5
ABB,Mar 2015,EPS in Rs,
ABB,Mar 2016,EPS in Rs,
ABB,Mar 2017,EPS in Rs,
ABB,Mar 2018,EPS in Rs,
ABB,Mar 2019,EPS in Rs,
ABB,Mar 2020,EPS in Rs,
ABB,Mar 2021,EPS in Rs,
ABB,Mar 2022,EPS in Rs,
ABB,Mar 2023,EPS in Rs,
ABB,Mar 2024,EPS in Rs,
ABB,Mar 2025,EPS in Rs,
ABB,Mar 2026,EPS in Rs,
ABB,Mar 2015,Equity Capital (Rs Cr),
ABB,Mar 2016,Equity Capital (Rs Cr),
ABB,Mar 2017,Equity Capital (Rs Cr),
ABB,Mar 2018,Equity Capital (Rs Cr),
ABB,Mar 2019,Equity Capital (Rs Cr),
ABB,Mar 2020,Equity Capital (Rs Cr),
ABB,Mar 2021,Equity Capital (Rs Cr),
ABB,Mar 2022,Equity Capital (Rs Cr),
ABB,Mar 2023,Equity Capital (Rs Cr),
ABB,Mar 2024,Equity Capital (Rs Cr),
ABB,Mar 2025,Equity Capital (Rs Cr),
ABB,Mar 2026,Equity Capital (Rs Cr),
ABB,Mar 2015,Face Value (Rs),2.0
ABB,Mar 2016,Face Value (Rs),2.0
ABB,Mar 2017,Face Value (Rs),2.0
ABB,Mar 2018,Face Value (Rs),2.0
ABB,Mar 2019,Face Value (Rs),2.0
ABB,Mar 2020,Face Value (Rs),2.0
ABB,Mar 2021,Face Value (Rs),2.0
ABB,Mar 2022,Face Value (Rs),2.0
ABB,Mar 2023,Face Value (Rs),2.0
ABB,Mar 2024,Face Value (Rs),2.0
ABB,Mar 2025,Face Value (Rs),2.0
ABB,Mar 2026,Face Value (Rs),2.0
ABB,Mar 2015,Shares Outstanding,
ABB,Mar 2016,Shares Outstanding,
ABB,Mar 2017,Shares Outstanding,
ABB,Mar 2018,Shares Outstanding,
ABB,Mar 2019,Shares Outstanding,
ABB,Mar 2020,Shares Outstanding,
ABB,Mar 2021,Shares Outstanding,
ABB,Mar 2022,Shares Outstanding,
ABB,Mar 2023,Shares Outstanding,
ABB,Mar 2024,Shares Outstanding,
ABB,Mar 2025,Shares Outstanding,
ABB,Mar 2026,Shares Outstanding,
ABB,Mar 2015,Market Cap (Rs Cr),
ABB,Mar 2016,Market Cap (Rs Cr),
ABB,Mar 2017,Market Cap (Rs Cr),
ABB,Mar 2018,Market Cap (Rs Cr),
ABB,Mar 2019,Market Cap (Rs Cr),
ABB,Mar 2020,Market Cap (Rs Cr),
ABB,Mar 2021,Market Cap (Rs Cr),
ABB,Mar 2022,Market Cap (Rs Cr),
ABB,Mar 2023,Market Cap (Rs Cr),
ABB,Mar 2024,Market Cap (Rs Cr),
ABB,Mar 2025,Market Cap (Rs Cr),
ABB,Mar 2026,Market Cap (Rs Cr),
ABB,Mar 2015,P/E ratio,
ABB,Mar 2016,P/E ratio,
ABB,Mar 2017,P/E ratio,
ABB,Mar 2018,P/E ratio,
ABB,Mar 2019,P/E ratio,
ABB,Mar 2020,P/E ratio,
ABB,Mar 2021,P/E ratio,
ABB,Mar 2022,P/E ratio,
ABB,Mar 2023,P/E ratio,
ABB,Mar 2024,P/E ratio,
ABB,Mar 2025,P/E ratio,
ABB,Mar 2026,P/E ratio,
ACC,Mar 2015,Stock Price (Rs),1562.75
ACC,Mar 2016,Stock Price (Rs),1381.9
ACC,Mar 2017,Stock Price (Rs),1446.05
ACC,Mar 2018,Stock Price (Rs),1507.5
ACC,Mar 2019,Stock Price (Rs),1617.8
ACC,Mar 2020,Stock Price (Rs),968.5
ACC,Mar 2021,Stock Price (Rs),1903.25
ACC,Mar 2022,Stock Price (Rs),2151.35
ACC,Mar 2023,Stock Price (Rs),1667.2
ACC,Mar 2024,Stock Price (Rs),2491.7
ACC,Mar 2025,Stock Price (Rs),1942.65
ACC,Mar 2026,Stock Price (Rs),1254.6
ACC,Mar 2015,EPS in Rs,
ACC,Mar 2016,EPS in Rs,
ACC,Mar 2017,EPS in Rs,
ACC,Mar 2018,EPS in Rs,
ACC,Mar 2019,EPS in Rs,
ACC,Mar 2020,EPS in Rs,
ACC,Mar 2021,EPS in Rs,
ACC,Mar 2022,EPS in Rs,
ACC,Mar 2023,EPS in Rs,
ACC,Mar 2024,EPS in Rs,47.13
ACC,Mar 2025,EPS in Rs,124.42
ACC,Mar 2026,EPS in Rs,127.92
ACC,Mar 2015,Equity Capital (Rs Cr),
ACC,Mar 2016,Equity Capital (Rs Cr),
ACC,Mar 2017,Equity Capital (Rs Cr),
ACC,Mar 2018,Equity Capital (Rs Cr),
ACC,Mar 2019,Equity Capital (Rs Cr),
ACC,Mar 2020,Equity Capital (Rs Cr),
ACC,Mar 2021,Equity Capital (Rs Cr),
ACC,Mar 2022,Equity Capital (Rs Cr),
ACC,Mar 2023,Equity Capital (Rs Cr),188.0
ACC,Mar 2024,Equity Capital (Rs Cr),188.0
ACC,Mar 2025,Equity Capital (Rs Cr),188.0
ACC,Mar 2026,Equity Capital (Rs Cr),188.0
ACC,Mar 2015,Face Value (Rs),10.0
ACC,Mar 2016,Face Value (Rs),10.0
ACC,Mar 2017,Face Value (Rs),10.0
ACC,Mar 2018,Face Value (Rs),10.0
ACC,Mar 2019,Face Value (Rs),10.0
ACC,Mar 2020,Face Value (Rs),10.0
ACC,Mar 2021,Face Value (Rs),10.0
ACC,Mar 2022,Face Value (Rs),10.0
ACC,Mar 2023,Face Value (Rs),10.0
ACC,Mar 2024,Face Value (Rs),10.0
ACC,Mar 2025,Face Value (Rs),10.0
