rank,nse_symbol,company_name,industry,market_cap_rs_cr,current_price_rs,stock_pe,as_of,series,isin
115,INDHOTEL,Indian Hotels Co. Ltd.,SERVICES,93875.0,660.0,49.6,Live (2026-06-04),EQ,INE053A01029
116,MAXHEALTH,Max Healthcare,,93276.0,958.0,62.8,Live (2026-06-04),EQ,
117,ABCAPITAL,Aditya Birla Capital Ltd.,FINANCIAL SERVICES,91750.0,350.0,24.1,Live (2026-06-04),EQ,INE674K01013
118,UNITDSPR,United Spirits,,91657.0,1260.0,50.2,Live (2026-06-04),EQ,
119,LENSKART,Lenskart Solut.,,89547.0,516.0,178.0,Live (2026-06-04),EQ,
120,SHREECEM,Shree Cement Ltd.,CEMENT & CEMENT PRODUCTS,89065.0,24685.0,51.1,Live (2026-06-04),EQ,INE070A01015
121,WAAREEENER,Waaree Energies,,88792.0,3087.0,22.6,Live (2026-06-04),EQ,
122,LODHA,Lodha Developers,,88612.0,887.0,25.8,Live (2026-06-04),EQ,
123,OFSS,Oracle Financial Services Software Ltd.,IT,88405.0,10154.0,33.5,Live (2026-06-04),EQ,INE881D01027
124,RECLTD,REC Ltd.,FINANCIAL SERVICES,86910.0,330.0,5.3,Live (2026-06-04),EQ,INE020B01018
125,ICICIGI,ICICI Lombard General Insurance Company Ltd.,FINANCIAL SERVICES,86880.0,1741.0,33.7,Live (2026-06-04),EQ,INE765G01017
126,ASHOKLEY,Ashok Leyland Ltd.,AUTOMOBILE,86052.0,146.0,23.1,Live (2026-06-04),EQ,INE208A01029
127,NTPCGREEN,NTPC Green Ene.,,85443.0,101.0,163.0,Live (2026-06-04),EQ,
128,NMDC,NMDC Ltd.,METALS,84569.0,96.2,11.4,Live (2026-06-04),EQ,INE584A01023
129,AUROPHARMA,Aurobindo Pharma Ltd.,PHARMA,84495.0,1455.0,23.8,Live (2026-06-04),EQ,INE406A01037
130,SAIL,Steel Authority of India Ltd.,METALS,82197.0,199.0,21.5,Live (2026-06-04),EQ,INE114A01011
131,HINDPETRO,Hindustan Petroleum Corporation Ltd.,ENERGY,82187.0,386.0,4.55,Live (2026-06-04),EQ,INE094A01015
132,ATGL,Adani Total Gas,,81765.0,743.0,125.0,Live (2026-06-04),EQ,
133,PERSISTENT,Persistent Systems Ltd.,IT,81173.0,5146.0,42.0,Live (2026-06-04),EQ,INE262H01013
134,SRF,SRF Ltd.,TEXTILES,80725.0,2723.0,42.4,Live (2026-06-04),EQ,INE647A01010
135,OIL,Oil India Ltd.,ENERGY,79590.0,489.0,12.0,Live (2026-06-04),EQ,INE274J01014
136,IDBI,IDBI Bank Ltd.,FINANCIAL SERVICES,79202.0,73.7,8.6,Live (2026-06-04),EQ,INE008A01015
137,MEESHO,Meesho,,77915.0,170.0,,Live (2026-06-04),EQ,
138,NYKAA,FSN E-Commerce,,77243.0,270.0,369.0,Live (2026-06-04),EQ,
139,NATIONALUM,National Aluminium Co. Ltd.,METALS,76992.0,419.0,13.3,Live (2026-06-04),EQ,INE139A01034
140,LAURUSLABS,Laurus Labs Ltd.,PHARMA,76805.0,1423.0,86.4,Live (2026-06-04),EQ,INE947Q01010
141,SUZLON,Suzlon Energy Ltd.,INDUSTRIAL MANUFACTURING,75550.0,55.5,23.9,Live (2026-06-04),EQ,INE040H01021
142,NHPC,NHPC Ltd.,ENERGY,75006.0,74.7,19.9,Live (2026-06-04),EQ,INE848E01016
143,FEDERALBNK,Federal Bank Ltd.,FINANCIAL SERVICES,74604.0,303.0,17.2,Live (2026-06-04),EQ,INE171A01029
144,DABUR,Dabur India Ltd.,CONSUMER GOODS,74550.0,420.0,39.1,Live (2026-06-04),EQ,INE016A01026
145,BHARTIHEXA,Bharti Hexacom,,73935.0,1479.0,42.0,Live (2026-06-04),EQ,
146,TORNTPOWER,Torrent Power Ltd.,ENERGY,73570.0,1460.0,30.5,Live (2026-06-04),EQ,INE813H01021
147,MCX,Multi Comm. Exc.,,73183.0,2870.0,55.0,Live (2026-06-04),EQ,
148,POLICYBZR,PB Fintech.,,72948.0,1577.0,109.0,Live (2026-06-04),EQ,
149,HAVELLS,Havells India Ltd.,CONSUMER GOODS,72843.0,1161.0,43.0,Live (2026-06-04),EQ,INE176B01034
150,AUBANK,AU Small Finance Bank Ltd.,FINANCIAL SERVICES,72135.0,964.0,212.0,Live (2026-06-04),EQ,INE949L01017
151,NAM-INDIA,Nippon Life Ind.,,71797.0,1124.0,47.0,Live (2026-06-04),EQ,
152,YESBANK,Yes Bank Ltd.,FINANCIAL SERVICES,71780.0,22.9,20.4,Live (2026-06-04),EQ,INE528G01027
153,FORTIS,Fortis Healthcare Ltd.,HEALTHCARE SERVICES,71166.0,943.0,67.2,Live (2026-06-04),EQ,INE061F01013
154,SWIGGY,Swiggy,,70498.0,255.0,,Live (2026-06-04),EQ,
155,INDUSINDBK,IndusInd Bank Ltd.,FINANCIAL SERVICES,70196.0,901.0,78.9,Live (2026-06-04),EQ,INE095A01012
156,BAJAJHFL,Bajaj Housing,,69892.0,83.9,27.2,Live (2026-06-04),EQ,
