nse_symbol,status
ABDL,"ok:consolidated:headline=10:cols=7;schedules=Fixed Assets=11,Borrowings=5,Other Liabilities=4,Other Assets=5"
ARE&M,"ok:consolidated:headline=10:cols=8;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=3,Other Assets=5"
AMBER,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
AMBUJACEM,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=12,Borrowings=4,Other Liabilities=4,Other Assets=5"
ANANDRATHI,"ok:consolidated:headline=10:cols=8;schedules=Fixed Assets=9,Borrowings=3,Other Liabilities=4,Other Assets=4"
ANANTRAJ,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=10,Borrowings=4,Other Liabilities=4,Other Assets=5"
ANGELONE,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=9,Borrowings=3,Other Liabilities=4,Other Assets=5"
ANTHEM,"ok:consolidated:headline=10:cols=7;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=3,Other Assets=5"
ANURAS,"ok:consolidated:headline=10:cols=8;schedules=Fixed Assets=11,Borrowings=5,Other Liabilities=4,Other Assets=5"
APARINDS,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=10,Borrowings=4,Other Liabilities=3,Other Assets=5"
APOLLOHOSP,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=5,Other Liabilities=3,Other Assets=5"
APOLLOTYRE,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=10,Borrowings=4,Other Liabilities=3,Other Assets=5"
APTUS,"ok:consolidated:headline=10:cols=10;schedules=Fixed Assets=9,Other Liabilities=3,Other Assets=3"
ASAHIINDIA,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
ASHOKLEY,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
ASIANPAINT,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=10,Borrowings=4,Other Liabilities=4,Other Assets=5"
ASTERDM,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=5,Other Liabilities=4,Other Assets=5"
ASTRAL,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
ATHERENERG,"ok:standalone:headline=10:cols=7;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=3,Other Assets=5"
ATUL,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
AUROPHARMA,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=10,Borrowings=5,Other Liabilities=4,Other Assets=5"
AIIL,"ok:consolidated:headline=10:cols=4;schedules=Fixed Assets=10,Other Liabilities=4,Other Assets=5"
DMART,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=3,Other Assets=5"
AXISBANK,"ok:consolidated:headline=11:cols=12;schedules=Fixed Assets=4,Other Liabilities=3,Other Assets=3"
BEML,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=12,Borrowings=4,Other Liabilities=4,Other Assets=5"
BLS,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
BSE,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=3,Other Liabilities=4,Other Assets=4"
BAJAJ-AUTO,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
BAJFINANCE,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=10,Other Liabilities=3,Other Assets=4"
BAJAJFINSV,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=10,Borrowings=4,Other Liabilities=3,Other Assets=4"
BAJAJHLDNG,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=2,Other Liabilities=3,Other Assets=5"
BAJAJHFL,"ok:standalone:headline=10:cols=7;schedules=Fixed Assets=9,Other Liabilities=2,Other Assets=4"
BALKRISIND,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=2,Other Assets=5"
BALRAMCHIN,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
BANDHANBNK,"ok:standalone:headline=11:cols=12;schedules=Fixed Assets=4,Other Liabilities=2,Other Assets=3"
BANKBARODA,"ok:consolidated:headline=11:cols=12;schedules=Fixed Assets=4,Other Liabilities=3,Other Assets=3"
BANKINDIA,"ok:consolidated:headline=11:cols=12;schedules=Fixed Assets=4,Other Liabilities=3,Other Assets=3"
MAHABANK,"ok:consolidated:headline=11:cols=12;schedules=Fixed Assets=4,Other Liabilities=2,Other Assets=3"
BATAINDIA,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=10,Borrowings=2,Other Liabilities=3,Other Assets=5"
BAYERCROP,"ok:consolidated:headline=10:cols=2;schedules=Fixed Assets=10,Borrowings=1,Other Liabilities=2,Other Assets=5"
BELRISE,"ok:consolidated:headline=10:cols=5;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
BERGEPAINT,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
BDL,"ok:standalone:headline=10:cols=12;schedules=Fixed Assets=10,Borrowings=3,Other Liabilities=3,Other Assets=5"
BEL,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=10,Borrowings=4,Other Liabilities=4,Other Assets=5"
BHARATFORG,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
BHEL,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=12,Borrowings=4,Other Liabilities=4,Other Assets=5"
BPCL,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
BHARTIARTL,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
BHARTIHEXA,"ok:standalone:headline=10:cols=8;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=3,Other Assets=4"
BIKAJI,"ok:consolidated:headline=10:cols=7;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
GROWW,"ok:consolidated:headline=10:cols=5;schedules=Fixed Assets=8,Borrowings=4,Other Liabilities=4,Other Assets=4"
BIOCON,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=10,Borrowings=4,Other Liabilities=4,Other Assets=5"
BSOFT,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
BLUEDART,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=2,Other Assets=5"
BLUEJET,"ok:consolidated:headline=10:cols=2;schedules=Fixed Assets=10,Borrowings=4,Other Liabilities=4,Other Assets=5"
BLUESTARCO,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
BBTC,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=12,Borrowings=4,Other Liabilities=4,Other Assets=5"
BOSCHLTD,"ok:consolidated:headline=10:cols=11;schedules=Fixed Assets=9,Borrowings=3,Other Liabilities=3,Other Assets=5"
FIRSTCRY,"ok:consolidated:headline=10:cols=9;schedules=Fixed Assets=11,Borrowings=5,Other Liabilities=4,Other Assets=5"
BRIGADE,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=5,Other Liabilities=4,Other Assets=5"
BRITANNIA,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=10,Borrowings=4,Other Liabilities=4,Other Assets=5"
MAPMYINDIA,"ok:consolidated:headline=10:cols=8;schedules=Fixed Assets=8,Borrowings=5,Other Liabilities=4,Other Assets=5"
CCL,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=3,Other Assets=5"
CESC,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
CGPOWER,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=10,Borrowings=4,Other Liabilities=4,Other Assets=5"
CIEINDIA,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
CRISIL,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=9,Borrowings=4,Other Liabilities=3,Other Assets=4"
CAMS,"ok:consolidated:headline=10:cols=9;schedules=Fixed Assets=11,Borrowings=3,Other Liabilities=3,Other Assets=4"
CANFINHOME,"ok:standalone:headline=10:cols=12;schedules=Fixed Assets=10,Other Liabilities=3,Other Assets=4"
CANBK,"ok:consolidated:headline=11:cols=12;schedules=Fixed Assets=4,Other Liabilities=3,Other Assets=3"
CANHLIFE,"ok:standalone:headline=10:cols=7;schedules=Fixed Assets=8,Borrowings=1,Other Liabilities=2,Other Assets=4"
CAPLIPOINT,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=5,Other Liabilities=4,Other Assets=5"
CGCL,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=9,Other Liabilities=3,Other Assets=5"
CARBORUNIV,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=9,Borrowings=5,Other Liabilities=4,Other Assets=5"
CARTRADE,"ok:consolidated:headline=10:cols=10;schedules=Fixed Assets=11,Borrowings=3,Other Liabilities=4,Other Assets=5"
CASTROLIND,"ok:standalone:headline=10:cols=12;schedules=Fixed Assets=10,Borrowings=1,Other Liabilities=3,Other Assets=5"
CEATLTD,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=10,Borrowings=4,Other Liabilities=4,Other Assets=5"
CEMPRO,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=10,Borrowings=4,Other Liabilities=4,Other Assets=5"
CENTRALBK,"ok:consolidated:headline=11:cols=12;schedules=Fixed Assets=4,Other Liabilities=3,Other Assets=3"
CDSL,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=10,Borrowings=2,Other Liabilities=4,Other Assets=4"
CHALET,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=5,Other Liabilities=4,Other Assets=5"
CHAMBLFERT,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=12,Borrowings=5,Other Liabilities=4,Other Assets=5"
CHENNPETRO,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=5,Other Liabilities=3,Other Assets=5"
CHOICEIN,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
CHOLAHLDNG,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=12,Other Liabilities=4,Other Assets=5"
CHOLAFIN,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Other Liabilities=4,Other Assets=4"
CIPLA,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
CUB,"ok:standalone:headline=11:cols=12;schedules=Fixed Assets=4,Other Liabilities=2,Other Assets=3"
CLEAN,"ok:consolidated:headline=10:cols=9;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=3,Other Assets=5"
COALINDIA,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
COCHINSHIP,"ok:consolidated:headline=10:cols=9;schedules=Fixed Assets=13,Borrowings=4,Other Liabilities=4,Other Assets=5"
COFORGE,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
COHANCE,"ok:consolidated:headline=10:cols=8;schedules=Fixed Assets=10,Borrowings=4,Other Liabilities=4,Other Assets=5"
COLPAL,"ok:consolidated:headline=10:cols=5;schedules=Fixed Assets=8,Borrowings=1,Other Liabilities=3,Other Assets=5"
CONCORDBIO,"ok:consolidated:headline=10:cols=7;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
CONCOR,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=12,Borrowings=5,Other Liabilities=4,Other Assets=5"
COROMANDEL,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
CRAFTSMAN,"ok:consolidated:headline=10:cols=10;schedules=Fixed Assets=10,Borrowings=4,Other Liabilities=4,Other Assets=5"
CREDITACC,"ok:consolidated:headline=10:cols=8;schedules=Fixed Assets=10,Other Liabilities=3,Other Assets=3"
CROMPTON,"ok:consolidated:headline=10:cols=9;schedules=Fixed Assets=10,Borrowings=4,Other Liabilities=4,Other Assets=5"
CUMMINSIND,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=9,Borrowings=2,Other Liabilities=3,Other Assets=5"
CYIENT,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
DCMSHRIRAM,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=10,Borrowings=4,Other Liabilities=4,Other Assets=5"
DLF,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=10,Borrowings=5,Other Liabilities=4,Other Assets=5"
DOMS,"ok:consolidated:headline=10:cols=7;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
DABUR,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=10,Borrowings=4,Other Liabilities=4,Other Assets=5"
DALBHARAT,"ok:consolidated:headline=10:cols=10;schedules=Fixed Assets=10,Borrowings=4,Other Liabilities=4,Other Assets=5"
DATAPATTNS,"ok:standalone:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=3,Other Assets=5"
DEEPAKFERT,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=10,Borrowings=4,Other Liabilities=4,Other Assets=5"
DEEPAKNTR,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=10,Borrowings=4,Other Liabilities=4,Other Assets=5"
DELHIVERY,"ok:consolidated:headline=10:cols=8;schedules=Fixed Assets=11,Borrowings=5,Other Liabilities=3,Other Assets=5"
DEVYANI,"ok:consolidated:headline=10:cols=11;schedules=Fixed Assets=11,Borrowings=5,Other Liabilities=4,Other Assets=5"
DIVISLAB,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=3,Other Assets=5"
DIXON,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=5,Other Liabilities=4,Other Assets=5"
LALPATHLAB,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=5,Other Liabilities=4,Other Assets=5"
DRREDDY,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=10,Borrowings=4,Other Liabilities=4,Other Assets=5"
EIDPARRY,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=10,Borrowings=4,Other Liabilities=4,Other Assets=5"
EIHOTEL,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=10,Borrowings=4,Other Liabilities=4,Other Assets=5"
EICHERMOT,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=10,Borrowings=3,Other Liabilities=4,Other Assets=5"
ELECON,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=10,Borrowings=4,Other Liabilities=4,Other Assets=5"
ELGIEQUIP,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=10,Borrowings=4,Other Liabilities=3,Other Assets=5"
EMAMILTD,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
EMCURE,"ok:consolidated:headline=10:cols=8;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
EMMVEE,"ok:consolidated:headline=10:cols=7;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
ENDURANCE,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=12,Borrowings=4,Other Liabilities=4,Other Assets=5"
ENGINERSIN,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=3,Other Liabilities=3,Other Assets=5"
ERIS,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=10,Borrowings=4,Other Liabilities=4,Other Assets=5"
ESCORTS,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
ETERNAL,"ok:consolidated:headline=10:cols=9;schedules=Fixed Assets=10,Borrowings=5,Other Liabilities=4,Other Assets=5"
EXIDEIND,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
FACT,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=3,Other Assets=5"
NYKAA,"ok:consolidated:headline=10:cols=9;schedules=Fixed Assets=10,Borrowings=5,Other Liabilities=4,Other Assets=5"
FEDERALBNK,"ok:consolidated:headline=11:cols=12;schedules=Fixed Assets=4,Other Liabilities=3,Other Assets=3"
FINCABLES,"ok:consolidated:headline=10:cols=11;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=3,Other Assets=5"
FSL,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=10,Borrowings=4,Other Liabilities=4,Other Assets=4"
FIVESTAR,"ok:consolidated:headline=10:cols=5;schedules=Fixed Assets=9,Other Liabilities=2,Other Assets=3"
FORCEMOT,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=10,Borrowings=3,Other Liabilities=4,Other Assets=5"
FORTIS,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
GAIL,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
GVT&D,"ok:consolidated:headline=10:cols=1;schedules=Fixed Assets=8,Borrowings=1,Other Liabilities=3,Other Assets=5"
GMRAIRPORT,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=10,Borrowings=5,Other Liabilities=4,Other Assets=5"
GABRIEL,"ok:consolidated:headline=10:cols=3;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=3,Other Assets=5"
GALLANTT,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=12,Borrowings=3,Other Liabilities=3,Other Assets=5"
GRSE,"ok:standalone:headline=10:cols=12;schedules=Fixed Assets=12,Borrowings=4,Other Liabilities=3,Other Assets=5"
GICRE,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=10,Borrowings=empty,Other Liabilities=2,Other Assets=3"
GILLETTE,"ok:standalone:headline=10:cols=12;schedules=Fixed Assets=9,Borrowings=1,Other Liabilities=2,Other Assets=5"
GLAND,"ok:consolidated:headline=10:cols=7;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=3,Other Assets=5"
GLAXO,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=10,Borrowings=4,Other Liabilities=3,Other Assets=5"
GLENMARK,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=10,Borrowings=4,Other Liabilities=4,Other Assets=5"
MEDANTA,"ok:consolidated:headline=10:cols=10;schedules=Fixed Assets=11,Borrowings=5,Other Liabilities=4,Other Assets=5"
GODIGIT,"ok:standalone:headline=10:cols=6;schedules=Fixed Assets=8,Borrowings=2,Other Liabilities=2,Other Assets=3"
GPIL,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=5,Other Liabilities=4,Other Assets=5"
GODFRYPHLP,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=5,Other Liabilities=4,Other Assets=5"
GODREJCP,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=12,Borrowings=5,Other Liabilities=4,Other Assets=5"
GODREJIND,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
GODREJPROP,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
GRANULES,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
GRAPHITE,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=10,Borrowings=4,Other Liabilities=4,Other Assets=5"
GRASIM,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=13,Borrowings=5,Other Liabilities=4,Other Assets=5"
GRAVITA,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
GESHIP,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=3,Other Assets=5"
FLUOROCHEM,"ok:consolidated:headline=10:cols=9;schedules=Fixed Assets=10,Borrowings=4,Other Liabilities=4,Other Assets=5"
GMDCLTD,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=3,Other Assets=5"
HEG,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=3,Other Assets=5"
HBLENGINE,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=10,Borrowings=4,Other Liabilities=4,Other Assets=5"
HCLTECH,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
HDBFS,"ok:consolidated:headline=10:cols=5;schedules=Fixed Assets=8,Other Liabilities=2,Other Assets=4"
HDFCAMC,"ok:consolidated:headline=10:cols=4;schedules=Fixed Assets=9,Borrowings=empty,Other Liabilities=2,Other Assets=4"
HDFCBANK,"ok:consolidated:headline=11:cols=12;schedules=Fixed Assets=4,Other Liabilities=3,Other Assets=3"
HDFCLIFE,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=9,Borrowings=2,Other Liabilities=2,Other Assets=4"
HAVELLS,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=10,Borrowings=4,Other Liabilities=4,Other Assets=5"
HEROMOTOCO,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
HEXT,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=4"
HFCL,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=5,Other Liabilities=4,Other Assets=5"
HSCL,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=10,Borrowings=4,Other Liabilities=4,Other Assets=5"
HINDALCO,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=12,Borrowings=4,Other Liabilities=4,Other Assets=5"
HAL,"ok:consolidated:headline=10:cols=12;schedules=Fixed Assets=11,Borrowings=4,Other Liabilities=4,Other Assets=5"
HINDCOPPER,"ok:consolidated:headline=10:cols=8;schedules=Fixed Assets=10,Borrowings=4,Other Liabilities=4,Other Assets=5"
