nse_symbol,year,line_item,parent_line_item,value
360ONE,Mar 2020,Profit for EPS,Net Profit,201.0
360ONE,Mar 2021,Profit for EPS,Net Profit,369.0
360ONE,Mar 2022,Profit for EPS,Net Profit,578.0
360ONE,Mar 2023,Profit for EPS,Net Profit,658.0
360ONE,Mar 2024,Profit for EPS,Net Profit,804.0
360ONE,Mar 2025,Profit for EPS,Net Profit,1015.0
360ONE,Mar 2026,Profit for EPS,Net Profit,1216.0
360ONE,Mar 2018,Profit Growth %,Net Profit,
360ONE,Mar 2019,Profit Growth %,Net Profit,-1.0
360ONE,Mar 2020,Profit Growth %,Net Profit,-46.0
360ONE,Mar 2021,Profit Growth %,Net Profit,84.0
360ONE,Mar 2022,Profit Growth %,Net Profit,56.0
360ONE,Mar 2023,Profit Growth %,Net Profit,14.0
360ONE,Mar 2024,Profit Growth %,Net Profit,22.0
360ONE,Mar 2025,Profit Growth %,Net Profit,34.0
360ONE,Mar 2026,Profit Growth %,Net Profit,12.0
3MINDIA,Mar 2018,Sales,,2710.0
3MINDIA,Mar 2019,Sales,,3017.0
3MINDIA,Mar 2020,Sales,,2987.0
3MINDIA,Mar 2021,Sales,,2605.0
3MINDIA,Mar 2022,Sales,,3336.0
3MINDIA,Mar 2023,Sales,,3959.0
3MINDIA,Mar 2024,Sales,,4189.0
3MINDIA,Mar 2018,Expenses,,2211.0
3MINDIA,Mar 2019,Expenses,,2481.0
3MINDIA,Mar 2020,Expenses,,2537.0
3MINDIA,Mar 2021,Expenses,,2345.0
3MINDIA,Mar 2022,Expenses,,2947.0
3MINDIA,Mar 2023,Expenses,,3355.0
3MINDIA,Mar 2024,Expenses,,3430.0
3MINDIA,Mar 2018,Operating Profit,,499.0
3MINDIA,Mar 2019,Operating Profit,,536.0
3MINDIA,Mar 2020,Operating Profit,,450.0
3MINDIA,Mar 2021,Operating Profit,,259.0
3MINDIA,Mar 2022,Operating Profit,,389.0
3MINDIA,Mar 2023,Operating Profit,,604.0
3MINDIA,Mar 2024,Operating Profit,,759.0
3MINDIA,Mar 2018,OPM %,,18.0
3MINDIA,Mar 2019,OPM %,,18.0
3MINDIA,Mar 2020,OPM %,,15.0
3MINDIA,Mar 2021,OPM %,,10.0
3MINDIA,Mar 2022,OPM %,,12.0
3MINDIA,Mar 2023,OPM %,,15.0
3MINDIA,Mar 2024,OPM %,,18.0
3MINDIA,Mar 2018,Other Income,,55.0
3MINDIA,Mar 2019,Other Income,,60.0
3MINDIA,Mar 2020,Other Income,,46.0
3MINDIA,Mar 2021,Other Income,,25.0
3MINDIA,Mar 2022,Other Income,,37.0
3MINDIA,Mar 2023,Other Income,,68.0
3MINDIA,Mar 2024,Other Income,,78.0
3MINDIA,Mar 2018,Interest,,2.0
3MINDIA,Mar 2019,Interest,,1.0
3MINDIA,Mar 2020,Interest,,4.0
3MINDIA,Mar 2021,Interest,,2.0
3MINDIA,Mar 2022,Interest,,4.0
3MINDIA,Mar 2023,Interest,,7.0
3MINDIA,Mar 2024,Interest,,3.0
3MINDIA,Mar 2018,Depreciation,,44.0
3MINDIA,Mar 2019,Depreciation,,44.0
3MINDIA,Mar 2020,Depreciation,,59.0
3MINDIA,Mar 2021,Depreciation,,62.0
3MINDIA,Mar 2022,Depreciation,,55.0
3MINDIA,Mar 2023,Depreciation,,58.0
3MINDIA,Mar 2024,Depreciation,,53.0
3MINDIA,Mar 2018,Profit before tax,,508.0
3MINDIA,Mar 2019,Profit before tax,,551.0
3MINDIA,Mar 2020,Profit before tax,,433.0
3MINDIA,Mar 2021,Profit before tax,,220.0
3MINDIA,Mar 2022,Profit before tax,,368.0
3MINDIA,Mar 2023,Profit before tax,,607.0
3MINDIA,Mar 2024,Profit before tax,,781.0
3MINDIA,Mar 2018,Tax %,,34.0
3MINDIA,Mar 2019,Tax %,,33.0
3MINDIA,Mar 2020,Tax %,,26.0
3MINDIA,Mar 2021,Tax %,,26.0
3MINDIA,Mar 2022,Tax %,,26.0
3MINDIA,Mar 2023,Tax %,,26.0
3MINDIA,Mar 2024,Tax %,,25.0
3MINDIA,Mar 2018,Net Profit,,333.0
3MINDIA,Mar 2019,Net Profit,,366.0
3MINDIA,Mar 2020,Net Profit,,322.0
3MINDIA,Mar 2021,Net Profit,,162.0
3MINDIA,Mar 2022,Net Profit,,272.0
3MINDIA,Mar 2023,Net Profit,,451.0
3MINDIA,Mar 2024,Net Profit,,583.0
3MINDIA,Mar 2018,EPS in Rs,,295.91
3MINDIA,Mar 2019,EPS in Rs,,325.06
3MINDIA,Mar 2020,EPS in Rs,,285.99
3MINDIA,Mar 2021,EPS in Rs,,144.14
3MINDIA,Mar 2022,EPS in Rs,,241.43
3MINDIA,Mar 2023,EPS in Rs,,400.37
3MINDIA,Mar 2024,EPS in Rs,,517.9
