nse_symbol,isin_source,name_source
EIDPARRY,groww_master,nifty500_master
EIEL,groww_master,groww_master
EIHOTEL,groww_master,nifty500_master
ELECON,groww_master,nifty500_master
ELECTCAST,groww_master,groww_master
ELGIEQUIP,groww_master,nifty500_master
ELLEN,groww_master,groww_master
EMAMILTD,groww_master,nifty500_master
EMBDL,groww_master,groww_master
EMCURE,groww_master,nifty500_master
EMIL,groww_master,groww_master
EMMVEE,groww_master,nifty500_master
ENDURANCE,groww_master,nifty500_master
ENGINERSIN,groww_master,nifty500_master
ENRIN,groww_master,nifty500_master
ENTERO,groww_master,groww_master
EPL,groww_master,groww_master
EQUITASBNK,groww_master,groww_master
ERIS,groww_master,nifty500_master
ESCORTS,groww_master,nifty500_master
ETERNAL,groww_master,nifty500_master
ETHOSLTD,groww_master,groww_master
EUREKAFORB,groww_master,groww_master
EXIDEIND,groww_master,nifty500_master
FACT,groww_master,nifty500_master
FEDERALBNK,groww_master,nifty500_master
FEDFINA,groww_master,groww_master
FIEMIND,groww_master,groww_master
FINCABLES,groww_master,nifty500_master
FINPIPE,groww_master,groww_master
FIRSTCRY,groww_master,nifty500_master
FIVESTAR,groww_master,nifty500_master
FLUOROCHEM,groww_master,nifty500_master
FORCEMOT,groww_master,nifty500_master
FORTIS,groww_master,nifty500_master
FSL,groww_master,nifty500_master
GABRIEL,groww_master,nifty500_master
GAEL,groww_master,groww_master
GAIL,groww_master,nifty500_master
GALLANTT,groww_master,nifty500_master
GESHIP,groww_master,nifty500_master
GHCL,groww_master,groww_master
GICRE,groww_master,nifty500_master
GILLETTE,groww_master,nifty500_master
GLAND,groww_master,nifty500_master
GLAXO,groww_master,nifty500_master
GLENMARK,groww_master,nifty500_master
GMDCLTD,groww_master,nifty500_master
GMMPFAUDLR,groww_master,groww_master
GMRAIRPORT,groww_master,nifty500_master
GNFC,groww_master,groww_master
GODFRYPHLP,groww_master,nifty500_master
GODIGIT,groww_master,nifty500_master
GODREJAGRO,groww_master,groww_master
GODREJCP,groww_master,nifty500_master
GODREJIND,groww_master,nifty500_master
GODREJPROP,groww_master,nifty500_master
GOKEX,groww_master,groww_master
GOKULAGRO,groww_master,groww_master
GPIL,groww_master,nifty500_master
GPPL,groww_master,groww_master
GRANULES,groww_master,nifty500_master
GRAPHITE,groww_master,nifty500_master
GRASIM,groww_master,nifty500_master
GRAVITA,groww_master,nifty500_master
GREAVESCOT,groww_master,groww_master
GROWW,groww_master,nifty500_master
GRSE,groww_master,nifty500_master
GRWRHITECH,groww_master,groww_master
GSFC,groww_master,groww_master
HAL,groww_master,nifty500_master
HAPPSTMNDS,groww_master,groww_master
HAVELLS,groww_master,nifty500_master
HBLENGINE,groww_master,nifty500_master
HCC,groww_master,groww_master
HCG,groww_master,groww_master
HCLTECH,groww_master,nifty500_master
HDBFS,groww_master,nifty500_master
HDFCAMC,groww_master,nifty500_master
HDFCBANK,groww_master,nifty500_master
HDFCLIFE,groww_master,nifty500_master
HEG,groww_master,nifty500_master
HEMIPROP,groww_master,groww_master
HERITGFOOD,groww_master,groww_master
HEROMOTOCO,groww_master,nifty500_master
HEXT,groww_master,nifty500_master
HFCL,groww_master,nifty500_master
HGINFRA,groww_master,groww_master
HINDALCO,groww_master,nifty500_master
HINDCOPPER,groww_master,nifty500_master
HINDPETRO,groww_master,nifty500_master
HINDUNILVR,groww_master,nifty500_master
HINDZINC,groww_master,nifty500_master
HOMEFIRST,groww_master,nifty500_master
HONASA,groww_master,nifty500_master
HONAUT,groww_master,nifty500_master
HSCL,groww_master,nifty500_master
HUDCO,groww_master,nifty500_master
HYUNDAI,groww_master,nifty500_master
