symbol,week_start,open,high,low,close,volume,days,complete
INDIAGLYCO,2026-03-23,876.25,909.5,811.0,884.85,730139,4,True
INDIAGLYCO,2026-03-30,882.0,905.0,840.6,894.55,396322,3,True
INDIAGLYCO,2026-04-06,905.0,934.0,880.65,926.15,567713,5,True
INDIAGLYCO,2026-04-13,912.0,993.75,901.9,974.1,542228,4,True
INDIAGLYCO,2026-04-20,981.0,995.0,950.1,963.25,453804,5,True
INDIAGLYCO,2026-04-27,963.0,1058.5,955.3,1042.05,1020802,5,True
INDIAGLYCO,2026-05-04,1044.1,1175.2,1021.7,1150.4,1404034,5,True
INDIAGLYCO,2026-05-11,1135.0,1142.0,1007.0,1019.3,949427,5,True
INDIAGLYCO,2026-05-18,1001.8,1038.3,965.0,988.2,435474,5,True
INDIAGLYCO,2026-05-25,1000.0,1019.0,966.2,975.0,221037,5,True
INDIAGLYCO,2026-06-01,985.0,1012.0,964.2,978.4,323453,5,True
INDIAGLYCO,2026-06-08,964.9,992.3,940.5,986.65,267820,5,True
INDIAGLYCO,2026-06-15,1010.0,1013.8,951.8,957.75,331299,5,True
INDIAGLYCO,2026-06-22,957.75,974.4,915.0,955.45,217269,5,True
INDIAGLYCO,2026-06-29,962.0,1083.55,950.65,1075.75,1265084,5,True
INDIAGLYCO,2026-07-06,1095.0,1110.45,1031.0,1067.75,679204,5,True
INDIAGLYCO,2026-07-13,1068.2,1189.9,1060.1,1159.3,1816104,5,True
INDIAGLYCO,2026-07-20,1175.0,1193.0,1130.0,1157.8,702863,5,True
INDIAGLYCO,2026-07-27,1171.95,1199.05,1120.0,1147.45,576491,5,True
INDIAGLYCO,2026-08-03,1158.0,1186.0,1138.4,1143.6,537614,5,True
INDIAGLYCO,2026-08-10,1147.0,1148.6,1044.0,1061.1,931868,5,True
INDIAGLYCO,2026-08-17,1069.0,1169.8,1050.0,1146.5,3049682,5,True
INDIAGLYCO,2026-08-24,1155.0,1219.0,1137.0,1178.3,1893674,5,True
