symbol,status,days,note
NAM-INDIA,ok,129,
NATCOPHARM,ok,128,
NATIONALUM,ok,129,
NAUKRI,ok,128,
NAVA,ok,128,
NAVINFLUOR,ok,129,
NAZARA,ok,128,
NBCC,ok,129,
NCC,ok,129,
NEOGEN,ok,127,
NESCO,ok,127,
NESTLEIND,ok,128,
NETWEB,ok,128,
NETWORK18,ok,129,
NEULANDLAB,ok,127,
NEWGEN,ok,127,
NFL,ok,128,
NH,ok,128,
NHPC,ok,129,
NIACL,ok,129,
NIVABUPA,ok,127,
NLCINDIA,ok,129,
NMDC,ok,129,
NSLNISP,ok,127,
NTPC,ok,129,
NTPCGREEN,ok,129,
NUVAMA,ok,127,
NUVOCO,ok,128,
NYKAA,ok,127,
OBEROIRLTY,ok,128,
OFSS,ok,128,
OIL,ok,129,
OLAELEC,ok,129,
OLECTRA,ok,127,
ONESOURCE,ok,129,
ONGC,ok,129,
OPTIEMUS,ok,128,
ORIENTCEM,ok,128,
ORKLAINDIA,ok,128,
OSWALPUMPS,ok,129,
PAGEIND,ok,127,
PARADEEP,ok,127,
PARAS,ok,128,
PARKHOSPS,ok,129,
PATANJALI,ok,129,
PAYTM,ok,128,
PCBL,ok,128,
PCJEWELLER,ok,129,
PERSISTENT,ok,128,
PETRONET,ok,127,
PFC,ok,129,
PFIZER,ok,126,
PFOCUS,ok,128,
PGEL,ok,128,
PGIL,ok,129,
PHOENIXLTD,ok,127,
PICCADIL,ok,128,
PIDILITIND,ok,129,
PIIND,ok,129,
PINELABS,ok,129,
PIRAMALFIN,ok,128,
PNB,ok,129,
PNBHOUSING,ok,127,
PNCINFRA,ok,128,
PNGJL,ok,128,
POLICYBZR,ok,127,
POLYCAB,ok,129,
POLYMED,ok,128,
POONAWALLA,ok,128,
POWERGRID,ok,128,
POWERINDIA,ok,128,
POWERMECH,ok,127,
PPLPHARMA,ok,127,
PRAJIND,ok,127,
PREMIERENE,ok,129,
PRESTIGE,ok,129,
PRICOLLTD,ok,128,
PRIVISCL,ok,127,
PRSMJOHNSN,ok,127,
PRUDENT,ok,126,
PTC,ok,129,
PTCIL,ok,127,
PURVA,ok,126,
PVRINOX,ok,129,
PWL,ok,129,
QPOWER,ok,128,
QUESS,ok,129,
RADICO,ok,129,
RAILTEL,ok,128,
RAIN,ok,127,
RAINBOW,ok,127,
RALLIS,ok,129,
RAMCOCEM,ok,128,
RATEGAIN,ok,127,
RATNAMANI,ok,126,
RAYMONDLSL,ok,128,
RBA,ok,127,
RBLBANK,ok,128,
RCF,ok,127,
RECLTD,ok,128,
REDINGTON,ok,129,
REDTAPE,ok,127,
REFEX,ok,128,
RELAXO,ok,126,
RELIANCE,ok,129,
RELIGARE,ok,127,
RENUKA,ok,129,
RHIM,ok,126,
RITES,ok,128,
RKFORGE,ok,128,
ROUTE,ok,127,
RPOWER,ok,129,
RRKABEL,ok,127,
RTNINDIA,ok,128,
RTNPOWER,ok,129,
RUBICON,ok,127,
RVNL,ok,128,
SAATVIKGL,ok,128,
SAFARI,ok,126,
SAGILITY,ok,129,
SAIL,ok,129,
SAILIFE,ok,128,
SAMHI,ok,128,
SAMMAANCAP,ok,129,
SANDUMA,ok,128,
SANOFICONR,ok,128,
SANSERA,ok,128,
SAPPHIRE,ok,127,
SARDAEN,ok,127,
SAREGAMA,ok,127,
SBFC,ok,128,
SBICARD,ok,128,
SBILIFE,ok,128,
SBIN,ok,129,
SCHAEFFLER,ok,127,
SCHNEIDER,ok,128,
SCI,ok,128,
SENCO,ok,128,
SFL,ok,127,
SHAILY,ok,129,
SHAKTIPUMP,ok,129,
SHARDACROP,ok,128,
SHAREINDIA,ok,127,
SHILPAMED,ok,128,
SHREECEM,ok,128,
SHRIPISTON,ok,126,
SHRIRAMFIN,ok,129,
SHYAMMETL,ok,128,
SIEMENS,ok,129,
SIGNATURE,ok,126,
SJVN,ok,128,
SKFINDIA,ok,128,
SKFINDUS,ok,127,
SKIPPER,ok,128,
SKYGOLD,ok,129,
SMARTWORKS,ok,128,
SMLMAH,ok,129,
SOBHA,ok,128,
SOLARINDS,ok,128,
SONACOMS,ok,129,
SONATSOFTW,ok,129,
SOUTHBANK,ok,128,
SPARC,ok,129,
SPLPETRO,ok,127,
SRF,ok,127,
STAR,ok,128,
STARCEMENT,ok,127,
STARHEALTH,ok,127,
STLTECH,ok,127,
STYL,ok,128,
STYRENIX,ok,128,
SUBROS,ok,127,
SUDARSCHEM,ok,127,
SUDEEPPHRM,ok,128,
SUMICHEM,ok,127,
SUNDARMFIN,ok,127,
SUNPHARMA,ok,128,
SUNTECK,ok,128,
SUNTV,ok,128,
SUPREMEIND,ok,128,
SUPRIYA,ok,128,
SURYAROSNI,ok,128,
SUZLON,ok,129,
SWANCORP,ok,128,
SWIGGY,ok,128,
SWSOLAR,ok,128,
SYNGENE,ok,129,
SYRMA,ok,127,
TANLA,ok,129,
TARC,ok,126,
TARIL,ok,129,
TATACAP,ok,129,
TATACHEM,ok,129,
TATACOMM,ok,127,
TATACONSUM,ok,129,
TATAELXSI,ok,129,
TATAINVEST,ok,129,
TATAPOWER,ok,129,
TATASTEEL,ok,129,
TATATECH,ok,129,
TBOTEK,ok,128,
TCS,ok,129,
TDPOWERSYS,ok,129,
TECHM,ok,129,
TECHNOE,ok,127,
TEGA,ok,127,
TEJASNET,ok,129,
TENNIND,ok,129,
TEXRAIL,ok,129,
THANGAMAYL,ok,128,
